variant	pericyte_state	n_cells	program_frozen	program_variant	flipped
fibroblast_like_without_COL4A1	0	5864	vascular_stabilizing	vascular_stabilizing	False
fibroblast_like_without_COL4A1	1	3630	basement_membrane	basement_membrane	False
fibroblast_like_without_COL4A1	2	1396	vascular_stabilizing	vascular_stabilizing	False
fibroblast_like_without_COL4A1	3	457	basement_membrane	basement_membrane	False
fibroblast_like_without_COL4A1	4	220	activated_migratory	activated_migratory	False
fibroblast_like_without_COL4A1	5	113	basement_membrane	basement_membrane	False
bm_laminin_only	0	5864	vascular_stabilizing	vascular_stabilizing	False
bm_laminin_only	1	3630	basement_membrane	bm_laminin	True
bm_laminin_only	2	1396	vascular_stabilizing	vascular_stabilizing	False
bm_laminin_only	3	457	basement_membrane	bm_laminin	True
bm_laminin_only	4	220	activated_migratory	activated_migratory	False
bm_laminin_only	5	113	basement_membrane	fibroblast_like	True
bm_linker_only	0	5864	vascular_stabilizing	vascular_stabilizing	False
bm_linker_only	1	3630	basement_membrane	bm_linker	True
bm_linker_only	2	1396	vascular_stabilizing	vascular_stabilizing	False
bm_linker_only	3	457	basement_membrane	bm_linker	True
bm_linker_only	4	220	activated_migratory	activated_migratory	False
bm_linker_only	5	113	basement_membrane	bm_linker	True
bm_collagen_iv_only	0	5864	vascular_stabilizing	vascular_stabilizing	False
bm_collagen_iv_only	1	3630	basement_membrane	bm_collagen_iv	True
bm_collagen_iv_only	2	1396	vascular_stabilizing	vascular_stabilizing	False
bm_collagen_iv_only	3	457	basement_membrane	fibroblast_like	True
bm_collagen_iv_only	4	220	activated_migratory	activated_migratory	False
bm_collagen_iv_only	5	113	basement_membrane	fibroblast_like	True
