level	model	spec	predictor	estimate	SE	z_value	p_value	n_units	n_donors	singular	note	p_BH
cell	NB GLMM	+ambient	basement_membrane_score_z	0.058129880611645	0.0156014148549281	3.72593647128633	0.000194591413761992	11680	194	FALSE	""	0.000194591413761992
cell	NB GLMM	+ambient	bm_minus_fibrillar_z	0.0801642180454267	0.0156668204329552	5.11681476075396	3.1073852559051e-07	11680	194	FALSE	""	6.21477051181019e-07
cell	NB GLMM	depth spline	basement_membrane_score_z	0.0536097228832507	0.015645281503234	3.42657451527282	0.000611246026160011	11680	194	FALSE	""	0.000611246026160011
cell	NB GLMM	depth spline	bm_minus_fibrillar_z	0.0764543030341445	0.0156700829939588	4.87899796469612	1.06626164304341e-06	11680	194	FALSE	""	2.13252328608682e-06
pseudobulk	binomial GLMM	depth spline	basement_membrane_score_z	0.104766516864379	0.0507628950577496	2.0638404634959	0.0390328451560327	214	95	FALSE	""	0.0390328451560327
pseudobulk	binomial GLMM	depth spline	bm_minus_fibrillar_z	0.244867758372703	0.0537526472530928	4.55545486382744	5.22723395368518e-06	214	95	FALSE	""	1.04544679073704e-05
cell	NB GLMM	primary	basement_membrane_score_z	0.058152123664699	0.0156001597561878	3.72766206074479	0.000193264284913734	11680	194	FALSE	""	0.000289896427370601
cell	NB GLMM	primary	bm_minus_fibrillar_z	0.0800191482484142	0.0156605521056704	5.10959943867118	3.22842539899025e-07	11680	194	FALSE	""	9.68527619697075e-07
cell	NB GLMM	primary	fibrillar_collagen_score_z	-0.0444205852321933	0.0158396067001332	-2.80439950771125	0.00504103993161757	11680	194	FALSE	""	0.00504103993161757
pseudobulk	NB GLMM	primary	fibrillar_collagen_score_z	-0.0881195639850095	0.0510963328518448	-1.72457706975791	0.0846037187610419	214	95	FALSE	""	0.0846037187610419
pseudobulk	Poisson+OLRE	primary	basement_membrane_score_z	0.114315543024132	0.0475766669951409	2.40276484764701	0.016271647031783	214	95	FALSE	glmer.nb did not converge	0.016271647031783
pseudobulk	Poisson+OLRE	primary	bm_minus_fibrillar_z	0.170992375751757	0.0480039342843101	3.56204920078072	0.000367971400877542	214	95	FALSE	glmer.nb did not converge	0.000551957101316314
pseudobulk	Poisson+OLRE	primary	bm_resid_collagen	0.184407607921001	0.050776970729176	3.63171739615105	0.00028154134104131	214	95	FALSE	glmer.nb did not converge	0.000551957101316314
pseudobulk	binomial GLMM	primary	basement_membrane_score_z	0.118994325949413	0.0498954554712953	2.38487302752191	0.0170850170218018	214	95	FALSE	""	0.0170850170218018
pseudobulk	binomial GLMM	primary	bm_minus_fibrillar_z	0.255253468160681	0.05263726819851	4.84929170712371	1.23903098827781e-06	214	95	FALSE	""	4.95612395311122e-06
pseudobulk	binomial GLMM	primary	bm_resid_collagen	0.238916961566014	0.0556698811872308	4.29167363879367	1.77331453873035e-05	214	95	FALSE	""	3.5466290774607e-05
pseudobulk	binomial GLMM	primary	fibrillar_collagen_score_z	-0.201734012617738	0.0546890931701381	-3.68874305503919	0.000225364671239329	214	95	FALSE	""	0.000300486228319105
cell	NB GLMM	within-donor (Mundlak)	basement_membrane_score_z	0.05886510903204	0.0157102161992313	3.74693182356842	0.000179010713498788	11680	194	FALSE	""	0.000179010713498788
cell	NB GLMM	within-donor (Mundlak)	bm_minus_fibrillar_z	0.0773922913848391	0.0157806070379221	4.90426579908232	9.37774346111146e-07	11680	194	FALSE	""	1.87554869222229e-06
pseudobulk	binomial GLMM	within-donor (Mundlak)	basement_membrane_score_z	0.123739135970892	0.0537400571367214	2.30254939357591	0.0213042092872158	214	95	FALSE	""	0.0213042092872158
pseudobulk	binomial GLMM	within-donor (Mundlak)	bm_minus_fibrillar_z	0.264749680012738	0.0598021877970339	4.42709020799185	9.55127954614096e-06	214	95	FALSE	""	1.91025590922819e-05
