gene	predictor	estimate	SE	z_value	p_value	singular	max_grad	converged	n_warnings
APLP2	basement_membrane_score_z	0.0323087382567002	0.0152888707876477	2.11321939373072	0.0345819941176726	FALSE	0.00218136847252026	TRUE	0
APLP2	bm_minus_fibrillar_z	0.0257285711286937	0.0151344805800238	1.69999697000855	0.0891314954543545	FALSE	0.00247004209086299	TRUE	0
CAST	basement_membrane_score_z	-0.0405884022797375	0.014961726745641	-2.71281537016191	0.00667142658186551	FALSE	0.00208123310585506	TRUE	0
CAST	bm_minus_fibrillar_z	-0.023254315211112	0.014629789501228	-1.58951809998087	0.111943470979092	FALSE	0.00255387931247242	TRUE	0
EIF3E	basement_membrane_score_z	-0.0818932024907753	0.0146345663493949	-5.59587489889382	2.19511949205862e-08	FALSE	0.00145571902976371	TRUE	0
EIF3E	bm_minus_fibrillar_z	0.00619878041104138	0.0142924885810117	0.433708963691375	0.664499796609747	FALSE	0.000939999154070392	TRUE	0
HNRNPC	basement_membrane_score_z	-0.0380183126405791	0.01403661353828	-2.70851032101848	0.00675860099410221	FALSE	0.00220838046516292	TRUE	0
HNRNPC	bm_minus_fibrillar_z	0.0333722624771411	0.0137811518173515	2.42158731863929	0.0154528880564977	FALSE	0.00510251993546262	TRUE	0
MIR4435-2HG	basement_membrane_score_z	0.0882558937531034	0.0156262263861731	5.64793390112388	1.62387585309157e-08	FALSE	0.000738491507945582	TRUE	0
MIR4435-2HG	bm_minus_fibrillar_z	-0.0176282960792412	0.0153186643007277	-1.15077239981059	0.249825882285344	FALSE	0.000993895810097456	TRUE	0
PCOLCE	basement_membrane_score_z	0.0922240926997266	0.0144628029323837	6.37664034633475	1.8101487047102e-10	FALSE	0.000928284862311557	TRUE	0
PCOLCE	bm_minus_fibrillar_z	-0.0693955051001351	0.013992836520631	-4.95935938348303	7.0726020261986e-07	FALSE	0.00249960066867061	TRUE	0
SAP18	basement_membrane_score_z	-0.0958568985433499	0.014368271307867	-6.67142876755577	2.53324908076874e-11	FALSE	0.00115211150841787	TRUE	1
SAP18	bm_minus_fibrillar_z	-0.00567182406323454	0.0139135576595274	-0.407647289214397	0.683532640958647	FALSE	0.000619002094026655	TRUE	1
SYNE2	basement_membrane_score_z	0.0317491492379613	0.0155473112680268	2.0420990286117	0.0411417092360477	FALSE	0.00151669155457057	TRUE	0
SYNE2	bm_minus_fibrillar_z	-0.0039930478605563	0.0154088574069948	-0.259139776239584	0.795527395720482	FALSE	0.000609943526796997	TRUE	0
YWHAZ	basement_membrane_score_z	-0.0163953540884486	0.0143977781962354	-1.13874195483408	0.254810798223372	FALSE	0.00277101207757369	TRUE	0
YWHAZ	bm_minus_fibrillar_z	-0.000148253455435711	0.0140134545942494	-0.0105793653120016	0.991559045210876	FALSE	0.00257203282671981	TRUE	0
