ccc_group	emmean	SE	df	lower.CL	upper.CL	gene	value_type
Pericytes	2.33930082445762	0.0521359319949295	292.181146421298	2.23669124537421	2.44191040354104	COL4A1	expr
AT1	0.973901695964242	0.0388628300685843	97.2675489839107	0.896772415344131	1.05103097658435	COL4A1	expr
AT2_AGTR2det	-0.0252105217663612	0.0460763972648813	178.961541885338	-0.116133459844412	0.06571241631169	COL4A1	expr
AT2_AGTR2undet	0.0242723149377934	0.0375940614514231	86.6395751518574	-0.050454336116437	0.0989989659920239	COL4A1	expr
Adventitial fibroblasts	0.672984556851027	0.0414889057551789	125.795792226491	0.590877939788491	0.755091173913564	COL4A1	expr
Alveolar fibroblasts	1.03379858937203	0.0411696000852919	121.225455866261	0.952294037980743	1.11530314076331	COL4A1	expr
Alveolar macrophages	0.0240587492889572	0.036277799564085	73.2008523639009	-0.0482394589294237	0.0963569575073381	COL4A1	expr
Classical monocytes	0.0484277504237824	0.0357390635840771	70.4128371007601	-0.0228442176482066	0.119699718495771	COL4A1	expr
DC2	0.0286302729443028	0.0342704644076873	59.4605973785661	-0.0399336552016644	0.09719420109027	COL4A1	expr
EC aerocyte capillary	1.27245517767123	0.0452919252885245	170.349988009341	1.18304947724972	1.36186087809274	COL4A1	expr
EC general capillary	1.68550216903809	0.0403721187525232	108.874318392581	1.60548490544633	1.76551943262984	COL4A1	expr
EC venous pulmonary	0.808574962814439	0.0414476599578082	124.775627288126	0.726543457993836	0.890606467635041	COL4A1	expr
EC venous systemic	1.22983139348316	0.0426953105512599	139.849629438846	1.1454196796982	1.31424310726813	COL4A1	expr
Interstitial macrophages	0.0041602295767435	0.0352865398126529	67.5282849373476	-0.0662618716237337	0.0745823307772207	COL4A1	expr
Lymphatic EC	1.02590728321204	0.039385363061294	102.468670631418	0.947790890776338	1.10402367564774	COL4A1	expr
Mast cells	0.0737879604727025	0.0386180253071487	95.097209414331	-0.00287750222671843	0.150453423172123	COL4A1	expr
Myofibroblasts	1.30194270390028	0.0600443464579157	485.696755097659	1.18396395516475	1.41992145263581	COL4A1	expr
Non-classical monocytes	0.00236629288406304	0.0370466496942532	80.600732354467	-0.0713504550063907	0.0760830407745168	COL4A1	expr
Peribronchial fibroblasts	1.08033855843447	0.0488015285570914	232.387475061723	0.984188580931002	1.17648853593794	COL4A1	expr
Subpleural fibroblasts	0.508956172972235	0.112949707107482	1819.48571646979	0.287431453203504	0.730480892740967	COL4A1	expr
Transitional Club-AT2	-0.00616847507583268	0.0397905459949136	106.46692306744	-0.0850531085708314	0.0727161584191661	COL4A1	expr
Vascular smooth muscle	1.35564762944594	0.0435097289921248	149.448916955049	1.2696739459204	1.44162131297148	COL4A1	expr
Pericytes	2.28172496616643	0.0545281593728282	202.972421945736	2.1742106789576	2.38923925337527	COL4A2	expr
AT1	1.29967439910038	0.0421248791764145	75.6208153134336	1.21576862711855	1.38358017108221	COL4A2	expr
AT2_AGTR2det	0.00883464961059605	0.0488084277900335	131.529588593371	-0.0877164393013451	0.105385738522537	COL4A2	expr
AT2_AGTR2undet	0.0407333861028401	0.0409225425303635	68.6306708116876	-0.0409126908844884	0.122379463090169	COL4A2	expr
Adventitial fibroblasts	0.781046623590667	0.0445618473089334	94.5399095108893	0.692574618142025	0.869518629039309	COL4A2	expr
Alveolar fibroblasts	1.01660973108866	0.0442525088943304	91.5143548030974	0.928714213878107	1.10450524829921	COL4A2	expr
Alveolar macrophages	0.0428268796380722	0.0397010478754209	59.6863901667269	-0.0365956230986783	0.122249382374823	COL4A2	expr
Classical monocytes	0.0302106183620857	0.0392434603566034	57.442791321117	-0.0483599294893169	0.108781166213488	COL4A2	expr
DC2	0.0219905040697615	0.037966165211204	50.3735850772045	-0.054252773047316	0.098233781186839	COL4A2	expr
EC aerocyte capillary	1.46008215037416	0.0479919008998397	123.651383708182	1.36509009630438	1.55507420444394	COL4A2	expr
EC general capillary	1.69023980832436	0.0434285944260019	83.5960784578179	1.60387118844737	1.77660842820135	COL4A2	expr
EC venous pulmonary	0.920949014144519	0.0445245146341225	93.9108713841803	0.83254345275608	1.00935457553296	COL4A2	expr
EC venous systemic	1.26519292218155	0.0457031635681949	104.047768503092	1.17456232345415	1.35582352090895	COL4A2	expr
Interstitial macrophages	0.0168308191498448	0.0388545441402403	55.5257515474674	-0.0610188587313499	0.0946804970310395	COL4A2	expr
Lymphatic EC	0.97585656936487	0.0426321279476444	79.2906820337995	0.891004278095614	1.06070886063413	COL4A2	expr
Mast cells	0.0554130738507455	0.0417998539232462	73.5041725158844	-0.0278842893783196	0.138710437079811	COL4A2	expr
Myofibroblasts	1.37442580738852	0.0621698265559902	331.083795005994	1.25212812393291	1.49672349084414	COL4A2	expr
Non-classical monocytes	0.023617356088731	0.0404956373388113	64.8056084882297	-0.0572626156182481	0.10449732779571	COL4A2	expr
Peribronchial fibroblasts	1.15975791574501	0.051441101337552	164.212380654778	1.05818665896934	1.26132917252068	COL4A2	expr
Subpleural fibroblasts	0.746684585625499	0.113836361329185	1586.82564169881	0.523399106629349	0.96997006462165	COL4A2	expr
Transitional Club-AT2	0.0143417564583326	0.0429118991501752	82.1220120818797	-0.0710217819939815	0.0997052949106468	COL4A2	expr
Vascular smooth muscle	1.51592031491115	0.0464187413303769	110.00378880571	1.42392930013687	1.60791132968543	COL4A2	expr
