compartment	gene	contrast	estimate	SE	df	t.ratio	p.value	n_donors	covariates	family	is_copd_contrast	p_BH
ATI	COL4A1	Control - COPD	-0.0778283391337595	0.20051407648068	32	-0.388144017117214	0.70047970020445	39	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.958296913198946
ATI	COL4A1	Control - IPF	-0.0181556275079405	0.21851894330747	32	-0.083084913523467	0.934301589913904	39	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATI	COL4A2	Control - COPD	0.0870042501103483	0.250023699566869	32	0.347984012159931	0.730130981484912	39	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.958296913198946
ATI	COL4A2	Control - IPF	0.259576301973438	0.272474210240499	32	0.952663746577422	0.347901505364063	39	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATI	COL15A1	Control - COPD	-0.0227056996935739	0.0245476303166021	32	-0.924965033313927	0.361907279193503	39	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.800005564533007
ATI	COL15A1	Control - IPF	-7.55376936273358e-05	0.0267518487062585	32	-0.00282364387062581	0.997764590907141	39	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATI	COL18A1	Control - COPD	-0.0131204950193918	0.071802999924084	32	-0.182729064708492	0.856163389672691	39	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.96972550468785
ATI	COL18A1	Control - IPF	0.0782709439161207	0.0782504447822592	32	1.00026196827275	0.324687908034781	39	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATI	LAMA1	Control - COPD	-0.0437823531622536	0.0744599516108932	32	-0.587998678686335	0.560660329300411	39	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.89648387922153
ATI	LAMA1	Control - IPF	0.0657292897712186	0.0811459735411914	32	0.810012954467212	0.423915644157568	39	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATI	LAMA2	Control - COPD	-0.07450916139357	0.0599154564514128	32	-1.24357162252434	0.222690899001986	39	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.668072697005959
ATI	LAMA2	Control - IPF	-0.028275610517944	0.065295476813115	32	-0.43304087661191	0.667890014356443	39	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATI	LAMA3	Control - COPD	0.0614191884747929	0.217729166491212	32	0.282089852565857	0.779691062015933	39	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.96972550468785
ATI	LAMA3	Control - IPF	0.0926957414319784	0.237279837026604	32	0.390660001260812	0.698637317563462	39	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATI	LAMA5	Control - COPD	0.261068216256988	0.118954745222859	32	2.19468517853476	0.0355592233988813	39	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.491149322597627
ATI	LAMA5	Control - IPF	0.175950810205335	0.129636111757037	32	1.35726695147338	0.184192776601288	39	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATI	LAMB2	Control - COPD	-0.0180435403161409	0.130510374870572	32	-0.138253685456308	0.890906274104978	39	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.986478730418942
ATI	LAMB2	Control - IPF	-0.310516308185453	0.142229362187083	32	-2.18320818859478	0.0364681455692608	39	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATI	LAMB3	Control - COPD	0.333590012760269	0.178867387156063	32	1.86501305835707	0.0713726082747412	39	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.554812931332284
ATI	LAMB3	Control - IPF	0.255157998474385	0.194928521326417	32	1.30898237332397	0.19986284056446	39	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
ATI	LAMB4	Control - COPD	-0.00614166490218656	0.0230638190811041	32	-0.266290022506218	0.791724237913688	39	mean_log10_counts+sex+age+ever_smoker	exploratory	TRUE	0.96972550468785
ATI	LAMB4	Control - IPF	0.0142535235413947	0.0251348008214432	32	0.567083210352502	0.574614468311827	39	mean_log10_counts+sex+age+ever_smoker	exploratory	FALSE	NA
