compartment	gene	contrast	estimate	SE	df	t.ratio	p.value	n_donors	covariates	family	is_copd_contrast	p_BH
ATI	LAMB1	Control - COPD	-0.0704557176624684	0.0702425614701018	32	-1.00303457316911	0.323369001781174	39	mean_log10_counts+sex+age+ever_smoker	primary	TRUE	0.845631803624364
ATI	LAMB1	Control - IPF	0.00323997683426769	0.0765498890504855	32	0.0423250363188756	0.966502582434373	39	mean_log10_counts+sex+age+ever_smoker	primary	FALSE	NA
ATI	LAMA4	Control - COPD	-0.00538711109757191	0.0294245355353225	32	-0.183082281489371	0.855888536116569	39	mean_log10_counts+sex+age+ever_smoker	primary	TRUE	0.977234016948948
ATI	LAMA4	Control - IPF	0.0181745128488177	0.0320666684621081	32	0.566772718229015	0.574822909523306	39	mean_log10_counts+sex+age+ever_smoker	primary	FALSE	NA
ATII	LAMB1	Control - COPD	-0.0110335658667117	0.0942743774564108	39	-0.117036740675516	0.907431587166881	46	mean_log10_counts+sex+age+ever_smoker	primary	TRUE	0.977234016948948
ATII	LAMB1	Control - IPF	0.00959049024103985	0.0911261393378125	39	0.105244118874466	0.916721543379398	46	mean_log10_counts+sex+age+ever_smoker	primary	FALSE	NA
ATII	LAMA4	Control - COPD	0.0138314868202353	0.0264530080746666	39	0.522870094062435	0.604022716874546	46	mean_log10_counts+sex+age+ever_smoker	primary	TRUE	0.845631803624364
ATII	LAMA4	Control - IPF	-0.0236808761388267	0.0255696252232576	39	-0.926133094719242	0.360072687545887	46	mean_log10_counts+sex+age+ever_smoker	primary	FALSE	NA
Endothelial	LAMB1	Control - COPD	0.0373688901876525	0.0712488283784413	66	0.524484276277021	0.601698943618411	73	mean_log10_counts+sex+age+ever_smoker	primary	TRUE	0.845631803624364
Endothelial	LAMB1	Control - IPF	-0.0783884305640392	0.0679832851574512	66	-1.15305446599836	0.253046965438645	73	mean_log10_counts+sex+age+ever_smoker	primary	FALSE	NA
Endothelial	LAMA4	Control - COPD	0.00164238198909083	0.120784157542857	66	0.0135976606742327	0.989191991365017	73	mean_log10_counts+sex+age+ever_smoker	primary	TRUE	0.989191991365017
Endothelial	LAMA4	Control - IPF	0.190895211944783	0.115248264590736	66	1.65638252881881	0.102391517434717	73	mean_log10_counts+sex+age+ever_smoker	primary	FALSE	NA
Fibroblast	LAMB1	Control - COPD	-0.0867802590697393	0.137018908300148	53	-0.63334513569209	0.529231940343541	60	mean_log10_counts+sex+age+ever_smoker	primary	TRUE	0.845631803624364
Fibroblast	LAMB1	Control - IPF	-0.0925982571641354	0.114853561935911	53	-0.806228867466955	0.423713783897568	60	mean_log10_counts+sex+age+ever_smoker	primary	FALSE	NA
Fibroblast	LAMA4	Control - COPD	0.135598024167061	0.109670690735689	53	1.23641077900984	0.221757233420774	60	mean_log10_counts+sex+age+ever_smoker	primary	TRUE	0.845631803624364
Fibroblast	LAMA4	Control - IPF	-0.0411586666141141	0.0919294251226497	53	-0.447720265401436	0.656179808306762	60	mean_log10_counts+sex+age+ever_smoker	primary	FALSE	NA
Mural	LAMB1	Control - COPD	-0.295644309372293	0.31033792955017	29	-0.952652838152346	0.348639384327499	36	mean_log10_counts+sex+age+ever_smoker	primary	TRUE	0.845631803624364
Mural	LAMB1	Control - IPF	-0.444747257803063	0.252347067661904	29	-1.76244274175176	0.0885328130078096	36	mean_log10_counts+sex+age+ever_smoker	primary	FALSE	NA
Mural	LAMA4	Control - COPD	0.258902651758049	0.201020680665629	29	1.2879403795707	0.207949450375843	36	mean_log10_counts+sex+age+ever_smoker	primary	TRUE	0.845631803624364
Mural	LAMA4	Control - IPF	-0.435847464046341	0.163457233148714	29	-2.66643118600817	0.0124042201701963	36	mean_log10_counts+sex+age+ever_smoker	primary	FALSE	NA
Myofibroblast	LAMB1	Control - COPD	0.12932851143014	0.190412539177208	47	0.679201653362652	0.500341411529928	54	mean_log10_counts+sex+age+ever_smoker	primary	TRUE	0.845631803624364
Myofibroblast	LAMB1	Control - IPF	-0.109574641426989	0.1721744162914	47	-0.636416511739688	0.527592406473794	54	mean_log10_counts+sex+age+ever_smoker	primary	FALSE	NA
Myofibroblast	LAMA4	Control - COPD	0.283548518193625	0.145773209487213	47	1.94513463201547	0.057754774951413	54	mean_log10_counts+sex+age+ever_smoker	primary	TRUE	0.808566849319781
Myofibroblast	LAMA4	Control - IPF	0.246605551294157	0.131810737690058	47	1.87090638908363	0.0675910956560966	54	mean_log10_counts+sex+age+ever_smoker	primary	FALSE	NA
SMC	LAMB1	Control - COPD	0.092741285573484	0.310104741092953	21	0.299064391104182	0.767830508248074	28	mean_log10_counts+sex+age+ever_smoker	primary	TRUE	0.977234016948948
SMC	LAMB1	Control - IPF	-0.130390511471713	0.248138285044478	21	-0.525475185936509	0.604757650825745	28	mean_log10_counts+sex+age+ever_smoker	primary	FALSE	NA
SMC	LAMA4	Control - COPD	0.172627055056315	0.220671029879477	21	0.782282364615772	0.442780740637839	28	mean_log10_counts+sex+age+ever_smoker	primary	TRUE	0.845631803624364
SMC	LAMA4	Control - IPF	-0.3788899121157	0.176575600619014	21	-2.1457659540018	0.0437359414088673	28	mean_log10_counts+sex+age+ever_smoker	primary	FALSE	NA
