contrast	estimate	SE	df	t.ratio	p.value
pericyte_state0 - pericyte_state1	-0.556230631789766	0.178764619524643	96.9126210632066	-3.11152527423407	0.00524056001087859
pericyte_state0 - pericyte_state2	0.333441639650202	0.177435627119224	157.089247574693	1.87922597656306	0.0930988086091234
pericyte_state0 - pericyte_state3	-0.921243060392646	0.180111182177	140.934780764704	-5.11485766323668	5.03727401871432e-06
pericyte_state0 - pericyte_state4	0.132698547587858	0.232722189246205	158.987193502668	0.570201526625687	0.610013501433607
pericyte_state0 - pericyte_state5	-0.888201549812978	0.359468977422543	141.264960376959	-2.47087121726481	0.0244466340869047
pericyte_state1 - pericyte_state2	0.889672271439968	0.131776278835751	141.413824268098	6.75138408293404	5.24992468015688e-09
pericyte_state1 - pericyte_state3	-0.365012428602881	0.201365712436682	164.613918603349	-1.81268411680393	0.0977761717499614
pericyte_state1 - pericyte_state4	0.688929179377624	0.207284651098968	143.757656997748	3.32358993164764	0.00295484245261983
pericyte_state1 - pericyte_state5	-0.331970918023212	0.36940637550002	148.569227803906	-0.898660499764965	0.427254986101949
pericyte_state2 - pericyte_state3	-1.25468470004285	0.203611223615128	156.296589701137	-6.16215883272964	4.38299734732267e-08
pericyte_state2 - pericyte_state4	-0.200743092062344	0.210632347048113	136.35617870068	-0.953049685272178	0.427254986101949
pericyte_state2 - pericyte_state5	-1.22164318946318	0.369168844369918	144.178660589695	-3.30917196316561	0.00295484245261983
pericyte_state3 - pericyte_state4	1.0539416079805	0.248779363107155	141.612839940948	4.23645110598079	0.000152577996151721
pericyte_state3 - pericyte_state5	0.0330415105796684	0.362245203599619	131.984059247496	0.0912131071752945	0.927461550043808
pericyte_state4 - pericyte_state5	-1.02090009740084	0.391832581440817	137.963649550282	-2.60544973990386	0.0190913119639424
