ccc_group	emmean	SE	df	lower.CL	upper.CL
Pericytes	0.47585920623672	0.0444151772991442	145.165233227636	0.388075245139914	0.563643167333526
AT1	1.08484192489999	0.035436871570989	60.2872199968241	1.01396457312787	1.15571927667212
AT2_AGTR2det	0.2753144632005	0.040299963973018	97.9769284057148	0.195340260902757	0.355288665498244
AT2_AGTR2undet	0.333551513009012	0.0345801474546866	55.3063312250268	0.264259975474813	0.40284305054321
Adventitial fibroblasts	-1.3923298738384	0.0371427941199687	72.6247268517354	-1.46636180049416	-1.31829794718264
Alveolar fibroblasts	-1.04731789740132	0.0369520798337272	71.0386577077998	-1.120997557095	-0.973638237707646
Alveolar macrophages	-0.146199674137548	0.0338190244931989	49.6645033656803	-0.214138555094553	-0.0782607931805429
Classical monocytes	-0.0563568341098006	0.0334351446412462	47.9565351845202	-0.123584272142041	0.0108706039224395
DC2	-0.0167175631669043	0.032500531555908	42.6927021656455	-0.0822747775875443	0.0488396512537357
EC aerocyte capillary	0.384212241947852	0.0397853093694037	93.9910765621713	0.305217479780025	0.46320700411568
EC general capillary	0.429680880844483	0.0365166300463915	66.9338034560904	0.356792057136902	0.502569704552065
EC venous pulmonary	0.247205151209489	0.0371238437624989	72.4200648826869	0.173207454299258	0.321202848119719
EC venous systemic	0.478899546728646	0.0379433896698128	78.8509552856262	0.403372899032165	0.554426194425128
Interstitial macrophages	-0.0899453191887929	0.0331251197483389	46.2981781792259	-0.156611140528861	-0.0232794978487251
Lymphatic EC	0.38303672041611	0.0357645206028537	62.5166110963646	0.311556212382378	0.454517228449842
Mast cells	0.0279019292571714	0.0353164297173311	59.4601917506062	-0.0427546414738513	0.098558499988194
Myofibroblasts	-1.27110471874737	0.0499114313660552	227.774844516117	-1.36945187952417	-1.17275755797057
Non-classical monocytes	-0.0357972980236587	0.0342533483249889	52.6284836507669	-0.104512137659605	0.0329175416122875
Peribronchial fibroblasts	-1.65648573279981	0.0420636322982485	118.168928644399	-1.73978194300395	-1.57318952259567
Subpleural fibroblasts	-1.3200528744736	0.0888863176243742	1263.74131689259	-1.49443386864925	-1.14567188029796
Transitional Club-AT2	0.243911488231526	0.0360386614742237	64.811589090096	0.171933344476063	0.31588963198699
Vascular smooth muscle	-0.330442554591875	0.0385155370962258	83.486777400612	-0.407041803764102	-0.253843305419649
