gene	value_type	with_depth	contrast	estimate	SE	df	t.ratio	p.value	sd_study	sd_residual	study_dominated	n_units	n_donors	p_BH_across_genes
COL4A1	expr	FALSE	Pericytes - AT1	1.76618956190126	0.0763392180263918	2127.45679214591	-23.1360709156158	1.41257751688348e-105	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	5.41488048138666e-105
COL4A1	expr	FALSE	Pericytes - AT2_AGTR2det	3.13190744834056	0.0825903547749968	2130.09875678185	-37.9209831084138	1.55588020954354e-240	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	1.87872535302383e-239
COL4A1	expr	FALSE	Pericytes - AT2_AGTR2undet	3.07303690125447	0.0749997999431052	2132.97660065428	-40.973934644968	1.11115198295029e-270	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	2.55564956078567e-269
COL4A1	expr	FALSE	Pericytes - Adventitial fibroblasts	2.14090727228378	0.0793973087645412	2129.87305614086	-26.964481612756	1.05674057804764e-137	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	4.86100665901915e-137
COL4A1	expr	FALSE	Pericytes - Alveolar fibroblasts	1.68517059925651	0.0785580878297569	2119.94053177232	-21.4512680464987	2.28880208895612e-92	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	8.3119654809459e-92
COL4A1	expr	FALSE	Pericytes - Alveolar macrophages	3.04397434610793	0.0735007290971548	2144.49522862867	-41.4142061377969	2.9674569494648e-275	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	9.55521137727664e-274
COL4A1	expr	FALSE	Pericytes - Classical monocytes	3.03278892782683	0.0735529593904016	2140.31066381122	-41.2327247327943	2.08302845903197e-273	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	5.91825144536731e-272
COL4A1	expr	FALSE	Pericytes - DC2	3.0447635571541	0.0727336909443098	2145.63415963322	-41.8618045863422	1.81417086396563e-279	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	7.30203772746168e-278
COL4A1	expr	FALSE	Pericytes - EC aerocyte capillary	1.42554992576253	0.0818317160895897	2116.39316912826	-17.4205063010268	1.7893327401938e-63	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	5.68584022048425e-63
COL4A1	expr	FALSE	Pericytes - EC general capillary	0.796894422997889	0.0765395933191815	2123.32803941893	-10.4115319724096	8.58348550477829e-25	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	1.45979700662251e-24
COL4A1	expr	FALSE	Pericytes - EC venous pulmonary	2.00534966369159	0.0793045337426426	2128.3754782113	-25.2866963470123	2.67937830931585e-123	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	1.07844976949963e-122
COL4A1	expr	FALSE	Pericytes - EC venous systemic	1.30869162019194	0.0810850560013472	2137.01726525887	-16.1397387475467	2.72161009562122e-55	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	7.91890166376536e-55
COL4A1	expr	FALSE	Pericytes - Interstitial macrophages	3.08812418200661	0.0735169584695012	2146.57398749779	-42.0056031464867	1.22804350556188e-280	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	5.39222739260353e-279
COL4A1	expr	FALSE	Pericytes - Lymphatic EC	1.67565891211755	0.0770051925686922	2124.75287278475	-21.7603366243489	9.77446815117619e-95	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	3.60386879161687e-94
COL4A1	expr	FALSE	Pericytes - Mast cells	3.0363144952672	0.07629291239036	2146.95013828243	-39.7981201678553	1.67207482806834e-259	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	2.78486945502417e-258
COL4A1	expr	FALSE	Pericytes - Myofibroblasts	1.38528994400841	0.101006380910544	2116.12805901005	-13.7148755506376	4.89963618211183e-41	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	1.06122164841256e-40
COL4A1	expr	FALSE	Pericytes - (Non-classical monocytes)	3.12118033532944	0.0748016609037429	2132.24328171753	-41.7260833198058	7.39256924431782e-278	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	2.55043638928965e-276
COL4A1	expr	FALSE	Pericytes - Peribronchial fibroblasts	1.52752598387306	0.0880872570069397	2139.94704341521	-17.3410551738797	5.10664610024338e-63	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	1.61209808262585e-62
COL4A1	expr	FALSE	Pericytes - Subpleural fibroblasts	2.37732434974519	0.173422972328337	2139.55442007636	-13.7082435955731	4.89963618211183e-41	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	1.06122164841256e-40
COL4A1	expr	FALSE	Pericytes - (Transitional Club-AT2)	3.11664258971563	0.0769586344739502	2135.31734566163	-40.4976337095818	4.48694113246918e-266	1.48230097487578e-17	0.444251520516184	FALSE	2329	220	8.66877026793045e-265
