outcome	predictor	family	estimate	SE	df	t_ratio	p_value	depth_adjusted	n_units	n_donors	p_BH
basement_membrane_score_z	tgfb_response_score	tgfb	-0.196403134911799	0.0683055463749548	210.868499360348	-2.87536145064514	0.0044495556674894	TRUE	214	95	0.00735314482766774
basement_membrane_score_z	tgfb_response_noECM_score	tgfb	-0.193995515471474	0.0682263483859454	210.99354608764	-2.84341050138097	0.00490209655177849	TRUE	214	95	0.00735314482766774
basement_membrane_score_z	tgfb_receptor_score	tgfb	-0.0148194886753154	0.0703015000263913	210.435729043045	-0.21079903941953	0.833248071135639	TRUE	214	95	0.833248071135639
fibrillar_collagen_score_z	tgfb_response_score	tgfb	-0.0728556545369703	0.0669542305222561	201.875703316702	-1.08814116701338	0.27783016722267	TRUE	214	95	0.402193448787599
fibrillar_collagen_score_z	tgfb_response_noECM_score	tgfb	-0.0899118538751958	0.0667937984687532	202.1378990785	-1.34611080573981	0.179774461430993	TRUE	214	95	0.402193448787599
fibrillar_collagen_score_z	tgfb_receptor_score	tgfb	0.0566963515904491	0.0675362518497006	200.088776407642	0.839495086529597	0.402193448787599	TRUE	214	95	0.402193448787599
bm_minus_fibrillar_z	tgfb_response_score	tgfb	-0.0840227349394419	0.0675204471060857	200.323908315263	-1.24440430329835	0.214804776307411	TRUE	214	95	0.368110396702433
bm_minus_fibrillar_z	tgfb_response_noECM_score	tgfb	-0.060919671433353	0.0675341965630706	200.264844390651	-0.902056654756524	0.368110396702433	TRUE	214	95	0.368110396702433
bm_minus_fibrillar_z	tgfb_receptor_score	tgfb	-0.0720693156965917	0.0672517366733255	195.463010364708	-1.07163501288699	0.285205375799075	TRUE	214	95	0.368110396702433
bm_resid	tgfb_response_score	tgfb	-0.174201626928529	0.057011334598683	212.000000000443	-3.05556128715066	0.00253485360559471	FALSE	214	95	0.00516238915223912
bm_resid	tgfb_response_noECM_score	tgfb	-0.168895427695418	0.0570865985308105	212.000000002653	-2.9585827854897	0.00344159276815941	FALSE	214	95	0.00516238915223912
bm_resid	tgfb_receptor_score	tgfb	-0.0218776700647364	0.0582338136954859	211.999999997348	-0.375686713206494	0.707525457392851	FALSE	214	95	0.707525457392851
bm_resid_collagen	tgfb_response_score	tgfb	-0.154119754713387	0.0556127914908462	209.585300573195	-2.77130046131123	0.00608547334352878	FALSE	214	95	0.0144711504219562
bm_resid_collagen	tgfb_response_noECM_score	tgfb	-0.145570395530402	0.055725648396516	208.91759385158	-2.61226921030323	0.00964743361463749	FALSE	214	95	0.0144711504219562
bm_resid_collagen	tgfb_receptor_score	tgfb	-0.0334743562432009	0.0566116943793082	210.481523380822	-0.591297550978016	0.554955547289121	FALSE	214	95	0.554955547289121
