gene	value_type	block	contrast	estimate	SE	df	t.ratio	p.value	sd_study	sd_residual	n_units	n_donors	is_pericyte_contrast	study_dominated	p_BH
COL1A1	expr	fibrillar_core	Fibroblasts - Ambient reference	1.78432746431338	0.0221182438338277	927.899433212634	80.6722033502688	0	0.135016680805136	0.306333296759107	1054	200	FALSE	FALSE	0
COL1A1	expr	fibrillar_core	Pericytes - Ambient reference	0.244959392267673	0.0472906666136086	913.627530217022	5.17986761043419	2.73240390669999e-07	0.135016680805136	0.306333296759107	1054	200	TRUE	FALSE	2.73240390669999e-07
COL1A2	expr	fibrillar_core	Fibroblasts - Ambient reference	2.25724012452203	0.0206554160552394	934.044372284152	109.280787106172	0	0.114428770902226	0.2866044201843	1054	200	FALSE	FALSE	0
COL1A2	expr	fibrillar_core	Pericytes - Ambient reference	1.72909770196915	0.0441824889923682	919.624872421936	39.1353620269745	5.60142059027318e-198	0.114428770902226	0.2866044201843	1054	200	TRUE	FALSE	8.40213088540977e-198
COL3A1	expr	fibrillar_core	Fibroblasts - Ambient reference	1.84036906757253	0.0236301511222154	929.024387393842	77.8822385880698	0	0.142784793538605	0.327380300630352	1054	200	FALSE	FALSE	0
COL3A1	expr	fibrillar_core	Pericytes - Ambient reference	0.64337766408858	0.0505274019024443	914.727630644924	12.7332425548177	2.61159832124631e-34	0.142784793538605	0.327380300630352	1054	200	TRUE	FALSE	3.13391798549557e-34
COL5A1	expr	fibrillar_minor	Fibroblasts - Ambient reference	0.998859037565106	0.0211086132106601	960.61964087426	47.3199744387126	6.20536928019717e-253	0.13473069134088	0.295230036005176	1054	200	FALSE	FALSE	3.10268464009858e-252
COL5A1	expr	fibrillar_minor	Pericytes - Ambient reference	0.45450471425417	0.0452279063994796	949.983714737116	10.0492096680248	1.19538433419554e-22	0.13473069134088	0.295230036005176	1054	200	TRUE	FALSE	1.99230722365923e-22
COL5A2	expr	fibrillar_minor	Fibroblasts - Ambient reference	1.20326164112864	0.020175162042271	954.695607744212	59.6407423448479	0	0.139176623856539	0.281626753842295	1054	200	FALSE	FALSE	0
COL5A2	expr	fibrillar_minor	Pericytes - Ambient reference	1.19186737336911	0.0432135617939624	943.238467675063	27.5808640595702	2.89385192576905e-123	0.139176623856539	0.281626753842295	1054	200	TRUE	FALSE	7.23462981442263e-123
COL5A3	expr	fibrillar_minor	Fibroblasts - Ambient reference	0.324837915928538	0.0142175908406253	990.525827156517	22.8476061500058	3.84214718897743e-93	0.0565318797211965	0.201143981056732	1054	200	FALSE	FALSE	7.68429437795486e-93
COL5A3	expr	fibrillar_minor	Pericytes - Ambient reference	1.11236681957427	0.030509595003788	987.147439709304	36.4595734370176	9.68808470368138e-185	0.0565318797211965	0.201143981056732	1054	200	TRUE	FALSE	3.22936156789379e-184
COL11A1	expr	fibrillar_minor	Fibroblasts - Ambient reference	0.0247976854142332	0.00742237522789364	967.939229209547	3.34093664802102	0.00173377031159546	0.0282859445685591	0.104157680054902	1054	200	FALSE	FALSE	0.00247681473085066
COL11A1	expr	fibrillar_minor	Pericytes - Ambient reference	-0.0163519736314649	0.0159137795411141	957.037239446012	-1.02753551343467	0.304427998457828	0.0282859445685591	0.104157680054902	1054	200	TRUE	FALSE	0.380534998072285
COL11A2	expr	fibrillar_minor	Fibroblasts - Ambient reference	0.00589609705895266	0.00697347155573838	986.792504221916	0.845503851535874	0.39803454467809	0	0.0989800724727653	1054	200	FALSE	FALSE	0.39803454467809
COL11A2	expr	fibrillar_minor	Pericytes - Ambient reference	-0.0138492174682936	0.0149680776578339	978.140070397499	-0.925250241539558	0.39803454467809	0	0.0989800724727653	1054	200	TRUE	FALSE	0.39803454467809
SFTPC	expr	ambient_tracer	Fibroblasts - Ambient reference	-0.0995334243920097	0.0219275155208713	863.340731889471	-4.53920209506959	1.28948261593897e-05	0.921741899036526	0.298426260018426	1054	200	FALSE	TRUE	4.29827538646325e-05
SFTPC	expr	ambient_tracer	Pericytes - Ambient reference	-0.0640451962527491	0.0466492770842819	858.746375435418	-1.37290865487664	0.170139141058569	0.921741899036526	0.298426260018426	1054	200	TRUE	TRUE	0.283565235097614
SFTPB	expr	ambient_tracer	Fibroblasts - Ambient reference	-0.0476834358408735	0.0206815024310072	877.52809240058	-2.30560792185886	0.0427299085070675	0.72465275456658	0.282529516089626	1054	200	FALSE	TRUE	0.085459817014135
SFTPB	expr	ambient_tracer	Pericytes - Ambient reference	-0.0171340793569774	0.0440603880243055	869.37164959941	-0.388877178011359	0.69746222758925	0.72465275456658	0.282529516089626	1054	200	TRUE	TRUE	0.69746222758925
SCGB1A1	expr	ambient_tracer	Fibroblasts - Ambient reference	-0.0321023594092218	0.0234259549320415	862.877569799827	-1.37037570089888	0.323728263462288	0.606988221373416	0.318774316709748	1054	200	FALSE	TRUE	0.40466032932786
SCGB1A1	expr	ambient_tracer	Pericytes - Ambient reference	-0.0492024792880699	0.049830704402638	858.6266757455	-0.987392810876363	0.323728263462288	0.606988221373416	0.318774316709748	1054	200	TRUE	TRUE	0.40466032932786
SCGB3A2	expr	ambient_tracer	Fibroblasts - Ambient reference	-0.0448184447097822	0.0183600508937346	870.373695484267	-2.44108499312911	0.0296830789266161	0.408583774827343	0.250337294062049	1054	200	FALSE	TRUE	0.0742076973165403
SCGB3A2	expr	ambient_tracer	Pericytes - Ambient reference	-0.0205949541649306	0.0390834285035044	864.080626935032	-0.526948503585962	0.598364600186168	0.408583774827343	0.250337294062049	1054	200	TRUE	TRUE	0.664849555762408
PTPRC	expr	ambient_tracer	Fibroblasts - Ambient reference	-0.61247602560133	0.0380357630652388	944.797620733682	-16.1026354210592	1.96526658427535e-51	0.602494047906149	0.529365595442307	1054	200	FALSE	TRUE	1.96526658427535e-50
PTPRC	expr	ambient_tracer	Pericytes - Ambient reference	-0.369550747807443	0.0814330111422757	935.095170138597	-4.53809508728325	6.41592429319704e-06	0.602494047906149	0.529365595442307	1054	200	TRUE	TRUE	3.20796214659852e-05
COL4A1	expr	basement_membrane	Fibroblasts - Ambient reference	0.210769279931029	0.0397417340172312	918.040478744931	5.30347467575632	1.42431799322816e-07	0.409183015089194	0.54878643334393	1054	200	FALSE	FALSE	2.19125845112025e-07
COL4A1	expr	basement_membrane	Pericytes - Ambient reference	1.2943415073888	0.0849246035161029	905.001610458029	15.241066237576	1.47682532511112e-46	0.409183015089194	0.54878643334393	1054	200	TRUE	FALSE	4.92275108370374e-46
COL4A2	expr	basement_membrane	Fibroblasts - Ambient reference	0.212011629210984	0.0405950859423059	937.091655595777	5.22259343193156	2.17411950346646e-07	0.471131135003166	0.563616432566479	1054	200	FALSE	FALSE	3.22091778291327e-07
COL4A2	expr	basement_membrane	Pericytes - Ambient reference	1.20019553289935	0.086867447336179	925.238005728615	13.8164015370979	2.60148579648573e-39	0.471131135003166	0.563616432566479	1054	200	TRUE	FALSE	8.00457168149455e-39
COL15A1	expr	basement_membrane	Fibroblasts - Ambient reference	0.310122477820259	0.0288295429649267	981.32409269665	10.7571069786832	2.74699822304578e-25	0.252621754071361	0.406159827033377	1054	200	FALSE	FALSE	6.46352523069594e-25
COL15A1	expr	basement_membrane	Pericytes - Ambient reference	-0.0961988889660472	0.0618035798799412	979.613556805058	-1.55652616163856	0.119906015860904	0.252621754071361	0.406159827033377	1054	200	TRUE	FALSE	0.14988251982613
COL18A1	expr	basement_membrane	Fibroblasts - Ambient reference	0.24354304193668	0.0310993799688702	962.747260362404	7.83112210534298	1.27257529661694e-14	0.171249322691052	0.435331441658538	1054	200	FALSE	FALSE	2.31377326657625e-14
COL18A1	expr	basement_membrane	Pericytes - Ambient reference	1.13868330470006	0.0666451487516918	951.827660092001	17.08576432086	5.46373292183416e-57	0.171249322691052	0.435331441658538	1054	200	TRUE	FALSE	2.18549316873367e-56
LAMA1	expr	basement_membrane	Fibroblasts - Ambient reference	0.0233741382232184	0.00679347276736521	943.399313516553	3.44067592873915	0.00121140935547082	0.0475794238631131	0.0945023287206667	1054	200	FALSE	FALSE	0.00167090945582181
LAMA1	expr	basement_membrane	Pericytes - Ambient reference	0.0138600353387562	0.0145411706202412	930.31245615047	0.95315815354392	0.340757526137396	0.0475794238631131	0.0945023287206667	1054	200	TRUE	FALSE	0.392143366015048
LAMA2	expr	basement_membrane	Fibroblasts - Ambient reference	1.48224677770877	0.0249003496796951	974.153283985796	59.5271470792821	0	0.299914390139162	0.349958106611319	1054	200	FALSE	FALSE	0
LAMA2	expr	basement_membrane	Pericytes - Ambient reference	1.22209484070746	0.053367744920479	971.926305722864	22.8995031086371	3.72042968741666e-93	0.299914390139162	0.349958106611319	1054	200	TRUE	FALSE	1.65352430551852e-92
LAMA3	expr	basement_membrane	Fibroblasts - Ambient reference	0.0394980071358331	0.0117360131577276	955.866468281064	3.36553875707149	0.00158870422288914	0.14610892876817	0.163897090625788	1054	200	FALSE	FALSE	0.00211827229718552
LAMA3	expr	basement_membrane	Pericytes - Ambient reference	-0.0110677845055745	0.025139143947433	947.833657554108	-0.440260994118084	0.659848467187652	0.14610892876817	0.163897090625788	1054	200	TRUE	FALSE	0.676767658654002
