term	estimate	SE	df	t_ratio	p_value	outcome	converged	max_grad	model	n_units	n_donors	p_BH
tgfb_response_score_z	-0.196403134911799	0.0683055463749548	210.868499360348	-2.87536145064514	0.0044495556674894	basement_membrane_score_z	TRUE		full_panel	214	95	0.00889911133497879
tgfb_response_score_z	-0.135168708960547	0.0696437207747316	208.72655010895	-1.94085995775214	0.0536219143587708	bm_minus_fibrillar_z	TRUE		full_panel	214	95	0.0536219143587708
tgfb_smad_score_z	-0.00250782921135407	0.0671357560516458	203.468897157933	-0.0373545984858629	0.970238896049512	basement_membrane_score_z	TRUE		smad_alone	214	95	0.970238896049512
tgfb_smad_score_z	-0.186850285180937	0.0658070696834418	196.822441107097	-2.83936492051328	0.00499492294847857	bm_minus_fibrillar_z	TRUE		smad_alone	214	95	0.00998984589695714
tgfb_ieg_score_z	-0.186730764259557	0.0675731009425124	210.986113457304	-2.7633890062026	0.00622610504931616	basement_membrane_score_z	TRUE		ieg_alone	214	95	0.0124522100986323
tgfb_ieg_score_z	-0.0137755476166829	0.0693067566166924	208.091139235908	-0.198761971980162	0.842643005367097	bm_minus_fibrillar_z	TRUE		ieg_alone	214	95	0.842643005367097
tgfb_smad_score_z	0.0257508542376543	0.0668614308348859	201.259618654736	0.385137648358826	0.700542151751718	basement_membrane_score_z	TRUE		head_to_head	214	95	0.819643105880361
tgfb_ieg_score_z	-0.190735636186999	0.0685037144922371	209.99784671542	-2.78431085964855	0.00585411381349895	basement_membrane_score_z	TRUE		head_to_head	214	95	0.0117082276269979
tgfb_smad_score_z	-0.189126559182885	0.0667047206931731	195.18368544912	-2.83527998045034	0.00506077254121067	bm_minus_fibrillar_z	TRUE		head_to_head	214	95	0.0117082276269979
tgfb_ieg_score_z	0.015739381227281	0.068943305762985	206.553519231366	0.228294553809041	0.819643105880361	bm_minus_fibrillar_z	TRUE		head_to_head	214	95	0.819643105880361
