gene	program	mean_detect	category	role
TGFB1	activated_migratory	0.12181818181818181	Signaling ligands	Pericyte-EC crosstalk
TGFB2	activated_migratory	0.09393939393939393	Signaling ligands	Pericyte-EC crosstalk
TGFB3	activated_migratory	0.02909090909090909	Signaling ligands	Pericyte-EC crosstalk
WNT5A	activated_migratory	0.030303030303030304	Signaling ligands	Pericyte-EC crosstalk
NODAL	activated_migratory	0.0018181818181818182	Signaling ligands	Pericyte-EC crosstalk
CXCL1	activated_migratory	0.01090909090909091	Chemokines	Neutrophil/monocyte recruitment
CXCL2	activated_migratory	0.059393939393939395	Chemokines	Neutrophil/monocyte recruitment
CXCL3	activated_migratory	0.02727272727272727	Chemokines	Neutrophil/monocyte recruitment
CXCL6	activated_migratory	0.0006060606060606061	Chemokines	Neutrophil/monocyte recruitment
CXCL8	activated_migratory	0.03090909090909091	Chemokines	Neutrophil/monocyte recruitment
CXCL10	activated_migratory	0.00787878787878788	Chemokines	Neutrophil/monocyte recruitment
CCL2	activated_migratory	0.09454545454545454	Chemokines	Neutrophil/monocyte recruitment
CCL20	activated_migratory	0.01090909090909091	Chemokines	Neutrophil/monocyte recruitment
IL1A	activated_migratory	0.0	Cytokines	Inflammatory amplification
IL1B	activated_migratory	0.00787878787878788	Cytokines	Inflammatory amplification
IL6	activated_migratory	0.1290909090909091	Cytokines	Inflammatory amplification
MIF	activated_migratory	0.33515151515151514	Cytokines	Inflammatory amplification
ICAM1	activated_migratory	0.07090909090909091	Adhesion molecules	Leukocyte trafficking
VCAM1	activated_migratory	0.013939393939393939	Adhesion molecules	Leukocyte trafficking
SELE	activated_migratory	0.0012121212121212121	Adhesion molecules	Leukocyte trafficking
COL1A1	activated_migratory	0.17575757575757575	ECM structural	Basement membrane / vascular stability
COL4A1	activated_migratory	0.7618181818181818	ECM structural	Basement membrane / vascular stability
FN1	activated_migratory	0.263030303030303	ECM structural	Basement membrane / vascular stability
LAMA2	activated_migratory	0.2684848484848485	ECM structural	Basement membrane / vascular stability
LAMB1	activated_migratory	0.5363636363636364	ECM structural	Basement membrane / vascular stability
MMP2	activated_migratory	0.3381818181818182	Matrix-remodeling	ECM degradation / sprouting
MMP3	activated_migratory	0.0018181818181818182	Matrix-remodeling	ECM degradation / sprouting
MMP9	activated_migratory	0.005454545454545455	Matrix-remodeling	ECM degradation / sprouting
ACTA2	activated_migratory	0.5684848484848485	Fibrotic mediators	Myofibroblast transition / fibrosis
