ligand	target	weight
CCN2	CCL2	0.0792674947750981
CCN2	CCN1	0.0147898387798476
CCN2	CCN2	0.0185059208662147
CCN2	CCND1	0.0869471293282284
CCN2	CXCL1	0.069761730200391
CCN2	CXCL2	0.0712127354759647
CCN2	CXCL8	0.0760076545510285
CCN2	FN1	0.0169059335905505
CCN2	ICAM1	0.0198720033938064
CCN2	NFKBIA	0.0179583593479047
CCN2	SOD2	0.0147916852417604
CCN2	THBS1	0.0198385976101161
CCN2	TIMP1	0.0736636346222342
C4BPA	CCL2	0.0261682989194186
C4BPA	CCL20	0.0209770713573367
C4BPA	CCN2	0.0153056698122447
C4BPA	CCND1	0.0289171409333775
C4BPA	CXCL1	0.024257705352718
C4BPA	CXCL2	0.0245580172169573
C4BPA	CXCL8	0.0295347152656324
C4BPA	FN1	0.0181330191443876
C4BPA	ICAM1	0.034342013366813
C4BPA	NFKBIA	0.0345261290494523
C4BPA	SOD2	0.0186553374639162
C4BPA	TIMP1	0.0149768971667096
IL33	CCL20	0.0708247750707029
IL33	CXCL1	0.106167583884762
IL33	CXCL8	0.162621385098085
IL33	ICAM1	0.129795946266225
IL33	NFKBIA	0.0714254760833188
IL33	SOD2	0.0700540873858579
VTN	CCL2	0.0128501108317926
VTN	CCN1	0.00898905734432325
VTN	CCN2	0.0112059080043879
VTN	CCND1	0.0209979659999111
VTN	CXCL2	0.0268316061295656
VTN	CXCL8	0.0132318717672049
VTN	FN1	0.0108467036077466
VTN	ICAM1	0.012132245762411
VTN	NFKBIA	0.0106937122218221
VTN	SOD2	0.00878187314582373
VTN	THBS1	0.0108554612497941
VTN	TIMP2	0.0668877934427876
VWF	CCL2	0.010585799094652
VWF	CCN1	0.00908584300460575
VWF	CCN2	0.00978285078293796
VWF	CCND1	0.0749770372396838
VWF	CXCL1	0.00742912957909968
VWF	CXCL2	0.00735860275561616
VWF	CXCL8	0.0132075995718764
VWF	FN1	0.00920567042903792
VWF	ICAM1	0.0679668820086539
VWF	NFKBIA	0.00964110371647093
VWF	PCNA	0.00779605887892419
VWF	SOD2	0.00856189313704216
VWF	THBS1	0.009781635055697
VWF	TIMP1	0.00735596036299614
IL1RN	CCL2	0.0812322645307602
IL1RN	CCL20	0.0127456419713987
IL1RN	CCN2	0.0145783507684475
IL1RN	CCND1	0.0234212706781036
IL1RN	CXCL1	0.0135255304664505
IL1RN	CXCL2	0.0145106675434658
IL1RN	CXCL8	0.0213139045876514
IL1RN	FN1	0.0126087271592024
IL1RN	ICAM1	0.075465141759012
IL1RN	NFKBIA	0.0171225500569806
IL1RN	PCNA	0.0112335349583433
IL1RN	SOD2	0.0115966246698126
IL1RN	THBS1	0.0146222998156003
SAA1	CCL2	0.0100736940636153
SAA1	CCL20	0.0654763941123568
SAA1	CCN2	0.00777389448691374
SAA1	CCND1	0.0146001233743309
SAA1	CXCL1	0.00677596428736705
SAA1	CXCL2	0.00710785517223733
SAA1	CXCL8	0.0111183038378755
SAA1	FN1	0.00752704344183345
SAA1	ICAM1	0.0106248545804287
SAA1	NFKBIA	0.00975694552915135
SAA1	SOD2	0.006720231465205
SAA1	THBS1	0.0065066734322231
TGM2	CCL2	0.055578938906612
TGM2	CXCL2	0.0504982982595135
TGM2	CXCL8	0.0534272291017432
TGM2	NFKBIA	0.0530855792607406
TGM2	THBS1	0.0530350479224161
TGM2	TIMP1	0.0489517887031618
S100A12	CCL2	0.0506383419622211
S100A12	CCL20	0.0307032173475399
S100A12	CCN2	0.0258265558310516
S100A12	CCND1	0.0548459614158461
S100A12	CXCL1	0.0372485252690709
S100A12	CXCL2	0.0349756714748413
S100A12	CXCL8	0.0479259654842512
S100A12	FN1	0.0352759599252948
S100A12	ICAM1	0.112609419231373
S100A12	NFKBIA	0.0451378695276409
S100A12	SOD2	0.0268861017105051
S100A12	THBS1	0.0248915212476527
WNT5A	CCL2	0.0919612252057986
WNT5A	CCND1	0.0760817699315403
WNT5A	CXCL1	0.0902446375938219
WNT5A	CXCL8	0.0718969172881799
WNT5A	NFKBIA	0.0692517243344218
WNT5A	THBS1	0.0707967274450983
ANXA1	CCL2	0.0438821009352539
ANXA1	CCN1	0.00765454223322386
ANXA1	CCN2	0.00961651002386133
ANXA1	CCND1	0.0176381802803452
ANXA1	CXCL1	0.00742598759693794
ANXA1	CXCL2	0.0401334852718143
ANXA1	CXCL8	0.0114724466838478
ANXA1	FN1	0.00930507611416456
ANXA1	ICAM1	0.0098722733661488
ANXA1	NFKBIA	0.00985881284228497
ANXA1	PCNA	0.00707154545963877
ANXA1	SOD2	0.00740853712466794
ANXA1	THBS1	0.0092321912962875
TGFBI	CCL2	0.0119038698395573
TGFBI	CCL20	0.00788825148916103
TGFBI	CCN1	0.00846618317667467
TGFBI	CCN2	0.0110807936011197
TGFBI	CCND1	0.0177154171091631
TGFBI	CXCL1	0.00873573528721606
TGFBI	CXCL2	0.00881239382265993
TGFBI	CXCL8	0.0110019677539761
TGFBI	FN1	0.0093875461445109
TGFBI	ICAM1	0.0446922419179354
TGFBI	NFKBIA	0.0110768425055682
TGFBI	SOD2	0.00853227036357536
TGFBI	THBS1	0.00951042880402857
PRG4	CCL2	0.0118080093707725
PRG4	CCL20	0.00882408293756407
PRG4	CCN1	0.0095938230552232
PRG4	CCN2	0.00972043043885319
PRG4	CCND1	0.0209681929339705
PRG4	CXCL1	0.00824613622131541
PRG4	CXCL2	0.00987738693977491
PRG4	CXCL8	0.0133765338621067
PRG4	FN1	0.00979815758049709
PRG4	ICAM1	0.0135276053892402
PRG4	ITGB1	0.00826494052766578
PRG4	NFKBIA	0.010270823883646
PRG4	PCNA	0.00902173870772651
PRG4	THBS1	0.0120752691684701
SFTPA1	CCL2	0.0147046070827148
SFTPA1	CCN1	0.00959871508493917
SFTPA1	CCN2	0.01215924865199
SFTPA1	CCND1	0.021839542417685
SFTPA1	CXCL8	0.105436310165673
SFTPA1	FN1	0.00978640851537276
SFTPA1	ICAM1	0.0150145165411428
SFTPA1	NFKBIA	0.0105095865438492
SFTPA1	PCNA	0.01002799717727
SFTPA1	SOD2	0.0100931860399616
SFTPA1	THBS1	0.0133748457363238
SFTPA1	TIMP1	0.0110666583471602
SFTPA1	TIMP2	0.00920271788104226
SIGLEC9	CCL2	0.00910362940105561
SIGLEC9	CCL20	0.00643088150588475
SIGLEC9	CCN1	0.00698609297081504
SIGLEC9	CCN2	0.00975294688179026
SIGLEC9	CCND1	0.0179970798092561
SIGLEC9	CXCL1	0.00634454186586275
SIGLEC9	CXCL2	0.00608923060414208
SIGLEC9	CXCL8	0.0114211196784284
SIGLEC9	FN1	0.00715584549728368
SIGLEC9	ICAM1	0.01049849899924
SIGLEC9	NFKBIA	0.00816029528378477
SIGLEC9	SOD2	0.00618886376533457
SIGLEC9	THBS1	0.00903260772385628
S100A8	CCL2	0.0200586354013967
S100A8	CCN1	0.0122211750109317
S100A8	CCN2	0.0154314304147136
S100A8	CCND1	0.0288862294818122
S100A8	CXCL1	0.0131280474713346
S100A8	CXCL8	0.0772790620279314
S100A8	FN1	0.0143439102604582
S100A8	ICAM1	0.0218698463693709
S100A8	NFKBIA	0.0152693196433959
S100A8	PCNA	0.0128735050296662
S100A8	SOD2	0.0141388892968169
S100A8	THBS1	0.0181241683627567
TIMP2	CCL2	0.010691837855735
TIMP2	CCN1	0.00728808615500627
TIMP2	CCN2	0.00948171642576424
TIMP2	CCND1	0.0190340369879964
TIMP2	CXCL1	0.00784409859144127
TIMP2	CXCL2	0.00712599499098102
TIMP2	CXCL8	0.0115132961742798
TIMP2	FN1	0.0095625456140356
TIMP2	ICAM1	0.0128087568604404
TIMP2	NFKBIA	0.0108745372699239
TIMP2	SOD2	0.00837310849133203
TIMP2	THBS1	0.00814610583550094
TIMP2	TIMP1	0.00752539844866291
EDN1	CCL2	0.069496829960402
EDN1	CCN1	0.00913487201999152
EDN1	CCN2	0.0113686904296738
EDN1	CCND1	0.0197628031798424
EDN1	CXCL8	0.103014448380721
EDN1	FN1	0.0108611933991278
EDN1	ICAM1	0.0690945477207059
EDN1	NFKBIA	0.010563715071801
EDN1	PCNA	0.00883893438581479
EDN1	SOD2	0.009000675419172
EDN1	THBS1	0.0115319522707414
EDN1	TIMP1	0.0668322723953267
SHISA4	CCL2	0.0065288706108762
SHISA4	CCN1	0.00450678213348196
SHISA4	CCN2	0.0052651908732104
SHISA4	CCND1	0.0104642232943449
SHISA4	CXCL2	0.00434258158987091
SHISA4	CXCL8	0.00927307416302382
SHISA4	FN1	0.00516925363621768
SHISA4	ICAM1	0.0059059753533586
SHISA4	MYL9	0.00569707675849601
SHISA4	NFKBIA	0.00582083643426482
SHISA4	PCNA	0.00496375617028909
SHISA4	SOD2	0.00430549657560094
SHISA4	THBS1	0.00554061848309754
SHISA4	TIMP1	0.0040352575465209
ITGB2	CCL2	0.0693727312034773
ITGB2	CCN1	0.00797121017196716
ITGB2	CCN2	0.00985063157760789
ITGB2	CCND1	0.0203125561827812
ITGB2	CXCL1	0.00850919164385694
ITGB2	CXCL2	0.00854551248808607
ITGB2	CXCL8	0.0128054228251364
ITGB2	FN1	0.0102363054469251
ITGB2	ICAM1	0.014359012146744
