test_ligand	obs_aupr	null_mean	null_sd	z	p_emp	rank	receiver	p_emp_adj
TGFB2	0.208170306721241	0.00140962013430383	0.00562637248038936	36.7484888900617	0.000999000999000999	1	Pericytes	0.000999000999000999
TGFB1	0.2030569287902	0.00128581502936967	0.0050042557781597	40.3199042385941	0.000999000999000999	2	Pericytes	0.000999000999000999
CCN2	0.158998327486667	0.00152450327107874	0.00528047564683619	29.821901424721	0.000999000999000999	3	Pericytes	0.000999000999000999
TIMP2	0.146083452147181	0.00112106919561311	0.00388957814704568	37.2694357771611	0.000999000999000999	4	Pericytes	0.000999000999000999
COPA	0.13852941971183	0.00103453172940294	0.00360739830263764	38.1146955360862	0.000999000999000999	5	Pericytes	0.000999000999000999
VTN	0.12887517289011	0.00112769676537404	0.00397844821947782	32.1098752773267	0.000999000999000999	6	Pericytes	0.000999000999000999
COL4A1	0.121277247355698	0.00103154901868754	0.00367965229101231	32.678549174528	0.000999000999000999	7	Pericytes	0.000999000999000999
COL1A1	0.107306389764533	0.00118659918403426	0.00446229890472943	23.7814168988156	0.000999000999000999	8	Pericytes	0.000999000999000999
MMP14	0.103919588314249	0.00116250914263462	0.00430277948120273	23.8815583323576	0.000999000999000999	9	Pericytes	0.000999000999000999
COL5A1	0.103344551086895	0.00102438985971985	0.0035889094732491	28.5100981202913	0.000999000999000999	10	Pericytes	0.000999000999000999
AGT	0.102744838353057	0.000983551910599088	0.00332178079791905	30.6345579775184	0.000999000999000999	11	Pericytes	0.000999000999000999
ENG	0.102339758308924	0.00126346737764734	0.00526398803003258	19.2014667120454	0.000999000999000999	12	Pericytes	0.000999000999000999
SIRPB2	0.100088913619808	0.00115247527618549	0.00404326203561117	24.4694599242484	0.000999000999000999	13	Pericytes	0.000999000999000999
VCAM1	0.0989730367689061	0.00113649124400489	0.00403444805125777	24.2502925510219	0.000999000999000999	14	Pericytes	0.000999000999000999
FN1	0.0956954831852978	0.00122078442676403	0.0046172468822965	20.461262125872	0.000999000999000999	15	Pericytes	0.000999000999000999
RELN	0.0951689614659528	0.00124865966163096	0.00457888735771073	20.51159909976	0.000999000999000999	16	Pericytes	0.000999000999000999
NAMPT	0.0950738842539528	0.00107034428277526	0.00396296936096649	23.7204811364607	0.000999000999000999	17	Pericytes	0.000999000999000999
THBS2	0.0931076112478326	0.00113558378452007	0.00406996179002966	22.5977618975736	0.000999000999000999	18	Pericytes	0.000999000999000999
TGM2	0.092948240344352	0.000930034127840588	0.00421070220568717	21.8534110752899	0.000999000999000999	19	Pericytes	0.000999000999000999
ICAM1	0.0873564816898791	0.00114574546950472	0.00404493488742657	21.3132568557173	0.000999000999000999	20	Pericytes	0.000999000999000999
TNC	0.0863933442655254	0.00110174021556023	0.00397678788722511	21.4473606510302	0.000999000999000999	21	Pericytes	0.000999000999000999
BMP4	0.08533396195016	0.000953114355791402	0.00320810074261804	26.3024307414697	0.000999000999000999	22	Pericytes	0.000999000999000999
ANG	0.0839745362064393	0.00104769114744516	0.00399523951469435	20.7564139156093	0.000999000999000999	23	Pericytes	0.000999000999000999
WNT3A	0.0839172948439343	0.0011404819765485	0.00396422477422743	20.8809584677291	0.000999000999000999	24	Pericytes	0.000999000999000999
NTS	0.0816279701361454	0.00125679180335425	0.00418928079295964	19.1849585417765	0.000999000999000999	25	Pericytes	0.000999000999000999
