test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
TGFB2	0.862616365615758	0.23930300708424	0.23126968366859	0.333541132240812	1	Pericyte_fibroblast_like
TGFB1	0.93412428625386	0.230284819294774	0.222251495879124	0.297008482349068	2	Pericyte_fibroblast_like
COPA	0.838199026861294	0.162124484469351	0.154091161053701	0.210062231417316	3	Pericyte_fibroblast_like
CCN2	0.807993956764196	0.148861600935335	0.140828277519685	0.227103551044717	4	Pericyte_fibroblast_like
COL4A1	0.82210224621742	0.142381565238288	0.134348241822637	0.182950463372354	5	Pericyte_fibroblast_like
COL1A1	0.839665400253273	0.133589965956265	0.125556642540615	0.192100898125446	6	Pericyte_fibroblast_like
RELN	0.843620164855913	0.122369863547391	0.114336540131741	0.18194029025328	7	Pericyte_fibroblast_like
COL5A1	0.826034793041392	0.121326605998788	0.113293282583138	0.165497821211284	8	Pericyte_fibroblast_like
MMP14	0.818836232753443	0.12113226495209	0.11309894153644	0.238942734784449	9	Pericyte_fibroblast_like
LTBP1	0.819936012797431	0.12099048714597	0.11295716373032	0.166182538413672	10	Pericyte_fibroblast_like
AGT	0.800806505365593	0.119057124069269	0.111023800653619	0.246866833286506	11	Pericyte_fibroblast_like
BMP1	0.820713635050761	0.117718068539858	0.109684745124208	0.17395212515719	12	Pericyte_fibroblast_like
TIMP2	0.781643671265742	0.116647237294764	0.108613913879114	0.207591372880994	13	Pericyte_fibroblast_like
FN1	0.840365260281273	0.115992426551775	0.107959103136125	0.232461402460274	14	Pericyte_fibroblast_like
INHBB	0.799084627518941	0.111397936882016	0.103364613466366	0.169692586245959	15	Pericyte_fibroblast_like
TGM2	0.806472038925544	0.110462994656987	0.102429671241337	0.073888162068142	16	Pericyte_fibroblast_like
OCLN	0.812937412517492	0.110307917743015	0.102274594327364	0.151473520033054	17	Pericyte_fibroblast_like
BMP5	0.800539892021591	0.108830665255371	0.100797341839721	0.150740225524599	18	Pericyte_fibroblast_like
FST	0.804461329956236	0.108469782321256	0.100436458905606	0.153948243705032	19	Pericyte_fibroblast_like
IGFBP3	0.766979937345857	0.107378291238471	0.0993449678228209	0.148075781199319	20	Pericyte_fibroblast_like
VTN	0.81337065920149	0.105996820615598	0.0979634971999482	0.199945097187293	21	Pericyte_fibroblast_like
ICAM1	0.81148214801484	0.0977630463064657	0.0897297228908156	0.171903052292617	22	Pericyte_fibroblast_like
CRB3	0.805827723344211	0.0975141114197501	0.0894807880041	0.140573535662711	23	Pericyte_fibroblast_like
SHISA4	0.8281788086827	0.0973548575235234	0.0893215341078732	0.165218571915714	24	Pericyte_fibroblast_like
BMP4	0.834921904507987	0.094527873966996	0.0864945505513459	0.190769567075759	25	Pericyte_fibroblast_like
GGT1	0.816847741562794	0.093396910944469	0.0853635875288189	0.158181669779776	26	Pericyte_fibroblast_like
WNT3A	0.813137372525493	0.0933614240707143	0.0853281006550642	0.168614539321343	27	Pericyte_fibroblast_like
ENG	0.841054011419931	0.0930499921509382	0.0850166687352881	0.201071381768175	28	Pericyte_fibroblast_like
SEMA3F	0.838210135750622	0.0907310411702723	0.0826977177546222	0.16123187543536	29	Pericyte_fibroblast_like
CALM3	0.806816414494876	0.0873830881933613	0.0793497647777112	0.169473636269371	30	Pericyte_fibroblast_like
PSAP	0.761536581572574	0.0870216207616305	0.0789882973459804	0.166391241618028	31	Pericyte_fibroblast_like
S100A9	0.790430802728334	0.0865381406368149	0.0785048172211648	0.172720213491848	32	Pericyte_fibroblast_like
LGALS3BP	0.841453931435933	0.085784095611388	0.0777507721957379	0.173899743363478	33	Pericyte_fibroblast_like
NTS	0.824324024084065	0.0854907544220225	0.0774574310063724	0.0869889023709473	34	Pericyte_fibroblast_like
C4BPA	0.711002243995642	0.0834967496489966	0.0754634262333465	0.130833811322784	35	Pericyte_fibroblast_like
COL10A1	0.800573218689595	0.0833828089512406	0.0753494855355905	0.152812408749099	36	Pericyte_fibroblast_like
JAM3	0.839754271367944	0.0833061363262557	0.0752728129106056	0.158137074199643	37	Pericyte_fibroblast_like
COL3A1	0.823501966273415	0.083102617791766	0.0750692943761159	0.153513059340902	38	Pericyte_fibroblast_like
LIN7C	0.814981448154806	0.0829515079770132	0.0749181845613631	0.14429820328924	39	Pericyte_fibroblast_like
VCAN	0.836010575662644	0.0826645934336283	0.0746312700179782	0.158020518283665	40	Pericyte_fibroblast_like
PVR	0.843475749294584	0.0820805889304512	0.0740472655148011	0.15657456862011	41	Pericyte_fibroblast_like
ANXA1	0.828834233153366	0.0817888327474672	0.0737555093318171	0.157667056213388	42	Pericyte_fibroblast_like
F11R	0.819125063876111	0.0813305168450976	0.0732971934294475	0.155182190446121	43	Pericyte_fibroblast_like
C1QB	0.837643582394629	0.0811605572513625	0.0731272338357124	0.156760422059767	44	Pericyte_fibroblast_like
LAMA3	0.825779288586718	0.0800426418255917	0.0720093184099416	0.154036943345472	45	Pericyte_fibroblast_like
IL1RN	0.798262569708272	0.0798762051411516	0.0718428817255015	0.141045069492589	46	Pericyte_fibroblast_like
BMP3	0.796262969628295	0.0798216321723974	0.0717883087567473	0.151108758433288	47	Pericyte_fibroblast_like
COL5A3	0.829289697616034	0.0796409351596712	0.0716076117440211	0.155456472462028	48	Pericyte_fibroblast_like
CTSD	0.834577528938648	0.0788975892237027	0.0708642658080526	0.14052462060351	49	Pericyte_fibroblast_like
C3	0.828045502010704	0.0787189645977389	0.0706856411820888	0.14703046949176	50	Pericyte_fibroblast_like
MMP2	0.770279277477832	0.0786174341732391	0.070584110757589	0.137253564366837	51	Pericyte_fibroblast_like
EDN1	0.830000666533351	0.0784166035554455	0.0703832801397954	0.136690587020469	52	Pericyte_fibroblast_like
RTN4	0.830500566553352	0.0784135352370704	0.0703802118214203	0.117708588298534	53	Pericyte_fibroblast_like
CDCP1	0.817769779377458	0.0783994793914489	0.0703661559757988	0.152431626448552	54	Pericyte_fibroblast_like
TIMP3	0.808938212357527	0.078131327109919	0.0700980036942689	0.14820750552819	55	Pericyte_fibroblast_like
FCN1	0.812348641382828	0.0778574807610136	0.0698241573453635	0.151010810303202	56	Pericyte_fibroblast_like
LAMC1	0.8367326534693	0.0777927003727191	0.069759376957069	0.156596561964958	57	Pericyte_fibroblast_like
DCN	0.830456130996024	0.0777614566025945	0.0697281331869444	0.143241356789666	58	Pericyte_fibroblast_like
CCN1	0.846364060521224	0.0775203045969837	0.0694869811813335	0.156588399347011	59	Pericyte_fibroblast_like
CXCL12	0.808493856784196	0.0774131044092878	0.0693797809936376	0.0993061631123169	60	Pericyte_fibroblast_like
RSPO2	0.759214823701927	0.0773788666889556	0.0693455432733055	0.126251093626494	61	Pericyte_fibroblast_like
S100A4	0.840198626941278	0.077227246475425	0.0691939230597749	0.153111579974602	62	Pericyte_fibroblast_like
ITGB2	0.830100646537358	0.0770716651513202	0.0690383417356701	0.149405031393291	63	Pericyte_fibroblast_like
TIMP1	0.807649581194871	0.0766326640596671	0.068599340644017	0.162091000964967	64	Pericyte_fibroblast_like
DLL4	0.765635761736535	0.0761927717107291	0.068159448295079	0.153925933540934	65	Pericyte_fibroblast_like
SIGLEC7	0.826045901930714	0.0758009283224941	0.067767604906844	0.157132988641449	66	Pericyte_fibroblast_like
SEMA3A	0.831089337688014	0.075678879346105	0.0676455559304549	0.157186570158256	67	Pericyte_fibroblast_like
PRG4	0.812459730276165	0.0756759607379758	0.0676426373223257	0.146275618848181	68	Pericyte_fibroblast_like
COL1A2	0.832200226621341	0.0756115477818336	0.0675782243661835	0.152652107740561	69	Pericyte_fibroblast_like
LUM	0.835666200093314	0.0755949797532847	0.0675616563376346	0.153304893264326	70	Pericyte_fibroblast_like
GDF10	0.817358750472132	0.0752572638466734	0.0672239404310233	0.117915308058417	71	Pericyte_fibroblast_like
FGA	0.835943922326643	0.0751449881969867	0.0671116647813366	0.152744106054668	72	Pericyte_fibroblast_like
PROS1	0.82827878868671	0.0743589145308552	0.0663255911152051	0.152333335715614	73	Pericyte_fibroblast_like
NEGR1	0.845586438267901	0.0742899619186929	0.0662566385030428	0.157016138144208	74	Pericyte_fibroblast_like
LAMA5	0.827212335310713	0.0742877351148673	0.0662544116992172	0.152633361574948	75	Pericyte_fibroblast_like
NTM	0.831167099913347	0.0739576091743005	0.0659242857586504	0.151485874589889	76	Pericyte_fibroblast_like
CORIN	0.817136572685458	0.07388912457038	0.0658558011547298	0.145218385203749	77	Pericyte_fibroblast_like
ADAM9	0.820902486169429	0.0737131124584532	0.0656797890428031	0.145866463257345	78	Pericyte_fibroblast_like
SELE	0.781499255704406	0.0735872658660361	0.065553942450386	0.175735370280982	79	Pericyte_fibroblast_like
CTSG	0.795063209580304	0.0735672985604853	0.0655339751448352	0.120876728124177	80	Pericyte_fibroblast_like
LAMB3	0.799506765313602	0.073496878551561	0.0654635551359108	0.144723963576861	81	Pericyte_fibroblast_like
COL14A1	0.830156190984019	0.0731735892341477	0.0651402658184976	0.149810401517144	82	Pericyte_fibroblast_like
A2M	0.79971783421093	0.0728277057761946	0.0647943823605445	0.145702083854154	83	Pericyte_fibroblast_like
SERPING1	0.800128863116263	0.0728071115624381	0.064773788146788	0.145716816231104	84	Pericyte_fibroblast_like
SIGLEC9	0.807627363416201	0.0725905407566695	0.0645572173410194	0.1501323499406	85	Pericyte_fibroblast_like
VCAM1	0.812604145837501	0.0724306795491832	0.0643973561335331	0.148344770304111	86	Pericyte_fibroblast_like
GPC3	0.816336732653465	0.0724274871356968	0.0643941637200467	0.148783222525523	87	Pericyte_fibroblast_like
RGMA	0.806116554466884	0.0721629973973807	0.0641296739817306	0.153722758517336	88	Pericyte_fibroblast_like
COL24A1	0.808193916772194	0.0721321413970617	0.0640988179814116	0.145858418725531	89	Pericyte_fibroblast_like
COL6A2	0.819336132773444	0.0721182067939962	0.0640848833783461	0.148185064933163	90	Pericyte_fibroblast_like
GNAS	0.816503365993467	0.0718316893295247	0.0637983659138746	0.101975423128088	91	Pericyte_fibroblast_like
VWF	0.849130173965206	0.0716830386386157	0.0636497152229656	0.122520604995498	92	Pericyte_fibroblast_like
FLRT2	0.777966628896441	0.0714625485233786	0.0634292251077285	0.136665919388232	93	Pericyte_fibroblast_like
COL27A1	0.823413095158741	0.0713021559302629	0.0632688325146128	0.146891904040151	94	Pericyte_fibroblast_like
HDC	0.745273167588702	0.0710754327288862	0.0630421093132361	0.143620094394173	95	Pericyte_fibroblast_like
JAM2	0.852118465195853	0.0710108820704929	0.0629775586548428	0.153153580425401	96	Pericyte_fibroblast_like
PLA2G2A	0.80153969206158	0.0709558821225093	0.0629225587068592	0.145504079401002	97	Pericyte_fibroblast_like
CD14	0.816081228198795	0.0708801240807457	0.0628468006650956	0.107716110122868	98	Pericyte_fibroblast_like
LAMC3	0.835132973405315	0.0708084909324927	0.0627751675168426	0.146879359254478	99	Pericyte_fibroblast_like
AZGP1	0.787098135928367	0.0707431593039814	0.0627098358883313	0.138286378310824	100	Pericyte_fibroblast_like
SEMA3G	0.841698327001262	0.0705832037396118	0.0625498803239617	0.152663439773973	101	Pericyte_fibroblast_like
BDNF	0.823379768490744	0.0704444608790243	0.0624111374633742	0.116276154869068	102	Pericyte_fibroblast_like
LGALS3	0.798851340842938	0.0704038450550399	0.0623705216393898	0.110118286235539	103	Pericyte_fibroblast_like
SIRPB2	0.786975938145703	0.070394440357425	0.0623611169417749	0.140690638778583	104	Pericyte_fibroblast_like
CLEC11A	0.757037481392606	0.0703570733809974	0.0623237499653473	0.136990161544752	105	Pericyte_fibroblast_like
COL6A6	0.828623164256032	0.0703259335858053	0.0622926101701552	0.147666899326049	106	Pericyte_fibroblast_like
FBN1	0.854484658623832	0.0701951500727415	0.0621618266570914	0.131144634252157	107	Pericyte_fibroblast_like
KIRREL1	0.814414894798812	0.0701464862959389	0.0621131628802888	0.145483701505981	108	Pericyte_fibroblast_like
EFEMP1	0.765957919527207	0.0699846395182427	0.0619513161025926	0.12630251119714	109	Pericyte_fibroblast_like
COL21A1	0.81309293696816	0.0699382806573506	0.0619049572417005	0.145348261292495	110	Pericyte_fibroblast_like
RARRES1	0.827378968650712	0.069834805866678	0.0618014824510279	0.157027678347086	111	Pericyte_fibroblast_like
ADAM15	0.813048501410829	0.0695225251193195	0.0614892017036694	0.143427973749643	112	Pericyte_fibroblast_like
PTPRK	0.777433402208448	0.0694012385839612	0.0613679151683111	0.1369298415533	113	Pericyte_fibroblast_like
MMP9	0.801150880934923	0.0691660282524794	0.0611327048368293	0.105241653591357	114	Pericyte_fibroblast_like
FGG	0.813081828078827	0.0690550597297435	0.0610217363140934	0.143921182364849	115	Pericyte_fibroblast_like
CNTN6	0.801050900930918	0.0687530138346985	0.0607196904190483	0.141647997146565	116	Pericyte_fibroblast_like
NTN1	0.790764069408338	0.0687397552839463	0.0607064318682962	0.138104935391826	117	Pericyte_fibroblast_like
TFPI	0.813104045857493	0.0686867264991082	0.0606534030834581	0.0791514417267149	118	Pericyte_fibroblast_like
NRG3	0.842142682574597	0.0686687662537242	0.0606354428380741	0.14904242655086	119	Pericyte_fibroblast_like
SLPI	0.730253949210157	0.0685261546785743	0.0604928312629242	0.127766854354181	120	Pericyte_fibroblast_like
BACE1	0.776755759959119	0.0685128035628779	0.0604794801472278	0.139198913779875	121	Pericyte_fibroblast_like
CD55	0.797662689684277	0.0684760630094213	0.0604427395937712	0.13322113383958	122	Pericyte_fibroblast_like
LRFN5	0.794063409540309	0.0684724554788134	0.0604391320631633	0.137350833647524	123	Pericyte_fibroblast_like
SOSTDC1	0.806927503388207	0.0683200636591167	0.0602867402434666	0.138628415889609	124	Pericyte_fibroblast_like
COL12A1	0.833833233353326	0.067940674438745	0.0599073510230949	0.136546087620413	125	Pericyte_fibroblast_like
TGFBI	0.774022973183137	0.0672050295083208	0.0591717060926707	0.138284044831754	126	Pericyte_fibroblast_like
SIGLEC5	0.812648581394829	0.067111955150912	0.0590786317352619	0.140747358092258	127	Pericyte_fibroblast_like
NAMPT	0.817636472705449	0.0670265925828713	0.0589932691672212	0.131172465293728	128	Pericyte_fibroblast_like
THBS2	0.788986647115015	0.066968077421428	0.0589347540057779	0.135460226172779	129	Pericyte_fibroblast_like
CDH1	0.816514474882797	0.066939466988913	0.0589061435732628	0.1339821823102	130	Pericyte_fibroblast_like
OSM	0.764758159479215	0.0668519571366234	0.0588186337209733	0.0957526553098388	131	Pericyte_fibroblast_like
CD320	0.797773778577612	0.0666307994108398	0.0585974759951897	0.138974782499012	132	Pericyte_fibroblast_like
LGALS9	0.805072318869549	0.0665443478690462	0.0585110244533961	0.145283854230027	133	Pericyte_fibroblast_like
SEMA3E	0.816192317092133	0.0662782319163971	0.058244908500747	0.142715052700133	134	Pericyte_fibroblast_like
