cell_type	response	contrast	estimate	se	ci_lo	ci_hi	df	t.ratio	p.value	p_BH	n_donors	n_healthy	n_fibrotic	n_other	covars	model
Peribronchial fibroblasts	z_AGTR1_frac	Fibrotic_ILD - Healthy	-0.388072057312708	0.299866120703105	-0.975809653890793	0.199665539265377	76.7153556696294	-1.29415105782135	0.199495619292923	0.830133492348876	93	42	32	19	none	LMM (1|dataset)
Pericytes	z_AGTR1_frac	Fibrotic_ILD - Healthy	0.194283417500927	0.266712646757673	-0.328473370144112	0.717040205145966	73.3882887349639	0.728437214593154	0.468664052314259	0.830133492348876	77	35	24	18	none	LMM (1|dataset)
Myofibroblasts	z_AGTR1_frac	Fibrotic_ILD - Healthy	0.311585419528667	0.43976265747747	-0.550349389127175	1.17352022818451	30.6481667919516	0.708530872802972	0.483970339852149	0.830133492348876	34	19	10	5	none	LMM (1|dataset)
Vascular smooth muscle	z_AGTR1_frac	Fibrotic_ILD - Healthy	0.140871540381767	0.235075200830946	-0.319875853246887	0.601618934010421	108.850267534772	0.599261597496518	0.550243705357307	0.830133492348876	115	61	35	19	none	LMM (1|dataset)
Alveolar fibroblasts	z_AGTR1_frac	Fibrotic_ILD - Healthy	0.120490110671876	0.224724237200918	-0.319969394241923	0.560949615585674	107.226461472563	0.536168738061618	0.592952494534912	0.830133492348876	120	72	30	18	none	LMM (1|dataset)
Mesothelium	z_AGTR1_frac	Fibrotic_ILD - Healthy	-0.0919981071697274	0.475831374430457	-1.02462760105342	0.840631386713968	21.4389089077391	-0.193341826776017	0.848511280935599	0.89572187830417	25	8	15	2	none	LMM (1|dataset)
Adventitial fibroblasts	z_AGTR1_frac	Fibrotic_ILD - Healthy	-0.0267463489672583	0.203625624236001	-0.425852572469819	0.372359874535303	117.879070481224	-0.131350605149082	0.89572187830417	0.89572187830417	127	66	43	18	none	LMM (1|dataset)
Adventitial fibroblasts	z_AGTR1_frac	Other - Healthy	-0.910587914726726	0.359756517076846	-1.61571068819735	-0.205465141256107	16.5502060711955	-2.53112277749848	0.0218353441929876	0.152847409350913	127	66	43	18	none	LMM (1|dataset)
Alveolar fibroblasts	z_AGTR1_frac	Other - Healthy	-0.678440826900982	0.377100020131802	-1.41755686635931	0.0606752125573506	11.3379129488348	-1.7991004791351	0.098648623643995	0.345270182753982	120	72	30	18	none	LMM (1|dataset)
Vascular smooth muscle	z_AGTR1_frac	Other - Healthy	-0.616925614206414	0.438924872631271	-1.4772183645637	0.243367136150877	20.4686864190477	-1.40553806055251	0.174858950626771	0.408004218129132	115	61	35	19	none	LMM (1|dataset)
Peribronchial fibroblasts	z_AGTR1_frac	Other - Healthy	-0.489942090509114	0.465530421928388	-1.40238171748875	0.422497536470526	17.1844296182556	-1.0524383959261	0.307173133051205	0.537552982839609	93	42	32	19	none	LMM (1|dataset)
Myofibroblasts	z_AGTR1_frac	Other - Healthy	0.431208990284743	0.618785703110877	-0.781610987812575	1.64402896838206	7.91206244027915	0.696863208242996	0.505843185104409	0.708180459146172	34	19	10	5	none	LMM (1|dataset)
Mesothelium	z_AGTR1_frac	Other - Healthy	-0.290969708913203	0.852980805202793	-1.96281208711068	1.38087266928427	13.2851536428438	-0.341121051187108	0.738347184145942	0.812967261805764	25	8	15	2	none	LMM (1|dataset)
Pericytes	z_AGTR1_frac	Other - Healthy	-0.125193304096574	0.521308355938066	-1.14695768173518	0.896571073542035	17.7285545926767	-0.24015211471394	0.812967261805764	0.812967261805764	77	35	24	18	none	LMM (1|dataset)
