cell_type	response	contrast	estimate	se	ci_lo	ci_hi	df	t.ratio	p.value	p_BH	n_donors	n_healthy	n_fibrotic	n_other	covars	model
Peribronchial fibroblasts	AGTR1_mean	Fibrotic_ILD - Healthy	-0.0567498607370643	0.0254759815693292	-0.10668278461295	-0.00681693686117906	61.1257300426327	-2.22758289342563	0.0295998837907048	0.207199186534934	93	42	32	19	none	LMM (1|dataset)
Alveolar fibroblasts	AGTR1_mean	Fibrotic_ILD - Healthy	-0.0213520610385605	0.0316482180506474	-0.0833825684178295	0.0406784463407085	100.184018780948	-0.674668665527715	0.501440266922688	0.849490713173842	120	72	30	18	none	LMM (1|dataset)
Myofibroblasts	AGTR1_mean	Fibrotic_ILD - Healthy	0.0106074157686626	0.0157106203133246	-0.0201854000454536	0.0414002315827788	30.4456701803019	0.675174853513974	0.504660490324867	0.849490713173842	34	19	10	5	none	LMM (1|dataset)
Pericytes	AGTR1_mean	Fibrotic_ILD - Healthy	-0.0654488824737166	0.111769674872169	-0.284517445223168	0.153619680275735	72.4330837103207	-0.585569230192092	0.559985091788797	0.849490713173842	77	35	24	18	none	LMM (1|dataset)
Adventitial fibroblasts	AGTR1_mean	Fibrotic_ILD - Healthy	-0.0133260654442126	0.0258236515548679	-0.0639404224917536	0.0372882916033284	119.518902347923	-0.51604109573344	0.606779080838458	0.849490713173842	127	66	43	18	none	LMM (1|dataset)
Mesothelium	AGTR1_mean	Fibrotic_ILD - Healthy	-0.00392199151096481	0.0145017950157556	-0.0323455097418458	0.0245015267199162	21.4389089077391	-0.270448693193065	0.789401598535245	0.901481986452291	25	8	15	2	none	LMM (1|dataset)
Vascular smooth muscle	AGTR1_mean	Fibrotic_ILD - Healthy	-0.00242647404020455	0.0195522652273349	-0.040748913885781	0.0358959658053719	100.683470226723	-0.124101939698129	0.901481986452291	0.901481986452291	115	61	35	19	none	LMM (1|dataset)
Adventitial fibroblasts	AGTR1_mean	Other - Healthy	-0.107420405641492	0.0465663602565035	-0.198690471744239	-0.0161503395387453	16.928880884621	-2.30682417628914	0.0339787965232687	0.198876076926903	127	66	43	18	none	LMM (1|dataset)
Alveolar fibroblasts	AGTR1_mean	Other - Healthy	-0.106894865541331	0.0494209836793962	-0.203759993552948	-0.0100297375297145	9.6400376949098	-2.16294491899998	0.0568217362648294	0.198876076926903	120	72	30	18	none	LMM (1|dataset)
Peribronchial fibroblasts	AGTR1_mean	Other - Healthy	-0.0505832108525454	0.0355277748726572	-0.120217649602954	0.0190512278978626	16.0864171290685	-1.42376523815105	0.173622107161713	0.309609259478687	93	42	32	19	none	LMM (1|dataset)
Vascular smooth muscle	AGTR1_mean	Other - Healthy	-0.0462845656321845	0.0330355704519181	-0.111034283717944	0.018465152453575	19.4910597539593	-1.40105241105341	0.176919576844964	0.309609259478687	115	61	35	19	none	LMM (1|dataset)
Myofibroblasts	AGTR1_mean	Other - Healthy	0.0127658090702908	0.0217890273975384	-0.0299406846288844	0.0554723027694659	7.89891406745987	0.585882464479942	0.574308742732563	0.804032239825588	34	19	10	5	none	LMM (1|dataset)
Mesothelium	AGTR1_mean	Other - Healthy	-0.00472405386760778	0.0259960848614301	-0.0556763801960107	0.0462282724607952	13.2851536428438	-0.181721743592889	0.858544493308701	0.870700451884902	25	8	15	2	none	LMM (1|dataset)
Pericytes	AGTR1_mean	Other - Healthy	-0.0378678024834569	0.22936077496374	-0.487414921412387	0.411679316445473	18.0367259625148	-0.165101476001917	0.870700451884902	0.870700451884902	77	35	24	18	none	LMM (1|dataset)
