dataset	nH_pre	nF_pre	nH_post	nF_post	in_forest	reason
Banovich_Kropski_2020	21	18	8	7	TRUE	enters the forest
Sheppard_2020	3	5	3	5	TRUE	enters the forest
Schiller_2020	7	3	3	2	TRUE	enters the forest
Kaminski_2020	8	23	0	6	FALSE	Healthy arm lost to the >=10-pericyte filter (8 -> 0)
Lafyatis_2019	0	4	0	4	FALSE	below 2 donors in an arm (0 H / 4 F)
Duong_lungMAP_unpubl	1	0	1	0	FALSE	never sampled both arms (1 H / 0 F before the filter)
Eils_2020	7	0	3	0	FALSE	below 2 donors in an arm (3 H / 0 F)
Gomperts_2021_CFF	1	0	0	0	FALSE	never sampled both arms (1 H / 0 F before the filter)
Krasnow_2020	3	0	3	0	FALSE	below 2 donors in an arm (3 H / 0 F)
Lafyatis_Rojas_2019_10Xv1	1	0	0	0	FALSE	never sampled both arms (1 H / 0 F before the filter)
Lafyatis_Rojas_2019_10Xv2	3	0	0	0	FALSE	Healthy arm lost to the >=10-pericyte filter (3 -> 0)
Meyer_2019	2	0	1	0	FALSE	Healthy arm lost to the >=10-pericyte filter (2 -> 1)
Meyer_2021_3prime	2	0	1	0	FALSE	Healthy arm lost to the >=10-pericyte filter (2 -> 1)
Meyer_2021_5prime	4	0	4	0	FALSE	below 2 donors in an arm (4 H / 0 F)
Misharin_2021	2	0	2	0	FALSE	below 2 donors in an arm (2 H / 0 F)
Misharin_Budinger_2018	1	2	0	0	FALSE	Fibrotic arm lost to the >=10-pericyte filter (2 -> 0)
Nawijn_2021	3	0	0	0	FALSE	Healthy arm lost to the >=10-pericyte filter (3 -> 0)
Peer_Massague_2020	2	0	1	0	FALSE	Healthy arm lost to the >=10-pericyte filter (2 -> 1)
Schiller_2021	6	0	2	0	FALSE	below 2 donors in an arm (2 H / 0 F)
Sun_2020_batch1	1	0	1	0	FALSE	never sampled both arms (1 H / 0 F before the filter)
Sun_2020_batch2	2	0	2	0	FALSE	below 2 donors in an arm (2 H / 0 F)
Sun_2020_batch3	3	0	3	0	FALSE	below 2 donors in an arm (3 H / 0 F)
Sun_2020_batch4	3	0	3	0	FALSE	below 2 donors in an arm (3 H / 0 F)
Tata_unpubl	3	0	1	0	FALSE	Healthy arm lost to the >=10-pericyte filter (3 -> 1)
Teichmann_Meyer_2019	2	0	0	0	FALSE	Healthy arm lost to the >=10-pericyte filter (2 -> 0)
Xu_2020_LAM1_3	0	2	0	0	FALSE	Fibrotic arm lost to the >=10-pericyte filter (2 -> 0)
