dropped_dataset	n_dropped	contrast	estimate	se	ci_lo	ci_hi	df	t.ratio	p.value	response	n	covars	model
Banovich_Kropski_2020	15	Fibrotic_ILD - Healthy	0.677386897162599	0.234369049281494	0.218023560570871	1.13675023375433	58.9871549376956	2.89025747742403	0.0053790274075418	injury_program_score	68	sex	LMM (1|dataset)
Budinger_2020	3	Fibrotic_ILD - Healthy	0.664347781221647	0.216696860468605	0.239621934703182	1.08907362774011	74.0788003736357	3.06579329199787	0.00302892673798195	injury_program_score	80	sex	LMM (1|dataset)
Duong_lungMAP_unpubl	1	Fibrotic_ILD - Healthy	0.760827042851451	0.214290821290968	0.340817033121154	1.18083705258175	76.7586327330886	3.55044158339561	0.000660681314530821	injury_program_score	82	sex	LMM (1|dataset)
Eils_2020	3	Fibrotic_ILD - Healthy	0.748983957310045	0.221026540127336	0.315771938660467	1.18219597595962	74.0052285875569	3.38866073222948	0.00112859090432174	injury_program_score	80	sex	LMM (1|dataset)
Kaminski_2020	6	Fibrotic_ILD - Healthy	0.764814053760785	0.223077577329616	0.327582002194736	1.20204610532683	71.0755949623874	3.42846673751843	0.00101359747843648	injury_program_score	77	sex	LMM (1|dataset)
Krasnow_2020	3	Fibrotic_ILD - Healthy	0.755446070003119	0.220385099532417	0.323491274919581	1.18740086508666	74.2549410603491	3.42784549230379	0.000995516135479941	injury_program_score	80	sex	LMM (1|dataset)
Lafyatis_2019	4	Fibrotic_ILD - Healthy	0.722222540347552	0.221050493492836	0.288963573101593	1.15548150759351	67.2467568026636	3.26722880793278	0.00171201542116948	injury_program_score	79	sex	LMM (1|dataset)
Meyer_2019	1	Fibrotic_ILD - Healthy	0.757425792239937	0.215789368371365	0.334478630232061	1.18037295424781	76.4481624056401	3.51002367705362	0.000754800576655669	injury_program_score	82	sex	LMM (1|dataset)
Meyer_2021_3prime	1	Fibrotic_ILD - Healthy	0.748296719841502	0.217887852476374	0.32123652898781	1.1753569106952	76.0327475204811	3.43432050633774	0.000964994740664331	injury_program_score	82	sex	LMM (1|dataset)
Meyer_2021_5prime	4	Fibrotic_ILD - Healthy	0.745047168930115	0.215411497798635	0.32284063324479	1.16725370461544	72.7729887398391	3.4587158835253	0.000910817601321331	injury_program_score	79	sex	LMM (1|dataset)
Misharin_2021	2	Fibrotic_ILD - Healthy	0.746766412233222	0.216189524049663	0.323034945095884	1.17049787937056	74.9274782312342	3.45422108455948	0.000911576299239686	injury_program_score	81	sex	LMM (1|dataset)
Peer_Massague_2020	1	Fibrotic_ILD - Healthy	0.728491069782476	0.22437410688494	0.288717820287994	1.16826431927696	74.1901656973128	3.24676978059705	0.00175340893080177	injury_program_score	82	sex	LMM (1|dataset)
Regev_2021_Cryo	2	Fibrotic_ILD - Healthy	0.746313848608397	0.220523658029947	0.3140874788697	1.17854021834709	74.8085545174904	3.38428019594635	0.00113899580889116	injury_program_score	81	sex	LMM (1|dataset)
Regev_2021_Nuclei	12	Fibrotic_ILD - Healthy	0.727875500279403	0.223447137287395	0.289919111196109	1.1658318893627	65.4456663139077	3.25748411510513	0.00178346585149893	injury_program_score	71	sex	LMM (1|dataset)
Schiller_2020	5	Fibrotic_ILD - Healthy	1.0404132124351	0.252918784940902	0.544692393950936	1.53613403091927	72.9981288383705	4.11362569481825	0.000101044257010101	injury_program_score	78	sex	LMM (1|dataset)
Schiller_2021	2	Fibrotic_ILD - Healthy	0.747612764222671	0.219345790801694	0.31769501425135	1.17753051419399	74.978435830991	3.40837524846132	0.00105441660112528	injury_program_score	81	sex	LMM (1|dataset)
Sheppard_2020	8	Fibrotic_ILD - Healthy	0.562461348495884	0.306075948443765	-0.0374475104538958	1.16237020744566	66.9743710178131	1.8376528811091	0.0705495856187436	injury_program_score	75	sex	LMM (1|dataset)
Sun_2020_batch1	1	Fibrotic_ILD - Healthy	0.754171738065727	0.215117313580136	0.33254180344866	1.17580167268279	76.631715958822	3.5058625710514	0.000764160765060625	injury_program_score	82	sex	LMM (1|dataset)
Sun_2020_batch2	2	Fibrotic_ILD - Healthy	0.749372477278798	0.214562158510624	0.328830646597974	1.16991430795962	74.994517424284	3.49256589549872	0.000805811941636671	injury_program_score	81	sex	LMM (1|dataset)
Sun_2020_batch3	3	Fibrotic_ILD - Healthy	0.750660764716344	0.214439783784632	0.330358788498466	1.17096274093422	74.2106171613179	3.50056669274697	0.000789288448149761	injury_program_score	80	sex	LMM (1|dataset)
Sun_2020_batch4	3	Fibrotic_ILD - Healthy	0.741336788900586	0.216614139804614	0.316773074883544	1.16590050291763	73.6887380007287	3.42238410460773	0.0010163963507561	injury_program_score	80	sex	LMM (1|dataset)
Tata_unpubl	1	Fibrotic_ILD - Healthy	0.751651896184751	0.21701150994193	0.326309336698568	1.17699445567093	76.2199307694015	3.46364990679934	0.000877616865335923	injury_program_score	82	sex	LMM (1|dataset)
