subcluster	n_donors	n_diseases	kw_stat	kw_pval	kw_eta_sq	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	effsize_r	effsize_mag	test	fdr
0	19	3	5.00451127819548	0.0819000531551953	0.187781954887218	AGTR1_mean	COVID-19	normal	3	14	2.20129229062924	0.0277153382960425	0.0831460148881274	ns	0.505011086318317	large	dunn	0.22904499647059
0	19	3	5.00451127819548	0.0819000531551953	0.187781954887218	AGTR1_mean	interstitial lung disease	COVID-19	2	3	-1.58976992708147	0.111886674896788	0.167830012345182	ns	-0.364718234506746	medium	dunn	0.22904499647059
0	19	3	5.00451127819548	0.0819000531551953	0.187781954887218	AGTR1_mean	interstitial lung disease	normal	2	14	-0.0671660494259469	0.946449512700956	0.946449512700956	ns	-0.01540894852024	negligible	dunn	0.22904499647059
2	12	3	4.31623931623931	0.115542175697536	0.25735992402659	AGTR1_mean	interstitial lung disease	COVID-19	1	2	-1.81164325463135	0.070041336874616	0.105062005311924	ns	-0.522976360368491	large	dunn	0.22904499647059
2	12	3	4.31623931623931	0.115542175697536	0.25735992402659	AGTR1_mean	COVID-19	normal	2	9	1.81335801436652	0.0697766207812309	0.105062005311924	ns	0.523471368865838	large	dunn	0.22904499647059
2	12	3	4.31623931623931	0.115542175697536	0.25735992402659	AGTR1_mean	interstitial lung disease	normal	1	9	-0.760116950066092	0.447184681686756	0.447184681686756	ns	-0.219426862868128	small	dunn	0.22904499647059
3	12	4	5.39423076923077	0.145103444906488	0.299278846153846	AGTR1_mean	pulmonary fibrosis	normal	1	8	1.86310328381275	0.0624477363293426	0.374686417976056	ns	0.537831591218683	large	dunn	0.22904499647059
3	12	4	5.39423076923077	0.145103444906488	0.299278846153846	AGTR1_mean	COVID-19	normal	2	8	1.4471457318566	0.147856111941038	0.443568335823115	ns	0.417754988922013	medium	dunn	0.22904499647059
3	12	4	5.39423076923077	0.145103444906488	0.299278846153846	AGTR1_mean	interstitial lung disease	normal	1	8	1.07863874326001	0.280748802948155	0.56149760589631	ns	0.311376184389764	medium	dunn	0.22904499647059
3	12	4	5.39423076923077	0.145103444906488	0.299278846153846	AGTR1_mean	pulmonary fibrosis	interstitial lung disease	1	1	0.588348405414552	0.556298461274735	0.667558153529682	ns	0.169841555121689	small	dunn	0.22904499647059
3	12	4	5.39423076923077	0.145103444906488	0.299278846153846	AGTR1_mean	pulmonary fibrosis	COVID-19	1	2	0.679366220486758	0.496905847564768	0.667558153529682	ns	0.196116135138184	small	dunn	0.22904499647059
3	12	4	5.39423076923077	0.145103444906488	0.299278846153846	AGTR1_mean	interstitial lung disease	COVID-19	1	2	0	1	1	ns	0	negligible	dunn	0.22904499647059
4	5	2	2	0.157299207050284	0.333333333333333	AGTR1_mean	COVID-19	normal	1	4	1.4142135623731	0.157299207050285	0.157299207050285	ns	0.632455532033676	large	dunn	0.22904499647059
1	13	4	4.31868131868132	0.22904499647059	0.146520146520147	AGTR1_mean	pulmonary fibrosis	normal	1	9	1.78639547447053	0.0740352478548967	0.44421148712938	ns	0.495456960112332	medium	dunn	0.22904499647059
1	13	4	4.31868131868132	0.22904499647059	0.146520146520147	AGTR1_mean	COVID-19	normal	2	9	1.25913247333813	0.207982486894133	0.623947460682398	ns	0.349220515017108	medium	dunn	0.22904499647059
1	13	4	4.31868131868132	0.22904499647059	0.146520146520147	AGTR1_mean	pulmonary fibrosis	interstitial lung disease	1	1	0.907841299003204	0.363962075102477	0.683717241552744	ns	0.251789873349222	small	dunn	0.22904499647059
1	13	4	4.31868131868132	0.22904499647059	0.146520146520147	AGTR1_mean	pulmonary fibrosis	COVID-19	1	2	0.733799385705343	0.463071015014588	0.683717241552744	ns	0.203519331620353	small	dunn	0.22904499647059
1	13	4	4.31868131868132	0.22904499647059	0.146520146520147	AGTR1_mean	interstitial lung disease	normal	1	9	0.568398560058805	0.56976436796062	0.683717241552744	ns	0.157645396399379	small	dunn	0.22904499647059
1	13	4	4.31868131868132	0.22904499647059	0.146520146520147	AGTR1_mean	interstitial lung disease	COVID-19	1	2	-0.314485451016576	0.753152364765915	0.753152364765915	ns	-0.0872225706944371	negligible	dunn	0.22904499647059
