gene	compartment	contrast	family	estimable	estimate	se	ci_lo	ci_hi	df	t.ratio	p.value	p_BH_reference	n_donors	covariates	n_control	n_donors_arm	n_control_donors
AGTR1	Mural	IPF	exploratory	TRUE	0.252943769738731	0.122197439769815	0.0134367877898939	0.492450751687567	29	-2.0699596506703	0.0474663754305178		36	mean_log10_counts+sex+age+ever_smoker	6	21	6
AGTR1	Pericyte	COPD	exploratory	FALSE	0.526630161148451	0.316373943281137	-0.0934627676825779	1.14672308997948	15	-1.66458133589237	0.11674012567133		22	mean_log10_counts+sex+age+ever_smoker	1	6	1
AGTR1	SMC	IPF	exploratory	TRUE	0.114128532907997	0.0712476993824282	-0.0255169578815621	0.253774023697556	21	-1.60185569354882	0.124123948445446		28	mean_log10_counts+sex+age+ever_smoker	5	16	5
AGTR1	Mural	COPD	exploratory	TRUE	0.235282463415072	0.150279140573587	-0.0592646521091597	0.529829578939303	29	-1.56563620551091	0.128282013239008		36	mean_log10_counts+sex+age+ever_smoker	6	9	6
AGTR1	ATII	IPF	exploratory	TRUE	0.0114035957293134	0.00811266581971249	-0.00449722927732305	0.0273044207359499	39	-1.40565333057409	0.167744046232179		46	mean_log10_counts+sex+age+ever_smoker	17	15	17
AGTR1	Pericyte	IPF	exploratory	FALSE	0.226609320744659	0.253941556331475	-0.271116129665032	0.724334771154351	15	-0.892368007892577	0.386287857279297		22	mean_log10_counts+sex+age+ever_smoker	1	15	1
AGTR1	ATII	COPD	exploratory	TRUE	0.00702336527399963	0.00839294328963127	-0.00942680357367767	0.0234735341216769	39	-0.836817911384718	0.407793460593618		46	mean_log10_counts+sex+age+ever_smoker	17	14	17
AGTR1	Endothelial	IPF	exploratory	TRUE	0.00199917693404117	0.00339471428872498	-0.0046544630718598	0.00865281693994214	66	-0.588908745776081	0.557932784126479		73	mean_log10_counts+sex+age+ever_smoker	25	31	25
AGTR1	ATI	IPF	exploratory	TRUE	0.00278883152036712	0.00479063108792068	-0.00660080541195742	0.0121784684526917	32	-0.582142826108863	0.564549799701254		39	mean_log10_counts+sex+age+ever_smoker	15	9	15
AGTR1	SMC	COPD	exploratory	TRUE	0.0490714978992839	0.0890400663746675	-0.125447032195064	0.223590027993632	21	-0.551117040870099	0.587369787786713		28	mean_log10_counts+sex+age+ever_smoker	5	7	5
AGTR1	Endothelial	COPD	exploratory	TRUE	-0.00159812942410886	0.00355777769772427	-0.00857137371164841	0.0053751148634307	66	0.44919316491615	0.654763915924949		73	mean_log10_counts+sex+age+ever_smoker	25	17	25
AGTR1	ATI	COPD	exploratory	TRUE	0.000321824489739563	0.00439590707247034	-0.00829415337230231	0.00893780235178144	32	-0.0732100302472293	0.942094692909826		39	mean_log10_counts+sex+age+ever_smoker	15	15	15
AGT	Fibroblast	IPF	exploratory	TRUE	0.080613082703846	0.0364308152065926	0.00920868489892457	0.152017480508767	53	-2.21277185939167	0.0312428016760351		60	mean_log10_counts+sex+age+ever_smoker	17	28	17
ACE	Myofibroblast	IPF	exploratory	TRUE	0.0330446875431941	0.0150823934585304	0.00348319636447448	0.0626061787219138	47	-2.19094453635967	0.0334490362924832		54	mean_log10_counts+sex+age+ever_smoker	12	28	12
AGT	Mural	COPD	exploratory	TRUE	-0.280723544538696	0.140849645052237	-0.556788848841081	-0.00465824023631051	29	1.9930724314895	0.0557375524412127		36	mean_log10_counts+sex+age+ever_smoker	6	9	6
AGT	SMC	COPD	exploratory	TRUE	-0.388976042225444	0.202258152618771	-0.785402021358235	0.00744993690734652	21	1.92316619720448	0.0681241195051632		28	mean_log10_counts+sex+age+ever_smoker	5	7	5
ACE	ATII	IPF	exploratory	TRUE	0.0383587966256764	0.0219438423301294	-0.00465113434137712	0.08136872759273	39	-1.74804375863606	0.088325857137171		46	mean_log10_counts+sex+age+ever_smoker	17	15	17
ACE2	Mural	COPD	exploratory	TRUE	0.0442750819401809	0.0268857426228047	-0.00842097360051631	0.0969711374808781	29	-1.64678664678678	0.110397546039837		36	mean_log10_counts+sex+age+ever_smoker	6	9	6
ACE	Fibroblast	COPD	exploratory	TRUE	-0.0574406968313163	0.0366558543374586	-0.129286171332735	0.0144047776701026	53	1.56702654649677	0.123060257643174		60	mean_log10_counts+sex+age+ever_smoker	17	15	17
ACE2	Fibroblast	COPD	exploratory	TRUE	-0.00888463853363208	0.00598021848023381	-0.0206058667548903	0.00283658968762619	53	1.48567122806602	0.143290519889604		60	mean_log10_counts+sex+age+ever_smoker	17	15	17
AGTR2	ATII	COPD	exploratory	TRUE	0.106364012426879	0.0716519529254412	-0.0340738153069863	0.246801840160743	39	-1.48445378086983	0.145726786658511		46	mean_log10_counts+sex+age+ever_smoker	17	14	17
AGT	Endothelial	IPF	exploratory	TRUE	0.000846308257889174	0.000585894907865918	-0.000302045761528025	0.00199466227730637	66	-1.44447109289923	0.153337358780321		73	mean_log10_counts+sex+age+ever_smoker	25	31	25
ACE	ATI	COPD	exploratory	TRUE	0.0136439197928433	0.00955346326527607	-0.00508086820709777	0.0323687077927844	32	-1.42816478317709	0.162932412549774		39	mean_log10_counts+sex+age+ever_smoker	15	15	15
AGT	Mural	IPF	exploratory	TRUE	-0.163502627381134	0.114529973702123	-0.387981375837294	0.0609761210750263	29	1.4275968298603	0.164088474303454		36	mean_log10_counts+sex+age+ever_smoker	6	21	6
AGTR2	Fibroblast	IPF	exploratory	TRUE	0.000862269210382256	0.000629222462003329	-0.000371006815144268	0.00209554523590878	53	-1.37037258275388	0.176347315026655		60	mean_log10_counts+sex+age+ever_smoker	17	28	17
AGT	Endothelial	COPD	exploratory	TRUE	0.000752152855203546	0.000614038077766622	-0.000451361777219034	0.00195566748762612	66	-1.22492868510577	0.224955923563563		73	mean_log10_counts+sex+age+ever_smoker	25	17	25
ACE	ATII	COPD	exploratory	TRUE	0.0279325537393088	0.0227019611464673	-0.0165632901077671	0.0724283975863846	39	-1.23040267574661	0.225916269137599		46	mean_log10_counts+sex+age+ever_smoker	17	14	17
ACE	SMC	IPF	exploratory	TRUE	-0.0279536417146838	0.0246829812091852	-0.0763322848846868	0.0204250014553192	21	1.13250670483359	0.270187240374018		28	mean_log10_counts+sex+age+ever_smoker	5	16	5
ACE2	Pericyte	COPD	exploratory	FALSE	0.117160199740137	0.105495206755685	-0.0896104055010053	0.323930804981279	15	-1.11057367764079	0.284237873520292		22	mean_log10_counts+sex+age+ever_smoker	1	6	1
ACE2	ATI	IPF	exploratory	TRUE	-0.0159725667514475	0.014753251389226	-0.0448889394743304	0.0129438059714355	32	1.08264723009546	0.287055957176868		39	mean_log10_counts+sex+age+ever_smoker	15	9	15
