contrast	estimate	se	df	t.ratio	p.value	gene	compartment	model_arm	covariates	n_model_donors	ci_lo	ci_hi
COPD	0.0233912616868451	0.0327618934860845	45	0.7139777100118	0.478928076370378	ACE	ATI	adjusted	mean_log10_counts+sex+age+ever_smoker	52	-0.0408220495458805	0.0876045729195708
COPD	0.0147038265546743	0.02638730390517	46	0.557231106577488	0.580071019315885	ACE	ATI	no_smoking	mean_log10_counts+sex+age	52	-0.0370152890994588	0.0664229422088075
COPD	-0.0159706541915856	0.0246912067086172	49	-0.646815458639042	0.52076992239738	ACE	ATI	unadjusted	none	52	-0.0643654193404753	0.0324241109573041
IPF	-0.00378867463422016	0.0326854944973466	45	-0.1159130278579	0.908237205116973	ACE	ATI	adjusted	mean_log10_counts+sex+age+ever_smoker	52	-0.0678522438490196	0.0602748945805792
IPF	-0.00920490899946327	0.0301754120567159	46	-0.30504667118256	0.761706624546017	ACE	ATI	no_smoking	mean_log10_counts+sex+age	52	-0.0683487166306264	0.0499388986316999
IPF	-0.0133840525357071	0.0239539890079031	49	-0.558740029950389	0.578883790689074	ACE	ATI	unadjusted	none	52	-0.0603338709911971	0.033565765919783
COPD	0.000182003854811852	0.0217631865146542	51	0.00836292308064814	0.993360058638152	ACE	ATII	adjusted	mean_log10_counts+sex+age+ever_smoker	58	-0.0424738417139104	0.0428378494235341
COPD	-0.0181118467498099	0.0182710004095067	52	-0.991289275018899	0.326134805087316	ACE	ATII	no_smoking	mean_log10_counts+sex+age	58	-0.0539230075524431	0.0176993140528232
COPD	-0.0141263522693433	0.0164288532826832	55	-0.859850168863165	0.393604181168953	ACE	ATII	unadjusted	none	58	-0.0463269047034023	0.0180742001647157
IPF	-0.000855818783502747	0.0198967573529626	51	-0.0430129778596971	0.96585915303993	ACE	ATII	adjusted	mean_log10_counts+sex+age+ever_smoker	58	-0.0398534631953095	0.038141825628304
IPF	-0.0113654814677579	0.0188565139666205	52	-0.602735027687353	0.549304695778413	ACE	ATII	no_smoking	mean_log10_counts+sex+age	58	-0.0483242488423341	0.0255932859068182
IPF	-0.00308461125753989	0.0151331486090214	55	-0.203831425781482	0.839237559603096	ACE	ATII	unadjusted	none	58	-0.0327455825312219	0.0265763600161421
COPD	0.0565891277356162	0.106508452089646	67	0.531311145973524	0.596960283415426	ACE	Endothelial	adjusted	mean_log10_counts+sex+age+ever_smoker	74	-0.152167438360091	0.265345693831323
COPD	0.104486464229225	0.093248929575155	68	1.12051113836125	0.266437847917582	ACE	Endothelial	no_smoking	mean_log10_counts+sex+age	74	-0.0782814377380788	0.287254366196529
COPD	0.149205300279707	0.0865407882817404	71	1.72410378091261	0.0890408760893649	ACE	Endothelial	unadjusted	none	74	-0.0204146447525045	0.318825245311918
IPF	0.0734226078127847	0.101173259757011	67	0.725711596019782	0.470542999242754	ACE	Endothelial	adjusted	mean_log10_counts+sex+age+ever_smoker	74	-0.124876981310958	0.271722196936527
IPF	0.0996199432030731	0.0971120236161941	68	1.02582501623888	0.308609466628924	ACE	Endothelial	no_smoking	mean_log10_counts+sex+age	74	-0.0907196230846674	0.289959509490814
IPF	0.0106801090669388	0.0734823608536016	71	0.145342486861802	0.884852299345356	ACE	Endothelial	unadjusted	none	74	-0.13334531820612	0.154705536339998
COPD	-0.0341242210163176	0.0353010445906762	62	-0.966663208185361	0.337468105076366	ACE	Fibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	69	-0.103314268414043	0.0350658263814079
COPD	-0.00587691900566169	0.0315686261404343	63	-0.186163280578571	0.852914859310158	ACE	Fibroblast	no_smoking	mean_log10_counts+sex+age	69	-0.0677514262409129	0.0559975882295895
COPD	0.002903851227468	0.0278260319534415	66	0.104357359767527	0.917202245196756	ACE	Fibroblast	unadjusted	none	69	-0.0516351714012774	0.0574428738562133
IPF	0.0210217022252774	0.0304613898909107	62	0.690109752068471	0.492700443819909	ACE	Fibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	69	-0.0386826219609075	0.0807260264114623
IPF	0.0340027783556883	0.0299147072553933	63	1.13665756664084	0.259986572478771	ACE	Fibroblast	no_smoking	mean_log10_counts+sex+age	69	-0.0246300478648825	0.0926356045762591
IPF	0.0445579548982577	0.0236895207461689	66	1.88091415506849	0.0643961676256576	ACE	Fibroblast	unadjusted	none	69	-0.0018735057642334	0.0909894155607488
COPD	-0.00172128538945682	0.0352891657559878	36	-0.0487765962323651	0.961366945608925	ACE	Mural	adjusted	mean_log10_counts+sex+age+ever_smoker	43	-0.0708880502711929	0.0674454794922793
COPD	0.00739022549711648	0.0316108801825163	37	0.23378740023835	0.816438769875583	ACE	Mural	no_smoking	mean_log10_counts+sex+age	43	-0.0545670996606155	0.0693475506548484
COPD	0.0122247066182919	0.0316622064765149	40	0.386097748031535	0.70147035441212	ACE	Mural	unadjusted	none	43	-0.0498332180756773	0.074282631312261
IPF	0.00944965972461112	0.0306162229404964	36	0.30864877561732	0.759367811892134	ACE	Mural	adjusted	mean_log10_counts+sex+age+ever_smoker	43	-0.0505581372387618	0.069457456687984
IPF	0.0118355736716692	0.0300967908294763	37	0.393250354787914	0.696391439555863	ACE	Mural	no_smoking	mean_log10_counts+sex+age	43	-0.0471541363541044	0.0708252836974428
IPF	0.00852642243782223	0.0276370395900858	40	0.308514318620468	0.759292077299931	ACE	Mural	unadjusted	none	43	-0.0456421751587459	0.0626950200343904
COPD	-0.0160252165758473	0.0174055125572809	52	-0.920697768773478	0.361460007539122	ACE	Myofibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	59	-0.0501400211881179	0.0180895880364233
COPD	-0.00381536541539792	0.0153042258992892	53	-0.2493014308927	0.804091281428143	ACE	Myofibroblast	no_smoking	mean_log10_counts+sex+age	59	-0.0338116481780048	0.0261809173472089
COPD	-0.0115931102436411	0.0140193577364604	56	-0.826935902597785	0.411783178282586	ACE	Myofibroblast	unadjusted	none	59	-0.0390710514071034	0.0158848309198212
IPF	0.0202854761492189	0.0154064698654408	52	1.3166855435665	0.193717786019063	ACE	Myofibroblast	adjusted	mean_log10_counts+sex+age+ever_smoker	59	-0.00991120478704513	0.0504821570854829
IPF	0.0259001903796007	0.0150403556986721	53	1.72204639959994	0.0908930719674144	ACE	Myofibroblast	no_smoking	mean_log10_counts+sex+age	59	-0.00357890678979661	0.0553792875489979
IPF	0.0205224773581442	0.0119299539239505	56	1.72024783070985	0.0909096106366246	ACE	Myofibroblast	unadjusted	none	59	-0.00286023233279873	0.0439051870490872
COPD	0.0223517126470404	0.107257423674154	22	0.208393152486531	0.836839280177562	ACE	Pericyte	adjusted	mean_log10_counts+sex+age+ever_smoker	29	-0.187872837754302	0.232576263048382
COPD	0.0436708034104968	0.0994380754888862	23	0.439175870970851	0.664632502044319	ACE	Pericyte	no_smoking	mean_log10_counts+sex+age	29	-0.15122782454772	0.238569431368714
COPD	0.0987531457010557	0.0891093584566048	26	1.10822417994567	0.277911864331791	ACE	Pericyte	unadjusted	none	29	-0.0759011968738897	0.273407488276001
IPF	-0.0110717074336067	0.0853391809477739	22	-0.129737680988319	0.89795286932749	ACE	Pericyte	adjusted	mean_log10_counts+sex+age+ever_smoker	29	-0.178336502091244	0.15619308722403
IPF	-0.00635609557104979	0.0837360048284158	23	-0.0759063629089317	0.940149999434939	ACE	Pericyte	no_smoking	mean_log10_counts+sex+age	29	-0.170478665034745	0.157766473892645
IPF	0.0199873907987329	0.078023711905334	26	0.256170724394445	0.799835043685708	ACE	Pericyte	unadjusted	none	29	-0.132939084535722	0.172913866133188
COPD	-0.0184911166035152	0.0229067479456031	29	-0.807234472890967	0.426102981206601	ACE	SMC	adjusted	mean_log10_counts+sex+age+ever_smoker	36	-0.0633883425768973	0.0264061093698669
COPD	-0.0240969264633991	0.0192680419321427	30	-1.25061625609196	0.220741132364542	ACE	SMC	no_smoking	mean_log10_counts+sex+age	36	-0.0618622886503987	0.0136684357236005
COPD	-0.0217485550357641	0.0196106054120939	33	-1.10902007249362	0.275438572902274	ACE	SMC	unadjusted	none	36	-0.0601853416434682	0.0166882315719399
IPF	-0.0113736102984489	0.0186715314592012	29	-0.609141800890901	0.547173285806106	ACE	SMC	adjusted	mean_log10_counts+sex+age+ever_smoker	36	-0.0479698119584832	0.0252225913615854
IPF	-0.0130990623957415	0.0180639104838284	30	-0.725150980318924	0.47397816333404	ACE	SMC	no_smoking	mean_log10_counts+sex+age	36	-0.0485043269440452	0.0223062021525623
IPF	-0.00606787402185636	0.0170095520646206	33	-0.356733322476925	0.723562465548922	ACE	SMC	unadjusted	none	36	-0.0394065960685128	0.0272708480248001
COPD	-0.00734401885668834	0.0106682391725567	45	-0.688400282174058	0.494734516540994	ACE2	ATI	adjusted	mean_log10_counts+sex+age+ever_smoker	52	-0.0282537676348994	0.0135657299215227
