sampid	subjid
GTEX-111CU-0326-SM-5GZXO	GTEX-111CU
GTEX-111FC-1126-SM-5GZWU	GTEX-111FC
GTEX-111VG-0726-SM-5GIDC	GTEX-111VG
GTEX-111YS-0626-SM-5GZXV	GTEX-111YS
GTEX-1122O-0126-SM-5GICA	GTEX-1122O
GTEX-1128S-0726-SM-5N9D6	GTEX-1128S
GTEX-117YW-0526-SM-5H11C	GTEX-117YW
GTEX-117YX-1326-SM-5H125	GTEX-117YX
GTEX-11DXX-0626-SM-5Q5AG	GTEX-11DXX
GTEX-11DXZ-0726-SM-5N9C4	GTEX-11DXZ
GTEX-11DZ1-0426-SM-5H11A	GTEX-11DZ1
GTEX-11EI6-0826-SM-5985V	GTEX-11EI6
GTEX-11EMC-0126-SM-5EGKV	GTEX-11EMC
GTEX-11EQ9-0226-SM-5A5JX	GTEX-11EQ9
GTEX-11GSP-0726-SM-5986L	GTEX-11GSP
GTEX-11I78-0126-SM-5HL6F	GTEX-11I78
GTEX-11LCK-0426-SM-5A5M8	GTEX-11LCK
GTEX-11NSD-0326-SM-5A5LS	GTEX-11NSD
GTEX-11NUK-0826-SM-5HL4U	GTEX-11NUK
GTEX-11NV4-1126-SM-5HL6J	GTEX-11NV4
GTEX-11O72-1326-SM-5BC5A	GTEX-11O72
GTEX-11OF3-1126-SM-5986C	GTEX-11OF3
GTEX-11P7K-0326-SM-59871	GTEX-11P7K
GTEX-11P81-0226-SM-5HL5M	GTEX-11P81
GTEX-11PRG-0926-SM-5EGI8	GTEX-11PRG
GTEX-11TT1-1626-SM-5EQL7	GTEX-11TT1
GTEX-11TUW-0526-SM-5LU9A	GTEX-11TUW
GTEX-11UD2-0726-SM-5EQ69	GTEX-11UD2
GTEX-11WQC-0626-SM-5EQMF	GTEX-11WQC
GTEX-11WQK-1226-SM-5GU5Z	GTEX-11WQK
GTEX-11ZTS-1226-SM-5EQMQ	GTEX-11ZTS
GTEX-11ZTT-0626-SM-5EQLM	GTEX-11ZTT
GTEX-11ZUS-0126-SM-5EQM5	GTEX-11ZUS
GTEX-11ZVC-0226-SM-731E8	GTEX-11ZVC
GTEX-1211K-0826-SM-5FQUP	GTEX-1211K
GTEX-1212Z-1026-SM-5EGJ8	GTEX-1212Z
GTEX-12584-1426-SM-5EGJ9	GTEX-12584
GTEX-12696-1026-SM-5FQUV	GTEX-12696
GTEX-1269C-0926-SM-5FQSR	GTEX-1269C
GTEX-12KS4-0726-SM-5FQSX	GTEX-12KS4
GTEX-12WSA-1026-SM-5EGHN	GTEX-12WSA
GTEX-12WSD-0826-SM-5GCNE	GTEX-12WSD
GTEX-12WSE-0826-SM-5S2VL	GTEX-12WSE
GTEX-12WSG-5004-SM-7EPG9	GTEX-12WSG
GTEX-12WSH-0126-SM-5GCO3	GTEX-12WSH
GTEX-12WSI-0826-SM-5EGKD	GTEX-12WSI
GTEX-12WSJ-0226-SM-5GCP7	GTEX-12WSJ
GTEX-12WSK-0826-SM-5CVNP	GTEX-12WSK
