cluster	donor_id	gene_name	expression
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747021I	ACTA2	0.797203
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747021I	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747022I	ACTA2	0.35873392
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747022I	AGTR1	0.6932078
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747034I	ACTA2	1.1327883
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747034I	AGTR1	1.1287243
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747040I	ACTA2	0.6126972
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747040I	AGTR1	1.7382802
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747052CO	ACTA2	1.0789448
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747052CO	AGTR1	0.73318523
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747063I	ACTA2	1.162125
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747063I	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747138I	ACTA2	0.9440317
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747138I	AGTR1	0.7607666
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747160C	ACTA2	0.0
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747160C	AGTR1	1.6657815
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747179I	ACTA2	0.0
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747179I	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747186CO	ACTA2	0.0
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747186CO	AGTR1	2.0053794
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747209I	ACTA2	0.0
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747209I	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747217CO	ACTA2	2.1128955
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747217CO	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747221I	ACTA2	1.4846809
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747221I	AGTR1	1.4846809
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747222C	ACTA2	1.3796078
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747222C	AGTR1	0.0
0	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747222I	ACTA2	1.5129143
