cluster	gene_id	pval	logFC	gene_name
6	ENSG00000261371	2.6264705016704257e-39	5.2118235	PECAM1
6	ENSG00000184113	4.653450868285222e-34	4.6367836	CLDN5
6	ENSG00000172889	2.2214714553987037e-30	4.460034	EGFL7
6	ENSG00000110799	2.359103740409772e-30	5.173724	VWF
6	ENSG00000131370	2.4011512606738878e-29	4.603153	SH3BP5
6	ENSG00000128294	1.2629554042065833e-27	4.185215	TPST2
6	ENSG00000131477	7.180404884752816e-27	4.170928	RAMP2
6	ENSG00000139567	1.6385405554013043e-24	3.7442718	ACVRL1
6	ENSG00000174640	8.444301664759031e-23	4.392986	SLCO2A1
6	ENSG00000129538	1.2228406562234912e-21	3.7507288	RNASE1
6	ENSG00000184305	1.5886367033890116e-21	4.404816	CCSER1
6	ENSG00000125810	3.8916469068431504e-21	5.215425	CD93
6	ENSG00000168497	5.157839467962393e-21	3.2550657	CAVIN2
6	ENSG00000142748	5.840666267213526e-21	4.5650144	FCN3
6	ENSG00000127329	1.3546596219321115e-20	5.181969	PTPRB
6	ENSG00000135046	1.4436894665710128e-20	2.2920804	ANXA1
6	ENSG00000164035	1.7716407863143296e-20	4.977158	EMCN
6	ENSG00000179776	2.1945786436655388e-20	5.391247	CDH5
6	ENSG00000122679	2.5049383734330983e-20	5.3256154	RAMP3
6	ENSG00000010278	3.9460648209299034e-20	2.5208619	CD9
6	ENSG00000121858	5.724643751035637e-20	4.963339	TNFSF10
6	ENSG00000169570	7.371372339501026e-20	4.586325	DTWD2
6	ENSG00000128567	1.0602499248231644e-19	5.146242	PODXL
6	ENSG00000118946	3.726365944222141e-19	3.710547	PCDH17
6	ENSG00000173706	6.151299193387434e-19	2.6875253	HEG1
6	ENSG00000165810	7.740706123649731e-19	5.235577	BTNL9
6	ENSG00000138411	9.239456326239156e-19	4.647986	HECW2
6	ENSG00000254772	4.027364548090222e-18	3.2507799	EEF1G
6	ENSG00000129521	5.386048714789138e-18	4.30889	EGLN3
6	ENSG00000176435	6.8119540394967076e-18	5.053324	CLEC14A
6	ENSG00000131355	2.156184429243841e-17	4.293308	ADGRE3
6	ENSG00000166292	2.5723238324537452e-17	3.7638195	TMEM100
6	ENSG00000168952	3.284469356225915e-17	4.1992083	STXBP6
6	ENSG00000184619	3.5146681568276663e-17	4.4417944	KRBA2
6	ENSG00000281131	4.1637980043255866e-17	4.930912	SCHLAP1
6	ENSG00000196205	5.3128649783385035e-17	5.3608584	EEF1A1P5
6	ENSG00000124126	5.66548524640066e-17	4.536259	PREX1
6	ENSG00000031081	6.377376854056643e-17	3.5074039	ARHGAP31
6	ENSG00000027075	7.995367537236971e-17	4.124117	PRKCH
6	ENSG00000011052	1.6765680237108554e-16	5.1615825	NME1-NME2
6	ENSG00000273269	2.0169166802146166e-16	4.791683	ENSG00000273269
6	ENSG00000235979	2.648530707033211e-16	5.4671936	ENSG00000235979
6	ENSG00000240409	2.9307630551768153e-16	4.404934	MTATP8P1
6	ENSG00000237973	3.257610843004276e-16	4.5044007	MTCO1P12
6	ENSG00000157554	3.884301376621711e-16	4.067606	ERG
6	ENSG00000236449	4.0833647752939516e-16	4.753023	ENSG00000236449
6	ENSG00000266865	5.447359654689905e-16	4.7586393	ENSG00000266865
6	ENSG00000161638	5.955286865068457e-16	3.1383882	ITGA5
6	ENSG00000177182	7.874214937415339e-16	5.253636	CLVS1
6	ENSG00000283498	1.0268454520180026e-15	4.808127	MIR1244-2
6	ENSG00000178695	1.3868546926186812e-15	3.7584336	KCTD12
6	ENSG00000206559	1.503895708407867e-15	4.080782	ZCWPW2
6	ENSG00000156298	2.397297982807133e-15	3.049395	TSPAN7
6	ENSG00000133687	2.995843541336377e-15	3.2942235	TMTC1
6	ENSG00000277957	3.0263174970094404e-15	5.0982924	SENP3-EIF4A1
6	ENSG00000248527	3.163002712732943e-15	4.3387523	MTATP6P1
6	ENSG00000267107	3.1860091352106152e-15	5.3643513	PCAT19
6	ENSG00000168685	3.810162663584486e-15	4.872533	IL7R
6	ENSG00000135218	4.076341526773175e-15	3.122546	CD36
6	ENSG00000237550	5.164606159785998e-15	4.7937975	ENSG00000237550
6	ENSG00000118515	5.5463075509219146e-15	2.77021	SGK1
6	ENSG00000187244	5.727557218371747e-15	2.348192	BCAM
6	ENSG00000225972	1.2252919047750358e-14	4.453259	MTND1P23
6	ENSG00000091409	1.4514682986209568e-14	4.928989	ITGA6
6	ENSG00000111145	3.020001260546985e-14	2.3703399	ELK3
6	ENSG00000125266	8.039727240522669e-14	5.071941	EFNB2
6	ENSG00000120549	8.622843162404599e-14	4.008641	KIAA1217
6	ENSG00000158352	9.217276021027145e-14	3.765338	SHROOM4
6	ENSG00000137834	1.0406983735279217e-13	4.9430847	SMAD6
6	ENSG00000250182	1.2034444205134905e-13	5.669262	EEF1A1P13
6	ENSG00000151327	1.8104640005858123e-13	1.4461689	FAM177A1
6	ENSG00000137393	2.0441567099335345e-13	4.3913317	RNF144B
6	ENSG00000164535	2.484070732267465e-13	4.079873	DAGLB
6	ENSG00000099250	2.721951631489421e-13	2.5098836	NRP1
6	ENSG00000078401	2.805891791436429e-13	5.588498	EDN1
6	ENSG00000174059	4.1814752716864565e-13	5.027999	CD34
6	ENSG00000092421	5.077839537061465e-13	3.7841237	SEMA6A
6	ENSG00000257242	5.081379264457231e-13	4.573843	LINC01619
6	ENSG00000164120	7.376977015004879e-13	2.6353765	HPGD
6	ENSG00000267343	9.308015139065565e-13	4.5975027	ZNF833P
6	ENSG00000101109	1.3334062593396508e-12	1.8623128	STK4
6	ENSG00000117461	1.4765530292676988e-12	3.283527	PIK3R3
6	ENSG00000008517	2.5690416422719087e-12	2.5321336	IL32
6	ENSG00000258344	3.1061281467343664e-12	5.0115666	ENSG00000258344
6	ENSG00000115756	3.1524918961815787e-12	2.9419923	HPCAL1
6	ENSG00000134107	3.831470983248662e-12	2.3808448	BHLHE40
6	ENSG00000185291	4.385378412223095e-12	3.9886734	IL3RA
6	ENSG00000139318	4.546651896350424e-12	2.535588	DUSP6
6	ENSG00000267740	5.9066960161982025e-12	5.094465	ENSG00000267740
6	ENSG00000178726	5.984013393560823e-12	3.3501933	THBD
6	ENSG00000162654	6.496919874401363e-12	2.6041572	GBP4
6	ENSG00000185641	9.31814030425418e-12	4.8380833	ENSG00000185641
6	ENSG00000160201	9.44521509889951e-12	2.0266979	U2AF1
6	ENSG00000156535	9.921251051888031e-12	4.5015507	CD109
6	ENSG00000273749	1.3232975399528558e-11	1.3255252	CYFIP1
6	ENSG00000163947	1.9256861717885533e-11	3.7274919	ARHGEF3
6	ENSG00000078596	2.1322620731627436e-11	5.2678666	ITM2A
6	ENSG00000258210	2.3442620971133503e-11	5.2774897	ENSG00000258210
6	ENSG00000165757	3.0751209241571e-11	4.434694	JCAD
6	ENSG00000166900	3.1507034800429065e-11	2.5868144	STX3
6	ENSG00000110852	3.2979403038315184e-11	3.3094554	CLEC2B
6	ENSG00000162618	3.4406073442797506e-11	5.557225	ADGRL4
6	ENSG00000106546	3.786070302229605e-11	3.1706946	AHR
6	ENSG00000170989	4.066645302216052e-11	5.424065	S1PR1
6	ENSG00000170293	5.605779122085809e-11	2.9242213	CMTM8
6	ENSG00000188643	5.922555396842458e-11	2.9937358	S100A16
6	ENSG00000236060	6.960100573398167e-11	5.050352	HSPB1P1
6	ENSG00000150977	9.930413787378998e-11	1.9866654	RILPL2
6	ENSG00000114812	1.0395741078806076e-10	2.803396	VIPR1
6	ENSG00000091428	1.0714255126459145e-10	4.4167147	RAPGEF4
6	ENSG00000091527	1.0739606959362896e-10	1.5322751	CDV3
6	ENSG00000118292	1.0970428090555202e-10	1.8251956	C1orf54
6	ENSG00000228716	1.1255227038263572e-10	2.7114189	DHFR
6	ENSG00000161835	1.1521634135296478e-10	3.8317292	TAMALIN
6	ENSG00000179406	1.2688877398999147e-10	4.106119	LINC00174
6	ENSG00000166750	1.3250751875756343e-10	2.2005007	SLFN5
6	ENSG00000231887	1.4546489797562428e-10	3.3015144	PRH1
6	ENSG00000230979	1.4736483527353092e-10	5.040005	ENSG00000230979
6	ENSG00000154978	1.4916546575356883e-10	1.9288073	VOPP1
6	ENSG00000113369	1.5462269513057676e-10	2.272357	ARRDC3
6	ENSG00000143850	1.5775520079271202e-10	4.3121734	PLEKHA6
6	ENSG00000105227	1.5998807079359808e-10	4.7520843	PRX
6	ENSG00000166265	1.8000935938559878e-10	5.403995	CYYR1
6	ENSG00000230021	1.9072166821242016e-10	4.2660985	ENSG00000230021
6	ENSG00000155849	2.1007078923009077e-10	3.1444767	ELMO1
6	ENSG00000120156	2.122387060804157e-10	5.2690754	TEK
6	ENSG00000203875	2.2963274532077383e-10	4.5202193	SNHG5
6	ENSG00000179144	2.4315287978062166e-10	4.969606	GIMAP7
6	ENSG00000136802	3.419057597170957e-10	1.9435163	LRRC8A
6	ENSG00000105538	3.5850839777576054e-10	4.057394	RASIP1
6	ENSG00000143537	3.603306463178129e-10	3.1295679	ADAM15
6	ENSG00000234741	3.9943342753960877e-10	4.613711	GAS5
6	ENSG00000153048	4.0148553963842644e-10	1.5392222	CARHSP1
6	ENSG00000100311	4.3813501171452124e-10	5.185978	PDGFB
6	ENSG00000116678	5.512923751718151e-10	2.9186954	LEPR
6	ENSG00000173530	6.17898847387126e-10	2.8068805	TNFRSF10D
6	ENSG00000226976	6.189717374645547e-10	4.882233	COX6A1P2
6	ENSG00000184005	8.100293604059255e-10	3.895004	ST6GALNAC3
6	ENSG00000090776	8.309606561614763e-10	2.9338377	EFNB1
6	ENSG00000156313	9.182663550633497e-10	2.5422232	RPGR
6	ENSG00000240849	9.71410249532954e-10	2.0157833	PEDS1
6	ENSG00000157680	9.728214879090295e-10	3.1604266	DGKI
6	ENSG00000076356	1.155838367643224e-09	3.3551595	PLXNA2
6	ENSG00000154721	1.185672916170717e-09	4.8433	JAM2
6	ENSG00000136830	1.2323221648297083e-09	1.6763506	NIBAN2
6	ENSG00000184500	1.529257223993409e-09	1.801499	PROS1
6	ENSG00000174804	1.5446971373285434e-09	3.952038	FZD4
6	ENSG00000168309	1.6612163682952055e-09	2.178341	FAM107A
6	ENSG00000177303	1.8091770606391518e-09	2.9705715	CASKIN2
6	ENSG00000272822	1.871550122014288e-09	3.7637942	ENSG00000272822
6	ENSG00000115738	1.903146991504984e-09	2.1481638	ID2
6	ENSG00000006210	1.9852020073501395e-09	5.251228	CX3CL1
6	ENSG00000154783	2.080777455611546e-09	2.7296903	FGD5
6	ENSG00000154133	2.1017558657538954e-09	4.342553	ROBO4
6	ENSG00000175414	2.186900771416978e-09	3.288797	ARL10
6	ENSG00000141441	2.273639641593104e-09	3.2310634	GAREM1
6	ENSG00000072786	2.2759901184005998e-09	2.9069996	STK10
6	ENSG00000100926	2.291769885479524e-09	2.20636	TM9SF1
6	ENSG00000171992	2.629174456357684e-09	3.2983503	SYNPO
6	ENSG00000254806	3.047998413324081e-09	4.283064	SYS1-DBNDD2
6	ENSG00000071073	3.1199148939092203e-09	3.6286564	MGAT4A
6	ENSG00000106246	3.2236688677068403e-09	3.2402432	PTCD1
6	ENSG00000256028	3.730198367593642e-09	5.543148	ENSG00000256028
6	ENSG00000072163	4.4493137688754615e-09	2.328887	LIMS2
6	ENSG00000198844	5.009164235667928e-09	6.131639	ARHGEF15
