,Group,dataset_vc[C(dataset)[Banovich_Kropski_2020]],dataset_vc[C(dataset)[Barbry_Leroy_2020]],dataset_vc[C(dataset)[Krasnow_2020]],dataset_vc[C(dataset)[Lafyatis_Rojas_2019_10Xv1]],dataset_vc[C(dataset)[Lafyatis_Rojas_2019_10Xv2]],dataset_vc[C(dataset)[Meyer_2019]],dataset_vc[C(dataset)[Misharin_2021]],dataset_vc[C(dataset)[Misharin_Budinger_2018]],dataset_vc[C(dataset)[Nawijn_2021]],dataset_vc[C(dataset)[Seibold_2020_10Xv2]],dataset_vc[C(dataset)[Seibold_2020_10Xv3]],dataset_vc[C(dataset)[Teichmann_Meyer_2019]]
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747368C,-0.0018770582022107562,0.0,0.0,0.0,0.0,0.0,-0.0018770582022107562,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01,0.001466846094624526,0.0,0.0,0.0,0.0,0.0,0.0,0.001466846094624526,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02,-0.0018602791547226902,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018602791547226902,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD101,0.000673641861341617,0.000673641861341617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD104,0.002352947959710442,0.002352947959710442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD66,-0.0012378051205377146,-0.0012378051205377146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD67,0.0006385874343849617,0.0006385874343849617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD68,-0.00013325358636565287,-0.00013325358636565287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD69,-8.142352043964397e-05,-8.142352043964397e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD70,-0.00022264605405669362,-0.00022264605405669362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD85,0.000704822328634076,0.000704822328634076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD92,-0.0006967124800328591,-0.0006967124800328591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD94,0.0004991671281326898,0.0004991671281326898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD95,-0.0006429333041182284,-0.0006429333041182284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD98,0.00022149333163978314,0.00022149333163978314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 1,-8.824400821132273e-05,0.0,0.0,-8.824400821132273e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 2,0.00019707990206679408,0.0,0.0,0.00019707990206679408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747donor 3,0.001957963902852652,0.0,0.0,0.001957963902852652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_4,-0.0009497321360068874,0.0,0.0,0.0,0.0,-0.0009497321360068874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_6,-0.0009224623766739667,0.0,0.0,0.0,0.0,-0.0009224623766739667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
