donor_id,n_cells,ARI,NMI
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747021I,21,0.06326034063260341,0.25619466330145185
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747022I,47,0.047094827219790025,0.07754166626258632
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747034I,70,-0.001285906510542368,0.02274072417871595
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747225I,50,-0.020456052046485162,0.042878387759770015
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374749I,20,0.01054550188777503,0.17973477115170505
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A26,372,0.022910845711651022,0.017211869085754103
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A43,554,0.0023120109837994262,0.023323548919779315
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44,130,-0.004687105331606929,0.004462373805706989
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Case_1,291,0.002863549456721857,0.01982699148671176
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D032,70,-0.012973626853439174,0.04048202977780215
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D046,96,0.004769112200346862,0.007078480032551144
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062,114,0.008213357508054993,0.031600794115633685
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D088,322,-0.0073168154531766064,0.015249547568283381
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D1,66,-0.008710633239765866,0.1132060117065506
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D10,50,-0.03604788843573214,0.018731663713126658
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D11,49,0.08583374323659616,0.09697631157055506
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D12,139,-0.003155892604850544,0.02174425621482332
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D122,32,-0.02809207959422552,0.0029604593332243907
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D13,84,0.05689657416892729,0.08136018076793529
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D139,52,-0.0047714151335655425,0.0037631326532531453
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D14,46,0.22492401215805471,0.2319119783082322
