pattern	program	cell_type	term	estimate	se	p	n
Pattern_2	Pattern_2 (inflammatory)	AT1	disease_groupFibrotic_ILD	0.0524787678590393	0.155905289410356	0.736835999844551	171
Pattern_2	Pattern_2 (inflammatory)	AT1	disease_groupHealthy	-0.325457363678647	0.135935995099614	0.017764864407357	171
Pattern_2	Pattern_2 (inflammatory)	AT1	disease_groupOther	-0.512629585554627	0.156886864412793	0.0013170727621309	171
Pattern_2	Pattern_2 (inflammatory)	AT2	disease_groupFibrotic_ILD	0.0982835974544612	0.141144954615542	0.486918642002133	236
Pattern_2	Pattern_2 (inflammatory)	AT2	disease_groupHealthy	-0.00123252534824976	0.132476118095904	0.992584779889908	236
Pattern_2	Pattern_2 (inflammatory)	AT2	disease_groupOther	-0.158383948303258	0.147563217150024	0.284238449339898	236
Pattern_2	Pattern_2 (inflammatory)	Adventitial fibroblasts	disease_groupFibrotic_ILD	-0.577981145169719	0.267394638511549	0.0322958576417714	149
Pattern_2	Pattern_2 (inflammatory)	Adventitial fibroblasts	disease_groupHealthy	-0.783397133578884	0.25703346211937	0.00273987643743043	149
Pattern_2	Pattern_2 (inflammatory)	Adventitial fibroblasts	disease_groupOther	-1.30435630740034	0.28667038236353	1.12526412223625e-05	149
Pattern_2	Pattern_2 (inflammatory)	Alveolar fibroblasts	disease_groupFibrotic_ILD	-0.36141471096761	0.283192462650286	0.203977380531777	145
Pattern_2	Pattern_2 (inflammatory)	Alveolar fibroblasts	disease_groupHealthy	-0.851604855507979	0.261975105435613	0.00143986859972367	145
Pattern_2	Pattern_2 (inflammatory)	Alveolar fibroblasts	disease_groupOther	-1.21643210282786	0.28817570359254	4.33188987444218e-05	145
Pattern_2	Pattern_2 (inflammatory)	Alveolar macrophages	disease_groupFibrotic_ILD	-0.0991269710292407	0.099884351152328	0.321760515610102	317
Pattern_2	Pattern_2 (inflammatory)	Alveolar macrophages	disease_groupHealthy	-0.348794905127783	0.0942071595692235	0.000252306218631017	317
Pattern_2	Pattern_2 (inflammatory)	Alveolar macrophages	disease_groupOther	-0.38784849496917	0.100025683277585	0.000128638072437034	317
Pattern_2	Pattern_2 (inflammatory)	Classical monocytes	disease_groupFibrotic_ILD	-0.177396020707806	0.0851135475162663	0.0379659404294419	311
Pattern_2	Pattern_2 (inflammatory)	Classical monocytes	disease_groupHealthy	-0.41756338660681	0.0800746086656702	3.39097897017588e-07	311
Pattern_2	Pattern_2 (inflammatory)	Classical monocytes	disease_groupOther	-0.612946274793037	0.0845133283431828	3.34815332942913e-12	311
Pattern_2	Pattern_2 (inflammatory)	DC2	disease_groupFibrotic_ILD	-0.175775621972048	0.0655437284707315	0.00770369662952457	323
Pattern_2	Pattern_2 (inflammatory)	DC2	disease_groupHealthy	-0.359332689595335	0.0619524136683034	1.59528990914172e-08	323
