cell_type	Pattern_1	Pattern_2	Pattern_3	Pattern_4	Pattern_5
AT1	0.360537665775014	1.26765880841571	-0.111174271217852	1.20572076066549	0.15573888902393
AT2	0.56190879170696	1.88820342986796	-0.546279710462474	1.30051122895505	-0.13998755454143
Adventitial fibroblasts	0.259593280143365	2.59869440877185	-0.484876507291687	2.06133082528021	0.376706339644599
Alveolar fibroblasts	0.411074556619854	2.14389271404892	-0.329552400914791	1.90351719995045	0.582093925050824
Alveolar macrophages	0.146368886926391	1.55653685483336	-0.151217950558182	1.6052741786732	-0.14417552215608
Classical monocytes	0.0942016068988697	1.83652062283801	-0.21262920275215	1.13835906466619	-0.0538749863483051
DC2	0.160493709306555	1.78673936360562	-0.275392506932472	1.39540232141648	-0.196264000426497
EC aerocyte capillary	0.124891339994827	1.75826232693257	-0.281230324080432	1.1888923640793	0.426982301213043
EC general capillary	0.178742304795158	1.74095934231201	-0.228912894104622	1.2132485024673	0.386731869200389
EC venous pulmonary	0.198888534479095	2.70345052686358	-0.56246830829769	1.75330815176046	-0.0461906219665272
EC venous systemic	0.14745694698635	2.39431458630162	-0.538502868246887	1.80627078994059	0.113890850251059
Interstitial macrophages	0.148227064992554	1.84407716804845	-0.294507268978431	1.54038927248028	-0.144380484422001
Lymphatic EC	0.204019127747963	1.73651253233794	-0.358117093590706	1.46153885275992	0.423380280671222
Mast cells	0.0704782819537739	1.97307682089117	-0.213090839561294	1.11350161011091	-0.104515190699691
Myofibroblasts	0.23080957117991	2.4750017001835	-0.0283786015525931	1.88604217615058	0.297049537845979
Non-classical monocytes	0.191068383846051	1.92035734100693	-0.210241622262009	1.30039490782297	-0.113070041240001
Peribronchial fibroblasts	0.0522143064366491	1.97041144018454	-0.13480235405543	2.31244598373364	0.41554623824792
Pericytes	0.783953236136989	1.43242552393581	1.01564220665991	1.38793035075566	0.722078214765911
Subpleural fibroblasts	0.0314318893183186	3.73673369667374	-0.603262282519895	2.51568759362863	-0.381596767275085
Transitional Club-AT2	0.415685879319477	2.24900834368506	-0.538385688083417	1.47187278264674	-0.190102207364844
Vascular smooth muscle	0.377537026762204	2.03936032018981	0.540738170863749	1.62040496595121	0.104694574387875
