cell_type	Pattern_1	Pattern_2	Pattern_3	Pattern_4	Pattern_5	Pattern_6	Pattern_7	Pattern_8
AT1	1.16791119167504	0.367887243644816	0.328347377049181	0.879218203872261	-0.139217277938887	1.23932303738124	0.110321496330652	0.211059407362339
AT2	1.73277995766089	0.644110031897049	0.4313433195125	0.924362220356009	-0.783143102034442	1.5624593620157	-0.0492993149559311	-0.143487131573966
Adventitial fibroblasts	1.70858342804093	0.374596309137518	1.1356064995049	0.848892494569902	-0.791252296467552	2.46943455600829	0.369157701752588	0.399989639989868
Alveolar fibroblasts	1.57355557563802	0.441523097006684	0.72305107263362	0.721847272282447	-0.349552625857702	2.15898163371512	0.424262611913583	0.663728545919087
Alveolar macrophages	1.1826516201165	0.258578041633172	0.325814283978891	1.00157643881998	-0.783752805500978	1.88238118123898	0.384547438252056	-0.102672277152291
Classical monocytes	1.71469799873787	0.204735813959891	0.390876630812499	1.06851728550553	-0.793822651730207	1.38793907890225	0.273608731445321	-0.0711378782396064
DC2	1.63384514743161	0.266322580334701	0.269410580798585	1.02188090348802	-0.787565868438489	1.65565310328241	0.285113687068975	-0.181491915146346
EC aerocyte capillary	1.64446857697016	0.160614809472738	0.67664640371071	0.830364901349573	-0.289255038040648	1.2354185203209	0.0330786499598394	0.46648881563769
EC general capillary	1.31655179904131	0.224866261622527	1.22924123478753	0.903821644611224	-0.227270107829551	1.1987600648863	-0.153655206187921	0.407991602220425
EC venous pulmonary	1.92833665539396	0.246698585107088	1.52701804858432	0.847739202779639	-0.277497674677046	1.90786077014625	-0.125381325997246	-0.0156991935022704
EC venous systemic	1.97029613086212	0.196019258152493	0.850258150676991	0.92402269640531	-0.277768703290745	1.95470668557733	-0.0124709356824182	0.149341660490793
Interstitial macrophages	1.64304699726277	0.260148994639402	0.25703027727143	1.03688795978162	-0.845115133261258	1.83143641812953	0.332625311917366	-0.117770792640051
Lymphatic EC	1.18841141406867	0.273445556068292	0.718621828742359	0.910402301999448	-0.514674160218878	1.65914177746239	0.0488172388009926	0.440024499838412
Mast cells	2.02153297142857	0.17606546200431	0.315800483047299	1.19291405807513	-0.758940236896933	1.33880557146929	0.266622097877436	-0.129397540634724
Myofibroblasts	1.88219023625875	0.149062926096299	1.27932014269981	0.586871789336696	0.722922648136644	1.89356010464699	0.41552392416369	0.411661841756172
Non-classical monocytes	1.65987550700594	0.302977868413699	0.465841247175432	1.12606695661742	-0.848290721828745	1.57694350615987	0.326393143628715	-0.116156970053512
Peribronchial fibroblasts	1.2834032016866	0.105025241293206	0.478610535448137	0.952741834925403	-0.151712012550186	2.56135335649408	0.604083571836047	0.489827492808623
Pericytes	1.13788832200886	0.682006406819328	0.726881827549979	1.15533835148216	0.925225549203772	1.26417931258183	1.12604433422731	0.800338674341337
Subpleural fibroblasts	2.65875189105854	0.159943129943784	1.91759130834335	0.903044452621894	-0.602618258493331	2.88033033601157	0.349566985517348	-0.349508139342826
Transitional Club-AT2	1.98997775718561	0.489036276636388	0.615317963137356	0.950104736859427	-0.702278026939141	1.74514158871496	0.0438902263109628	-0.176680519111293
Vascular smooth muscle	1.37784465915407	0.216746949608121	1.35557005540242	0.65617590436681	1.52840135279471	1.47635646786874	0.562261595518318	0.193056094808728
