cell_type	emmean	SE	df	asymp.LCL	asymp.UCL	pattern	program
AT1	1.04076211861923	0.0424316164179679	Inf	0.957597678634193	1.12392655860426	Pattern_1	Pattern_1 (inflammatory)
AT2	1.426462814183	0.0398106935971088	Inf	1.34843528853311	1.5044903398329	Pattern_1	Pattern_1 (inflammatory)
Adventitial fibroblasts	1.83285043950609	0.0437152180260238	Inf	1.74717018659876	1.91853069241341	Pattern_1	Pattern_1 (inflammatory)
Alveolar fibroblasts	1.59475966150936	0.0440167644668524	Inf	1.50848838843835	1.68103093458038	Pattern_1	Pattern_1 (inflammatory)
Alveolar macrophages	0.986591953766231	0.0377963388625138	Inf	0.912512490848232	1.06067141668423	Pattern_1	Pattern_1 (inflammatory)
Classical monocytes	1.3514274533766	0.0379128377034632	Inf	1.2771196569261	1.4257352498271	Pattern_1	Pattern_1 (inflammatory)
DC2	1.21345221749297	0.0376470224342805	Inf	1.13966540939661	1.28723902558933	Pattern_1	Pattern_1 (inflammatory)
EC aerocyte capillary	1.43556974604266	0.0479651535372893	Inf	1.34155977259664	1.52957971948868	Pattern_1	Pattern_1 (inflammatory)
EC general capillary	1.49244157416093	0.0430630427191837	Inf	1.40803956136662	1.57684358695524	Pattern_1	Pattern_1 (inflammatory)
EC venous pulmonary	2.00845141357028	0.0464464639170635	Inf	1.91741801708359	2.09948481005696	Pattern_1	Pattern_1 (inflammatory)
EC venous systemic	1.75704619571475	0.0440206668600588	Inf	1.6707672740936	1.8433251173359	Pattern_1	Pattern_1 (inflammatory)
Interstitial macrophages	1.26805003819913	0.0377004710994195	Inf	1.19415847264407	1.34194160375419	Pattern_1	Pattern_1 (inflammatory)
Lymphatic EC	1.26237542587028	0.0427312380400016	Inf	1.17862373829707	1.34612711344349	Pattern_1	Pattern_1 (inflammatory)
Mast cells	1.48189298690888	0.0414406592668019	Inf	1.40067078725035	1.5631151865674	Pattern_1	Pattern_1 (inflammatory)
Myofibroblasts	1.82948485615057	0.0678947889187934	Inf	1.69641351513179	1.96255619716936	Pattern_1	Pattern_1 (inflammatory)
Non-classical monocytes	1.31232571794751	0.0400365710943795	Inf	1.23385548053805	1.39079595535697	Pattern_1	Pattern_1 (inflammatory)
Peribronchial fibroblasts	1.26341988665441	0.0481339706755421	Inf	1.16907903769744	1.35776073561138	Pattern_1	Pattern_1 (inflammatory)
Pericytes	1.32881653558985	0.0499911691695145	Inf	1.23083564447255	1.42679742670715	Pattern_1	Pattern_1 (inflammatory)
Subpleural fibroblasts	2.54056654118212	0.139195492463777	Inf	2.2677483891428	2.81338469322144	Pattern_1	Pattern_1 (inflammatory)
Transitional Club-AT2	1.5721261504925	0.0430766916404654	Inf	1.48769738630405	1.65655491468095	Pattern_1	Pattern_1 (inflammatory)
Vascular smooth muscle	1.91446607298373	0.0454477617493844	Inf	1.82539009677698	2.00354204919048	Pattern_1	Pattern_1 (inflammatory)
AT1	0.399344400836375	0.0362387345486333	Inf	0.328317786275746	0.470371015397003	Pattern_2	Pattern_2 (mixed)
AT2	0.537050134698065	0.0347681710419359	Inf	0.468905771647543	0.605194497748588	Pattern_2	Pattern_2 (mixed)
