sample	Pattern_1	Pattern_2	Pattern_3	Pattern_4	Pattern_5	cell_type	donor_id	disease_group	n_cells
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747001C	0.327734961358874	0.298758286279002	0.354603555846305	1.08863885671926	0.547085665093831	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747001C	Healthy	40
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747021I	0.399687699602719	1.7341815627566	-0.174651958529046	1.46967420587011	0.899496883644176	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747021I	Fibrotic_ILD	28
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747022I	0.573250973247188	1.37813101167215	-0.310831883441098	1.16984642216359	0.98423128724958	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747022I	Fibrotic_ILD	20
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747052CO	0.38117234327127	2.01150901513864	-0.430847978833009	1.32158002350492	0.724679580409191	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747052CO	COPD	93
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747056CO	0.517039992919748	0.650308395836975	-0.0099578229600058	0.963153783069303	0.964078214175314	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747056CO	COPD	15
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747098C	0.497165200014202	0.923866318112142	-0.0215549135921723	1.17714879911755	0.40090943212218	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747098C	Healthy	14
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747101CV0ng	0.854346724498346	1.04722501956079	-0.632541485112571	0.745680023941034	1.0894543526554	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747101CV0ng	Healthy	300
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747133C	0.472718591112245	1.65955253723962	-0.136982369910693	1.14773922953338	0.380360967459016	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747133C	Healthy	108
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471372C	0.417155013021056	1.40926892567828	-0.158843519644879	1.21695252665991	0.504704794148582	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_4837471372C	Healthy	48
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747145I	0.501946524460865	1.5851729426503	-0.185785862399891	1.17454648606648	0.664829175852678	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747145I	Fibrotic_ILD	11
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747152CO	0.394845208321902	1.26433520483143	-0.0461062548126529	0.970015400951915	0.556081051864555	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747152CO	COPD	40
AT1||homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747160C	0.489409098501806	0.845051819051794	0.115745377850381	1.10965137539506	0.593132650322465	AT1	homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747160C	Healthy	10
