gene	block	block_type	block_rank	pericyte_state	mean_expr	frac_expr
TIMP1	activated_migratory	curated	1	0	2.3415825	0.9085948158253752
TIMP1	activated_migratory	curated	1	1	0.7832887	0.3247933884297521
TIMP1	activated_migratory	curated	1	2	2.0177917	0.6955587392550143
TIMP1	activated_migratory	curated	1	3	1.9147494	0.7986870897155361
TIMP1	activated_migratory	curated	1	4	1.6537101	0.5863636363636363
TIMP1	activated_migratory	curated	1	5	1.4544746	0.6194690265486725
THBS1	activated_migratory	curated	2	0	0.91186666	0.421043656207367
THBS1	activated_migratory	curated	2	1	0.67934257	0.2892561983471074
THBS1	activated_migratory	curated	2	2	0.54311764	0.2020057306590258
THBS1	activated_migratory	curated	2	3	0.7872086	0.3741794310722101
THBS1	activated_migratory	curated	2	4	1.3487196	0.4863636363636364
THBS1	activated_migratory	curated	2	5	1.0399598	0.46017699115044247
ADAMTS1	activated_migratory	curated	3	0	1.0143365	0.4633356070941337
ADAMTS1	activated_migratory	curated	3	1	0.5286807	0.21928374655647384
ADAMTS1	activated_migratory	curated	3	2	0.54779536	0.20487106017191978
ADAMTS1	activated_migratory	curated	3	3	0.79388946	0.3676148796498906
ADAMTS1	activated_migratory	curated	3	4	0.9949034	0.36818181818181817
ADAMTS1	activated_migratory	curated	3	5	1.1591046	0.5132743362831859
SERPINE1	activated_migratory	curated	4	0	0.21390416	0.10811732605729878
SERPINE1	activated_migratory	curated	4	1	0.2590665	0.10881542699724518
SERPINE1	activated_migratory	curated	4	2	0.13788508	0.053724928366762174
SERPINE1	activated_migratory	curated	4	3	0.26302445	0.13129102844638948
SERPINE1	activated_migratory	curated	4	4	0.4277874	0.17272727272727273
SERPINE1	activated_migratory	curated	4	5	0.52352923	0.23008849557522124
LAMB1	basement_membrane	curated	1	0	1.1707771	0.5458731241473397
LAMB1	basement_membrane	curated	1	1	2.0376182	0.7680440771349862
LAMB1	basement_membrane	curated	1	2	0.8162969	0.30587392550143266
LAMB1	basement_membrane	curated	1	3	1.9298685	0.8008752735229759
LAMB1	basement_membrane	curated	1	4	1.0951935	0.4318181818181818
LAMB1	basement_membrane	curated	1	5	1.8405799	0.7610619469026548
LAMC3	basement_membrane	curated	2	0	1.2730031	0.5850954979536153
LAMC3	basement_membrane	curated	2	1	1.6008898	0.6396694214876033
LAMC3	basement_membrane	curated	2	2	0.80753386	0.2987106017191977
LAMC3	basement_membrane	curated	2	3	1.8891677	0.8140043763676149
LAMC3	basement_membrane	curated	2	4	0.85194266	0.3409090909090909
LAMC3	basement_membrane	curated	2	5	0.9994441	0.46017699115044247
NID1	basement_membrane	curated	3	0	1.1957439	0.5535470668485676
NID1	basement_membrane	curated	3	1	1.6920729	0.6801652892561983
NID1	basement_membrane	curated	3	2	0.87734145	0.32879656160458454
NID1	basement_membrane	curated	3	3	1.9032174	0.8096280087527352
NID1	basement_membrane	curated	3	4	1.2329694	0.4863636363636364
NID1	basement_membrane	curated	3	5	1.8740008	0.7876106194690266
LAMA2	basement_membrane	curated	4	0	0.5101836	0.25835607094133695
LAMA2	basement_membrane	curated	4	1	1.3240786	0.5473829201101928
LAMA2	basement_membrane	curated	4	2	0.35408738	0.1361031518624642
LAMA2	basement_membrane	curated	4	3	1.1776205	0.5448577680525164
LAMA2	basement_membrane	curated	4	4	0.583702	0.2409090909090909
LAMA2	basement_membrane	curated	4	5	0.62243056	0.2831858407079646
DCN	fibroblast_like	curated	1	0	2.2344358	0.8920532060027285
DCN	fibroblast_like	curated	1	1	0.8991139	0.3785123966942149
DCN	fibroblast_like	curated	1	2	1.771362	0.6232091690544412
DCN	fibroblast_like	curated	1	3	1.9673121	0.8183807439824945
DCN	fibroblast_like	curated	1	4	1.2342975	0.4681818181818182
DCN	fibroblast_like	curated	1	5	1.1246924	0.49557522123893805
COL1A2	fibroblast_like	curated	2	0	1.6100148	0.6857094133697135
COL1A2	fibroblast_like	curated	2	1	1.0911242	0.44242424242424244
COL1A2	fibroblast_like	curated	2	2	1.2786092	0.45916905444126077
COL1A2	fibroblast_like	curated	2	3	1.8805054	0.7724288840262582
COL1A2	fibroblast_like	curated	2	4	1.3538036	0.509090909090909
COL1A2	fibroblast_like	curated	2	5	1.7356671	0.7345132743362832
COL4A1	fibroblast_like	curated	3	0	1.9609892	0.8071282401091405
COL4A1	fibroblast_like	curated	3	1	2.289374	0.8402203856749312
COL4A1	fibroblast_like	curated	3	2	1.6286609	0.578080229226361
