feature	spearman_rho	p_value	n	block	root	neighbors	n_dcs	frac	seed
vascular_stabilizing_score	0.45139714058878194	0.0	11680	param	vascular_stabilizing	15	10	1.0	13
inflammatory_score	0.4712525691078288	0.0	11680	param	vascular_stabilizing	15	10	1.0	13
synthetic_contractile_score	0.427241190710562	0.0	11680	param	vascular_stabilizing	15	10	1.0	13
activated_migratory_score	0.4052308723263868	0.0	11680	param	vascular_stabilizing	15	10	1.0	13
fibroblast_like_score	0.2144424620698203	1.4370942032194e-121	11680	param	vascular_stabilizing	15	10	1.0	13
basement_membrane_score	-0.27835994177620743	8.037771610474037e-207	11680	param	vascular_stabilizing	15	10	1.0	13
AGTR1_expr	0.11009464102563027	7.92781970597196e-33	11680	param	vascular_stabilizing	15	10	1.0	13
vascular_stabilizing_score	0.4499486393003148	0.0	9344	param	vascular_stabilizing	15	10	0.8	13
inflammatory_score	0.4771549591682328	0.0	9344	param	vascular_stabilizing	15	10	0.8	13
synthetic_contractile_score	0.4233583351662997	0.0	9344	param	vascular_stabilizing	15	10	0.8	13
activated_migratory_score	0.4036218084285868	0.0	9344	param	vascular_stabilizing	15	10	0.8	13
fibroblast_like_score	0.2118831134821212	2.5678172477479074e-95	9344	param	vascular_stabilizing	15	10	0.8	13
basement_membrane_score	-0.28351072840308417	3.034999294113676e-172	9344	param	vascular_stabilizing	15	10	0.8	13
AGTR1_expr	0.11725715813900671	5.74394795403389e-30	9344	param	vascular_stabilizing	15	10	0.8	13
vascular_stabilizing_score	0.4510466930008428	0.0	9344	param	vascular_stabilizing	15	10	0.8	7
inflammatory_score	0.4750128496315131	0.0	9344	param	vascular_stabilizing	15	10	0.8	7
synthetic_contractile_score	0.42547195452087816	0.0	9344	param	vascular_stabilizing	15	10	0.8	7
activated_migratory_score	0.39936566021688846	0.0	9344	param	vascular_stabilizing	15	10	0.8	7
fibroblast_like_score	0.2226158620161431	2.878817891157763e-105	9344	param	vascular_stabilizing	15	10	0.8	7
basement_membrane_score	-0.2788197798298367	1.9948366703977303e-166	9344	param	vascular_stabilizing	15	10	0.8	7
AGTR1_expr	0.12202976570271967	2.4647978291027926e-32	9344	param	vascular_stabilizing	15	10	0.8	7
vascular_stabilizing_score	0.45004861952685393	0.0	11680	param	vascular_stabilizing	15	15	1.0	13
inflammatory_score	0.47099715161672945	0.0	11680	param	vascular_stabilizing	15	15	1.0	13
synthetic_contractile_score	0.42639850172237115	0.0	11680	param	vascular_stabilizing	15	15	1.0	13
activated_migratory_score	0.4057942515500928	0.0	11680	param	vascular_stabilizing	15	15	1.0	13
fibroblast_like_score	0.21536417943723926	1.2658596885957793e-122	11680	param	vascular_stabilizing	15	15	1.0	13
basement_membrane_score	-0.2783320021616821	8.87020274134582e-207	11680	param	vascular_stabilizing	15	15	1.0	13
AGTR1_expr	0.10951789541730798	1.6846713821881592e-32	11680	param	vascular_stabilizing	15	15	1.0	13
vascular_stabilizing_score	0.4484609436668517	0.0	9344	param	vascular_stabilizing	15	15	0.8	13
inflammatory_score	0.477482111461913	0.0	9344	param	vascular_stabilizing	15	15	0.8	13
synthetic_contractile_score	0.4225404667271026	0.0	9344	param	vascular_stabilizing	15	15	0.8	13
activated_migratory_score	0.404485116019808	0.0	9344	param	vascular_stabilizing	15	15	0.8	13
fibroblast_like_score	0.213092029500261	2.0683116798676187e-96	9344	param	vascular_stabilizing	15	15	0.8	13
basement_membrane_score	-0.2831968702056189	7.498146097075895e-172	9344	param	vascular_stabilizing	15	15	0.8	13
AGTR1_expr	0.11646239217073759	1.3936444467293646e-29	9344	param	vascular_stabilizing	15	15	0.8	13
vascular_stabilizing_score	0.4502638362140408	0.0	9344	param	vascular_stabilizing	15	15	0.8	7
inflammatory_score	0.4748804043077921	0.0	9344	param	vascular_stabilizing	15	15	0.8	7
synthetic_contractile_score	0.42504951133499025	0.0	9344	param	vascular_stabilizing	15	15	0.8	7
activated_migratory_score	0.39983469303727454	0.0	9344	param	vascular_stabilizing	15	15	0.8	7
fibroblast_like_score	0.22299879759405503	1.2423007727659813e-105	9344	param	vascular_stabilizing	15	15	0.8	7
basement_membrane_score	-0.27855491533996096	4.217112651399678e-166	9344	param	vascular_stabilizing	15	15	0.8	7
AGTR1_expr	0.12166202697941945	3.7809878119788315e-32	9344	param	vascular_stabilizing	15	15	0.8	7
vascular_stabilizing_score	0.4523276373411141	0.0	11680	param	vascular_stabilizing	30	10	1.0	13
inflammatory_score	0.4757035606726627	0.0	11680	param	vascular_stabilizing	30	10	1.0	13
synthetic_contractile_score	0.43603304983380486	0.0	11680	param	vascular_stabilizing	30	10	1.0	13
activated_migratory_score	0.41279432200123606	0.0	11680	param	vascular_stabilizing	30	10	1.0	13
fibroblast_like_score	0.21656290200722894	5.281889301052519e-124	11680	param	vascular_stabilizing	30	10	1.0	13
basement_membrane_score	-0.2773122109882975	3.210877444187637e-205	11680	param	vascular_stabilizing	30	10	1.0	13
AGTR1_expr	0.11401427344153053	4.2489171584123315e-35	11680	param	vascular_stabilizing	30	10	1.0	13
vascular_stabilizing_score	0.4502597637802279	0.0	9344	param	vascular_stabilizing	30	10	0.8	13
inflammatory_score	0.48172211767272766	0.0	9344	param	vascular_stabilizing	30	10	0.8	13
synthetic_contractile_score	0.4298083814000324	0.0	9344	param	vascular_stabilizing	30	10	0.8	13
activated_migratory_score	0.4130052873098754	0.0	9344	param	vascular_stabilizing	30	10	0.8	13
fibroblast_like_score	0.2147060197515564	6.990889435009068e-98	9344	param	vascular_stabilizing	30	10	0.8	13
basement_membrane_score	-0.28323909708040296	6.639515822431065e-172	9344	param	vascular_stabilizing	30	10	0.8	13
AGTR1_expr	0.11851959001650043	1.387729281242167e-30	9344	param	vascular_stabilizing	30	10	0.8	13
vascular_stabilizing_score	0.45099993885891876	0.0	9344	param	vascular_stabilizing	30	10	0.8	7
inflammatory_score	0.4787969334680419	0.0	9344	param	vascular_stabilizing	30	10	0.8	7
synthetic_contractile_score	0.4318698966863869	0.0	9344	param	vascular_stabilizing	30	10	0.8	7
activated_migratory_score	0.4097623791012856	0.0	9344	param	vascular_stabilizing	30	10	0.8	7
fibroblast_like_score	0.22499658020237	1.5096499675444235e-107	9344	param	vascular_stabilizing	30	10	0.8	7
basement_membrane_score	-0.27506456605462504	7.51047676861381e-162	9344	param	vascular_stabilizing	30	10	0.8	7
AGTR1_expr	0.12289265153589181	8.984909130136052e-33	9344	param	vascular_stabilizing	30	10	0.8	7
vascular_stabilizing_score	0.4515090058109152	0.0	11680	param	vascular_stabilizing	30	15	1.0	13
inflammatory_score	0.47585845631809565	0.0	11680	param	vascular_stabilizing	30	15	1.0	13
synthetic_contractile_score	0.4354426788404894	0.0	11680	param	vascular_stabilizing	30	15	1.0	13
activated_migratory_score	0.41318806952470727	0.0	11680	param	vascular_stabilizing	30	15	1.0	13
fibroblast_like_score	0.21706817551054336	1.3764620451993524e-124	11680	param	vascular_stabilizing	30	15	1.0	13
basement_membrane_score	-0.2772477482937532	4.0264953447950975e-205	11680	param	vascular_stabilizing	30	15	1.0	13
AGTR1_expr	0.11372671456222311	6.274981318239503e-35	11680	param	vascular_stabilizing	30	15	1.0	13
vascular_stabilizing_score	0.4490009676451083	0.0	9344	param	vascular_stabilizing	30	15	0.8	13
inflammatory_score	0.482620531468422	0.0	9344	param	vascular_stabilizing	30	15	0.8	13
synthetic_contractile_score	0.42870102681753397	0.0	9344	param	vascular_stabilizing	30	15	0.8	13
activated_migratory_score	0.4135532948313275	0.0	9344	param	vascular_stabilizing	30	15	0.8	13
fibroblast_like_score	0.21573127557957927	8.012331123576788e-99	9344	param	vascular_stabilizing	30	15	0.8	13
basement_membrane_score	-0.28334259319384053	4.9276989556652287e-172	9344	param	vascular_stabilizing	30	15	0.8	13
AGTR1_expr	0.11768864906162207	3.540863164725019e-30	9344	param	vascular_stabilizing	30	15	0.8	13
vascular_stabilizing_score	0.4503919937981194	0.0	9344	param	vascular_stabilizing	30	15	0.8	7
inflammatory_score	0.47887473179126944	0.0	9344	param	vascular_stabilizing	30	15	0.8	7
synthetic_contractile_score	0.43153669181248355	0.0	9344	param	vascular_stabilizing	30	15	0.8	7
activated_migratory_score	0.4102326533807178	0.0	9344	param	vascular_stabilizing	30	15	0.8	7
fibroblast_like_score	0.22530541717327118	7.605053983949635e-108	9344	param	vascular_stabilizing	30	15	0.8	7
basement_membrane_score	-0.27483125990622187	1.4373891606394365e-161	9344	param	vascular_stabilizing	30	15	0.8	7
AGTR1_expr	0.12268884673062365	1.141067215612906e-32	9344	param	vascular_stabilizing	30	15	0.8	7
vascular_stabilizing_score	0.4518889473689532	0.0	11680	param	vascular_stabilizing	50	10	1.0	13
inflammatory_score	0.4786748500007628	0.0	11680	param	vascular_stabilizing	50	10	1.0	13
synthetic_contractile_score	0.43681951254721635	0.0	11680	param	vascular_stabilizing	50	10	1.0	13
activated_migratory_score	0.4186725246250732	0.0	11680	param	vascular_stabilizing	50	10	1.0	13
fibroblast_like_score	0.21814193565467313	7.810821842374825e-126	11680	param	vascular_stabilizing	50	10	1.0	13
basement_membrane_score	-0.2774779096248458	1.7939762055529778e-205	11680	param	vascular_stabilizing	50	10	1.0	13
AGTR1_expr	0.11564976907817495	4.5388059081171014e-36	11680	param	vascular_stabilizing	50	10	1.0	13
vascular_stabilizing_score	0.44994926820180486	0.0	9344	param	vascular_stabilizing	50	10	0.8	13
inflammatory_score	0.4836225590928822	0.0	9344	param	vascular_stabilizing	50	10	0.8	13
synthetic_contractile_score	0.431614910021218	0.0	9344	param	vascular_stabilizing	50	10	0.8	13
activated_migratory_score	0.4186877302326637	0.0	9344	param	vascular_stabilizing	50	10	0.8	13
fibroblast_like_score	0.21639107138331157	1.975787323303396e-99	9344	param	vascular_stabilizing	50	10	0.8	13
basement_membrane_score	-0.28271600627989124	2.990674384071706e-171	9344	param	vascular_stabilizing	50	10	0.8	13
AGTR1_expr	0.11878800842965152	1.0239410804334648e-30	9344	param	vascular_stabilizing	50	10	0.8	13
vascular_stabilizing_score	0.4495462911774084	0.0	9344	param	vascular_stabilizing	50	10	0.8	7
inflammatory_score	0.48173291036042143	0.0	9344	param	vascular_stabilizing	50	10	0.8	7
synthetic_contractile_score	0.43270441149474576	0.0	9344	param	vascular_stabilizing	50	10	0.8	7
activated_migratory_score	0.41584007105097526	0.0	9344	param	vascular_stabilizing	50	10	0.8	7
fibroblast_like_score	0.22718510436140274	1.1455841213039485e-109	9344	param	vascular_stabilizing	50	10	0.8	7
basement_membrane_score	-0.27492498928691095	1.1075243947243266e-161	9344	param	vascular_stabilizing	50	10	0.8	7
AGTR1_expr	0.12297183795537535	8.187227944225981e-33	9344	param	vascular_stabilizing	50	10	0.8	7
vascular_stabilizing_score	0.451353155556608	0.0	11680	param	vascular_stabilizing	50	15	1.0	13
inflammatory_score	0.4790687893874152	0.0	11680	param	vascular_stabilizing	50	15	1.0	13
synthetic_contractile_score	0.4363500435407259	0.0	11680	param	vascular_stabilizing	50	15	1.0	13
activated_migratory_score	0.41888288600563983	0.0	11680	param	vascular_stabilizing	50	15	1.0	13
fibroblast_like_score	0.21849476157145123	3.032362813464542e-126	11680	param	vascular_stabilizing	50	15	1.0	13
basement_membrane_score	-0.27746601662789355	1.8705431376716667e-205	11680	param	vascular_stabilizing	50	15	1.0	13
AGTR1_expr	0.11543839390830665	6.07112176220054e-36	11680	param	vascular_stabilizing	50	15	1.0	13
vascular_stabilizing_score	0.4490467418318401	0.0	9344	param	vascular_stabilizing	50	15	0.8	13
inflammatory_score	0.48463785953325395	0.0	9344	param	vascular_stabilizing	50	15	0.8	13
synthetic_contractile_score	0.43075988589039726	0.0	9344	param	vascular_stabilizing	50	15	0.8	13
activated_migratory_score	0.41914972474858375	0.0	9344	param	vascular_stabilizing	50	15	0.8	13
fibroblast_like_score	0.21741805673555212	2.214650622518557e-100	9344	param	vascular_stabilizing	50	15	0.8	13
basement_membrane_score	-0.2827322280230432	2.854436405479049e-171	9344	param	vascular_stabilizing	50	15	0.8	13
AGTR1_expr	0.1179942231151757	2.510997265556565e-30	9344	param	vascular_stabilizing	50	15	0.8	13
vascular_stabilizing_score	0.44926376327482315	0.0	9344	param	vascular_stabilizing	50	15	0.8	7
inflammatory_score	0.4820843480889552	0.0	9344	param	vascular_stabilizing	50	15	0.8	7
synthetic_contractile_score	0.43239971268519295	0.0	9344	param	vascular_stabilizing	50	15	0.8	7
activated_migratory_score	0.416059420983097	0.0	9344	param	vascular_stabilizing	50	15	0.8	7
fibroblast_like_score	0.22733358372306445	8.210810993412763e-110	9344	param	vascular_stabilizing	50	15	0.8	7
basement_membrane_score	-0.2748886084383032	1.2254768842472982e-161	9344	param	vascular_stabilizing	50	15	0.8	7
AGTR1_expr	0.12285123886844933	9.432336650538463e-33	9344	param	vascular_stabilizing	50	15	0.8	7
vascular_stabilizing_score	0.4457158205828025	0.0	11680	root	1	30	10	1.0	13
inflammatory_score	0.4731779470728726	0.0	11680	root	1	30	10	1.0	13
synthetic_contractile_score	0.42902174988555714	0.0	11680	root	1	30	10	1.0	13
activated_migratory_score	0.4070894354020359	0.0	11680	root	1	30	10	1.0	13
fibroblast_like_score	0.21385962163491068	6.639218557636772e-121	11680	root	1	30	10	1.0	13
basement_membrane_score	-0.27737681634490974	2.5590336839628534e-205	11680	root	1	30	10	1.0	13
AGTR1_expr	0.1125180120306641	3.196250635254397e-34	11680	root	1	30	10	1.0	13
vascular_stabilizing_score	-0.4875080831892521	0.0	11680	root	0	30	10	1.0	13
inflammatory_score	-0.4521057771122824	0.0	11680	root	0	30	10	1.0	13
synthetic_contractile_score	-0.4511965294713147	0.0	11680	root	0	30	10	1.0	13
activated_migratory_score	-0.391652413203937	0.0	11680	root	0	30	10	1.0	13
fibroblast_like_score	-0.22243913229394519	6.89188470550996e-131	11680	root	0	30	10	1.0	13
basement_membrane_score	0.2773928532272108	2.418853242961946e-205	11680	root	0	30	10	1.0	13
