feature	level	spearman_rho	p_value	partial_rho	partial_p	n
vascular_stabilizing_score	cell	-0.4875080831892521	0.0	-0.5344693939199077	0.0	11680
inflammatory_score	cell	-0.4521057771122824	0.0	-0.511323757439247	0.0	11680
synthetic_contractile_score	cell	-0.4511965294713147	0.0	-0.4571964711723814	0.0	11680
activated_migratory_score	cell	-0.391652413203937	0.0	-0.37755688098830886	0.0	11680
fibroblast_like_score	cell	-0.22243913229394519	6.89188470550996e-131	-0.21337046114126815	2.4464394843339994e-120	11680
basement_membrane_score	cell	0.32151837206904454	4.5507651464529195e-279	0.39997758510545284	0.0	11680
AGTR1_expr	cell	-0.1304477163363678	1.6898105904396327e-45	-0.08438447945056986	6.558757335061221e-20	11680
AGTR1_scvi	cell	-0.30824418742833143	1.619872722917354e-255	-0.3449348775351677	0.0	11680
vascular_stabilizing_score	donor	-0.5728745588047975	2.58910854933358e-18	-0.6063533488387515	9.222332359149484e-21	194
inflammatory_score	donor	-0.4906485107222247	3.800740086984487e-13	-0.6136297452313817	2.362772926136115e-21	194
synthetic_contractile_score	donor	-0.4682959901057225	5.7542329460405064e-12	-0.4924304825237204	3.4950432743407185e-13	194
activated_migratory_score	donor	-0.44072842920126715	1.265843790908942e-10	-0.42768164981029283	5.519443967228991e-10	194
fibroblast_like_score	donor	-0.2909418875553163	3.862608442225132e-05	-0.21450783724722808	0.002738794774014423	194
basement_membrane_score	donor	0.13815090416767678	0.05473099527498804	0.25512416798186394	0.00034265899864237986	194
AGTR1_expr	donor	-0.2972718551280621	2.5614789131832293e-05	-0.19903992345127955	0.0055200130999484304	194
AGTR1_scvi	donor	-0.3742231060964034	7.648131840525977e-08	-0.43695881420716964	2.10798112143821e-10	194
