test_ligand	auroc	aupr	aupr_corrected	pearson	rank_by_aupr	target	program	not_a_ligand	substrate_not_ligand
EFEMP2	0.648303989960508	0.0950769473252356	0.0928488735962504	0.154473416280692	1	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
TGFB1	0.879618351603734	0.0192465138013492	0.017018440072364	0.10138911966974	2	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
TIMP1	0.683479127449897	0.0153325306770714	0.0131044569480862	0.102274334689082	3	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
PDGFA	0.653895840253943	0.00970908426039885	0.00748101053141363	0.0268251064980971	4	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
TGFB2	0.683183848226481	0.00463359046574132	0.0024055167367561	0.0222442818201819	5	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
CTSD	0.662329753072752	0.00435122175148023	0.00212314802249502	0.0239665228837144	6	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
COL1A2	0.753349573690621	0.00426527147124195	0.00203719774225673	0.0251977412278982	7	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
IFITM1	0.614771343151367	0.0042558274529526	0.00202775372396739	0.0229216398213362	8	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
SLIT3	0.657549920643712	0.00414860452782514	0.00192053079883993	0.0215677902851146	9	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
COL21A1	0.648488539475144	0.00407183597038388	0.00184376224139867	0.021724759326067	10	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
COL1A1	0.709500609013397	0.00405491634933691	0.0018268426203517	0.0189009307700972	11	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
LGALS3	0.632266637138748	0.00402433816508234	0.00179626443609713	0.0119070231919921	12	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
HSPG2	0.66380614918983	0.00395218008000906	0.00172410635102384	0.0213173783014563	13	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
TGM2	0.652714723360279	0.00393140618327189	0.00170333245428668	0.00872755475914901	14	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
COL12A1	0.691820765511387	0.00390015648576883	0.00167208275678362	0.0196577931645657	15	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
SDC2	0.642915144133171	0.00389241618122779	0.00166434245224258	0.0200021032092816	16	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
LAMB1	0.669434909386189	0.00388201841083908	0.00165394468185387	0.0224120509677828	17	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
ANXA1	0.687207027645519	0.0038284704511	0.00160039672211479	0.0169891265236834	18	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
LAMB2	0.638688960248038	0.00382004528367507	0.00159197155468985	0.0198680506175259	19	Alveolar fibroblasts	fibroblast_matrix	FALSE	FALSE
