test_ligand	auroc	aupr	aupr_corrected	pearson	rank_by_aupr	target	program	not_a_ligand	substrate_not_ligand	null_mean	null_sd	z	p_emp	p_emp_at_floor	n_perm	rank_by_z	p_emp_BH
COL18A1	0.695043103448277	0.0907246101886119	0.0867615982995763	0.181208881176732	1	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00140146910677124	0.00710655390455776	12.0114658017383	0.003996003996004	FALSE	1000	1	0.0999000999000999
PTN	0.648651635720603	0.0277665821055034	0.0238035702164677	0.142715079690841	2	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00135858656589717	0.00675046423968951	3.32495408517309	0.00899100899100899	FALSE	1000	2	0.106143856143856
JAG1	0.646579354553495	0.0225494342352731	0.0185864223462375	0.0701071867091274	3	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00140908880168287	0.00703510931860376	2.44165836899372	0.016983016983017	FALSE	1000	3	0.106143856143856
ANGPT1	0.799016357206014	0.0182438867563515	0.0142808748673158	0.105092954745961	4	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00137334142257625	0.00652414336767714	1.97842578210159	0.015984015984016	FALSE	1000	4	0.106143856143856
ADAM10	0.623784261715298	0.0108172382052332	0.00685422631619757	0.0386610827990459	7	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00107109582806962	0.00457257706997715	1.26474204800158	0.034965034965035	FALSE	1000	5	0.108225108225108
ADAM17	0.689517020335987	0.0122567994339927	0.008293787544957	0.0579573914529118	5	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00137489444167804	0.00664975083775409	1.04047403761308	0.026973026973027	FALSE	1000	6	0.108225108225108
CALR	0.632929929266137	0.0104310760078653	0.00646806411882967	0.0308118925217166	9	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00109476600975798	0.00525018949403262	1.02344841365802	0.036963036963037	FALSE	1000	7	0.108225108225108
MPDZ	0.727453580901858	0.00894488350764721	0.00498187161861154	0.0421254369761593	10	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00102581735508959	0.00386795898439125	1.02277564976418	0.056943056943057	FALSE	1000	8	0.111653052829523
TGFB1	0.829851900972592	0.0121041339662918	0.00814112207725617	0.0484811323143862	6	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00148448588559809	0.00688576524019503	0.966724243341985	0.032967032967033	FALSE	1000	9	0.108225108225108
HGF	0.658570954907164	0.00870142253224523	0.00473841064320956	0.026070887292105	11	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00110878370929593	0.00396296830772372	0.915885935004725	0.0679320679320679	FALSE	1000	10	0.111653052829523
TGFB2	0.738892572944299	0.0106752735676739	0.00671226167863822	0.0495937953089129	8	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.0013983945806971	0.0066428783310503	0.79993443099852	0.038961038961039	FALSE	1000	11	0.108225108225108
NID1	0.681476569407605	0.00791417088569499	0.00395115899665932	0.0357734379060066	15	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00103616115176329	0.00393608074995995	0.740583852332218	0.0709290709290709	FALSE	1000	12	0.111653052829523
IFITM1	0.675536030061895	0.00763550123529003	0.00367248934625437	0.0323877105850401	18	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.000942905936170659	0.00385079320890833	0.708836663513677	0.0759240759240759	FALSE	1000	13	0.111653052829523
LAMA4	0.694158930150313	0.0078714698306095	0.00390845794157383	0.0339285351407894	16	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00103835386078095	0.00407240796430801	0.704768310529659	0.0739260739260739	FALSE	1000	14	0.111653052829523
TIMP3	0.654232979664016	0.00729423480769414	0.00333122291865847	0.0307921135630677	20	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.001057314408253	0.00395279400240294	0.57526613049482	0.0959040959040959	FALSE	1000	15	0.116550116550117
IGFBP4	0.669484969053936	0.00709473117043939	0.00313171928140373	0.032351805823029	21	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00102914739733807	0.0037472375484521	0.561099171557507	0.111888111888112	FALSE	1000	16	0.116550116550117
ANGPT2	0.678105658709109	0.00856472705455352	0.00460171516551785	0.0163794606275736	13	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00129268396739826	0.00608546629137933	0.543759679156742	0.0659340659340659	FALSE	1000	17	0.111653052829523
PTPRK	0.647850353669321	0.00704598679797549	0.00308297490893982	0.0251414835241219	23	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00104995971543832	0.00389573362334342	0.521856828536627	0.104895104895105	FALSE	1000	18	0.116550116550117
HMGB1	0.730824491600356	0.00867452517497102	0.00471151328593535	0.0203027979766121	12	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00133147930635472	0.00650401128752652	0.519684519315474	0.0649350649350649	FALSE	1000	19	0.111653052829523
ADAM9	0.71261604774536	0.00809574366782774	0.00413273177879208	0.0217302848038441	14	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00136163397369979	0.00674606625615178	0.410772396812039	0.0749250749250749	FALSE	1000	20	0.111653052829523
LAMC1	0.672966401414679	0.00695361660074662	0.00299060471171095	0.0288936835504274	25	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00113197440306936	0.00528002945043601	0.352011352604881	0.10989010989011	FALSE	1000	21	0.116550116550117
PSEN1	0.645418877099913	0.00764181806223745	0.00367880617320178	0.0221637949729987	17	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00145458926906561	0.00713724907852401	0.31163504028868	0.0919080919080919	FALSE	1000	22	0.116550116550117
COL12A1	0.725160256410257	0.00762431574372378	0.00366130385468811	0.0275727761467695	19	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00152260948208329	0.0074954561849846	0.285332115860966	0.0889110889110889	FALSE	1000	23	0.116550116550117
TGFBI	0.651387046861188	0.00705582492102786	0.0030928130319922	0.023892512522066	22	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00130433131270014	0.0066123494408751	0.270475983655117	0.104895104895105	FALSE	1000	24	0.116550116550117
ENG	0.666611405835546	0.00697669223908919	0.00301368035005352	0.0247539877009683	24	EC general capillary	EC_barrier_angiogenic	FALSE	FALSE	0.00143043841991969	0.00720742949415803	0.219668042735226	0.11988011988012	FALSE	1000	25	0.11988011988012
