contrast	estimate	SE	df	t.ratio	p.value	score	touches_small_group
pericyte_state0 - pericyte_state1	0.983648707659324	0.175564146205441	91.1544324935553	5.60278809152913	3.33019253706923e-06	at1r_response_score	FALSE
pericyte_state0 - pericyte_state2	0.487313566510857	0.173745623037237	146.82521511396	2.80475305214692	0.0142941626181376	at1r_response_score	FALSE
pericyte_state0 - pericyte_state3	0.141802424645573	0.171841430453204	142.272546695441	0.825193460457071	0.439974897919986	at1r_response_score	FALSE
pericyte_state0 - pericyte_state4	0.411327561240512	0.224770550082875	147.449468905967	1.8299886755131	0.103906764552846	at1r_response_score	TRUE
pericyte_state0 - pericyte_state5	-0.311778166822763	0.342307849005333	134.566083683153	-0.910812205237825	0.420026517236928	at1r_response_score	TRUE
pericyte_state1 - pericyte_state2	-0.496335141148467	0.128663155752895	139.708895316266	-3.85763226654961	0.000870960550924317	at1r_response_score	FALSE
pericyte_state1 - pericyte_state3	-0.841846283013751	0.185066585960355	151.326174604773	-4.54888319598705	8.24153725920545e-05	at1r_response_score	FALSE
pericyte_state1 - pericyte_state4	-0.572321146418812	0.201841947718813	139.369789670772	-2.83549159571189	0.0142941626181376	at1r_response_score	TRUE
pericyte_state1 - pericyte_state5	-1.29542687448209	0.344754302532585	135.631586751381	-3.75753649763268	0.000952435781325272	at1r_response_score	TRUE
pericyte_state2 - pericyte_state3	-0.345511141865285	0.1885755905402	146.099251735236	-1.83221561643011	0.103906764552846	at1r_response_score	FALSE
pericyte_state2 - pericyte_state4	-0.0759860052703457	0.204226013668035	131.79912718884	-0.372068199861451	0.710439620855685	at1r_response_score	TRUE
pericyte_state2 - pericyte_state5	-0.799091733333621	0.345660480550725	132.452330978462	-2.31178216283349	0.0478563381436646	at1r_response_score	TRUE
pericyte_state3 - pericyte_state4	0.269525136594939	0.229516002710873	130.341278052531	1.17431958299861	0.303010166669532	at1r_response_score	TRUE
pericyte_state3 - pericyte_state5	-0.453580591468336	0.349871333554102	126.981687653518	-1.29642113533774	0.268883911298217	at1r_response_score	TRUE
pericyte_state4 - pericyte_state5	-0.723105728063275	0.364070817889118	125.809064402671	-1.98616777981779	0.0922282731511782	at1r_response_score	TRUE
pericyte_state0 - pericyte_state1	0.463801081274662	0.186905856085726	97.8292950060727	2.4814689651133	0.0277302658000731	at1r_legacy_curated_score	FALSE
pericyte_state0 - pericyte_state2	0.428844181147848	0.183606118245073	147.392622968081	2.33567478713012	0.0347605866528493	at1r_legacy_curated_score	FALSE
pericyte_state0 - pericyte_state3	0.381773610747854	0.179194214133866	139.06677393709	2.13050188363032	0.0523350365068451	at1r_legacy_curated_score	FALSE
pericyte_state0 - pericyte_state4	-0.477344536103734	0.235115393222211	144.879406078708	-2.03025641818607	0.0602185254170479	at1r_legacy_curated_score	TRUE
pericyte_state0 - pericyte_state5	-1.0506672744203	0.355463876945885	130.492788087525	-2.95576384145568	0.00793348285303457	at1r_legacy_curated_score	TRUE
pericyte_state1 - pericyte_state2	-0.0349569001268136	0.134257063511738	137.494701504015	-0.260372893704453	0.811226106611717	at1r_legacy_curated_score	FALSE
pericyte_state1 - pericyte_state3	-0.082027470526807	0.193884783464575	148.463514590207	-0.423073276102632	0.776369997373837	at1r_legacy_curated_score	FALSE
pericyte_state1 - pericyte_state4	-0.941145617378395	0.209984177081102	135.186974748329	-4.48198350209453	0.000219499132854567	at1r_legacy_curated_score	TRUE
pericyte_state1 - pericyte_state5	-1.51446835569496	0.358271814663396	131.884554231454	-4.22714903520345	0.000219499132854567	at1r_legacy_curated_score	TRUE
pericyte_state2 - pericyte_state3	-0.0470705703999934	0.196711903830673	142.866099006224	-0.239286842755135	0.811226106611717	at1r_legacy_curated_score	FALSE
pericyte_state2 - pericyte_state4	-0.906188717251581	0.211866041789389	127.955136077026	-4.27717773739503	0.000219499132854567	at1r_legacy_curated_score	TRUE
pericyte_state2 - pericyte_state5	-1.47951145556815	0.358743121570505	128.77765408017	-4.12415281745653	0.000248551084480503	at1r_legacy_curated_score	TRUE
pericyte_state3 - pericyte_state4	-0.859118146851588	0.238179399994835	127.785939273911	-3.60702120699867	0.00110717071750925	at1r_legacy_curated_score	TRUE
pericyte_state3 - pericyte_state5	-1.43244088516815	0.362489481547151	123.642708360737	-3.95167572602194	0.000388973325132233	at1r_legacy_curated_score	TRUE
pericyte_state4 - pericyte_state5	-0.573322738316566	0.377133963230155	123.069574104578	-1.52020977746489	0.163779117804397	at1r_legacy_curated_score	TRUE
