level	model	spec	predictor	estimate	SE	z_value	p_value	n_units	n_donors	singular	note	score	family	null_mean	null_sd	p_emp	p_BH
pseudobulk	lmer denoised lens	sensitivity	at1r_response_score_z	-0.108465571926694	0.0758007801445147	210.514389876655	0.153933182754187	214	95	TRUE		at1r_response_score	signature	0.247361957206288	0.0196056593035448	0.000999000999000999	0.153933182754187
pseudobulk	lmer denoised lens	sensitivity	at1r_legacy_curated_score_z	-0.356195279487674	0.0676645004240248	207.887823544584	3.50070823340197e-07	214	95	TRUE		at1r_legacy_curated_score	legacy_curated	NA	NA	NA	3.50070823340197e-07
pseudobulk	lmer denoised lens	sensitivity	progeny_Androgen_z	0.149460366364994	0.0791837681478275	210.97808108454	0.0604641816940748	214	95	TRUE		progeny_Androgen	progeny_other	NA	NA	NA	0.108835527049335
pseudobulk	lmer denoised lens	sensitivity	progeny_EGFR_z	-0.398435284224271	0.0625551222162388	210.997547201833	1.1696202505848e-09	214	95	TRUE		progeny_EGFR	progeny_prespecified	NA	NA	NA	2.3392405011696e-09
pseudobulk	lmer denoised lens	sensitivity	progeny_Estrogen_z	-0.514848864108659	0.0591688087394538	206.969724148999	1.03003942001115e-15	214	95	TRUE		progeny_Estrogen	progeny_other	NA	NA	NA	9.27035478010032e-15
pseudobulk	lmer denoised lens	sensitivity	progeny_Hypoxia_z	0.0481976871687087	0.0756725448026928	208.4164175452	0.524873085057341	214	95	TRUE		progeny_Hypoxia	progeny_other	NA	NA	NA	0.535480576543377
pseudobulk	lmer denoised lens	sensitivity	progeny_MAPK_z	-0.422152758415599	0.0627426950965372	210.216033183425	1.59955054898451e-10	214	95	TRUE		progeny_MAPK	progeny_prespecified	NA	NA	NA	6.39820219593806e-10
pseudobulk	lmer denoised lens	sensitivity	progeny_NFkB_z	-0.274127530018607	0.0682615052486298	210.807386602666	8.23611321452627e-05	214	95	TRUE		progeny_NFkB	progeny_prespecified	NA	NA	NA	0.00010981484286035
pseudobulk	lmer denoised lens	sensitivity	progeny_PI3K_z	-0.309607991799727	0.0670523375206507	206.943291411422	6.81790930862021e-06	214	95	TRUE		progeny_PI3K	progeny_other	NA	NA	NA	3.06805918887909e-05
pseudobulk	lmer denoised lens	sensitivity	progeny_TGFb_z	-0.196559998698227	0.0744207575034429	207.25098918005	0.00889091021195806	214	95	TRUE		progeny_TGFb	progeny_prespecified	NA	NA	NA	0.00889091021195806
pseudobulk	lmer denoised lens	sensitivity	progeny_TNFa_z	-0.276519352923555	0.0699014082642656	210.583722555953	0.000104202084166754	214	95	TRUE		progeny_TNFa	progeny_other	NA	NA	NA	0.000312606252500263
pseudobulk	lmer denoised lens	sensitivity	progeny_Trail_z	-0.0438628252761181	0.0706606775419599	196.754467568981	0.535480576543377	214	95	TRUE		progeny_Trail	progeny_other	NA	NA	NA	0.535480576543377
pseudobulk	lmer denoised lens	sensitivity	progeny_VEGF_z	-0.0690246325338295	0.0651930687159975	194.225810058878	0.291018338526999	214	95	TRUE		progeny_VEGF	progeny_other	NA	NA	NA	0.374166435248999
pseudobulk	lmer denoised lens	sensitivity	progeny_WNT_z	-0.239971498203562	0.0626302980516685	189.321697001176	0.000173125655512033	214	95	TRUE		progeny_WNT	progeny_other	NA	NA	NA	0.000389532724902075
pseudobulk	lmer denoised lens	sensitivity	progeny_p53_z	0.106578329020983	0.0689918548687079	198.126180704627	0.123991415986158	214	95	TRUE		progeny_p53	progeny_other	NA	NA	NA	0.185987123979237
pseudobulk	lmer denoised lens	sensitivity	tf_FOS_z	-0.310642229068989	0.0797483755793921	200.552403704468	0.00013359150046696	214	95	TRUE		tf_FOS	tf	NA	NA	NA	0.000499445824978781
pseudobulk	lmer denoised lens	sensitivity	tf_JUN_z	-0.25791596972182	0.0814313216403852	203.880754870836	0.00177498595295069	214	95	TRUE		tf_JUN	tf	NA	NA	NA	0.00248498033413096
pseudobulk	lmer denoised lens	sensitivity	tf_NFKB1_z	-0.263172004104547	0.073428542354753	210.117082132232	0.000420546118649734	214	95	TRUE		tf_NFKB1	tf	NA	NA	NA	0.000815956125946445
pseudobulk	lmer denoised lens	sensitivity	tf_RELA_z	-0.285273103846181	0.0736297328397377	210.609509053604	0.000142698807136795	214	95	TRUE		tf_RELA	tf	NA	NA	NA	0.000499445824978781
pseudobulk	lmer denoised lens	sensitivity	tf_SMAD2_z	-0.00205069698987737	0.0774915305962798	210.790788674788	0.978912683714726	214	95	TRUE		tf_SMAD2	tf	NA	NA	NA	0.978912683714726
pseudobulk	lmer denoised lens	sensitivity	tf_SMAD3_z	-0.12772715202158	0.0798340231752091	210.860082154729	0.111116046093575	214	95	TRUE		tf_SMAD3	tf	NA	NA	NA	0.12963538710917
pseudobulk	lmer denoised lens	sensitivity	tf_AP1_z	-0.289418816455092	0.0813334270140217	199.393320631507	0.000466260643397969	214	95	TRUE		tf_AP1	tf	NA	NA	NA	0.000815956125946445
