arm	exposure	n_donors	n_studies	singular	studies_dropped	model	contrast	estimate	SE	df	lower.CL	upper.CL	t_ratio	p_value	null_mean	null_sd	n_null	p_emp
primary	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	EC_aerocyte - EC_gcap	0.0880616995011908	0.149129888266159	261.000000000001	-0.205589176680707	0.381712575683089	0.590503356000797	0.555364183126561	-0.0108571245755785	0.0585794006886009	177	0.0786516853932584
primary	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	epithelial - endothelial	0.121900567265534	0.105450755270593	261.000000000001	-0.0857419585840575	0.329543093115126	1.15599520318967	0.248740188109352	0.0199024672343179	0.17396173619066	177	0.48876404494382
_detect	AGTR1_detect_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_detect_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	EC_aerocyte - EC_gcap	0.0565098791671361	0.148603238210317	261.000000000001	-0.236103973168387	0.349123731502659	0.380273538098532	0.704051659526187	NA	NA	NA	NA
_detect	AGTR1_detect_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_detect_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	epithelial - endothelial	-0.25655386361599	0.105078357444795	261.000000000001	-0.463463102871557	-0.0496446243604223	-2.44154809662661	0.0152891286163413	NA	NA	NA	NA
_mincells20	AGTR1_z	69	17	TRUE	Meyer_2019	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	EC_aerocyte - EC_gcap	0.0791356471788863	0.158707516527073	201.000000000001	-0.233809627809565	0.392080922167337	0.498625704129059	0.618588308180441	NA	NA	NA	NA
_mincells20	AGTR1_z	69	17	TRUE	Meyer_2019	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	epithelial - endothelial	0.157643604501638	0.11222316116157	201.000000000001	-0.0636421215829844	0.37892933058626	1.4047332375059	0.161644106933397	NA	NA	NA	NA
_ageadj	AGTR1_z	47	13	TRUE	Kaminski_2020;Peer_Massague_2020;Regev_2021;Sheppard_2020;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + age + (1|study) + (1|donor_id))	EC_aerocyte - EC_gcap	0.0737941080489698	0.205418289439522	135	-0.332460056579268	0.480048272677208	0.359238256001036	0.719978127756917	NA	NA	NA	NA
_ageadj	AGTR1_z	47	13	TRUE	Kaminski_2020;Peer_Massague_2020;Regev_2021;Sheppard_2020;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + age + (1|study) + (1|donor_id))	epithelial - endothelial	0.25183121008635	0.145252665442427	135	-0.0354338646075525	0.539096284780253	1.73374587873685	0.0852461700992153	NA	NA	NA	NA
_disease_adj	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + disease_group + (1|study) + (1|donor_id))	EC_aerocyte - EC_gcap	0.0880616995011908	0.149313813304427	261.000000000001	-0.20595134250318	0.382074741505562	0.589775972847517	0.555851064781596	NA	NA	NA	NA
_disease_adj	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + disease_group + (1|study) + (1|donor_id))	epithelial - endothelial	0.121900567265534	0.105580809912382	261.000000000001	-0.0859980484930419	0.32979918302411	1.15457124610708	0.249322063470219	NA	NA	NA	NA
_healthy	AGTR1_z	42	13	TRUE	Budinger_2020;Kaminski_2020;Lafyatis_2019;Regev_2021;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	EC_aerocyte - EC_gcap	0.148466320802081	0.206273993574509	120	-0.259941830853866	0.556874472458028	0.719752976268687	0.473076595932556	NA	NA	NA	NA
_healthy	AGTR1_z	42	13	TRUE	Budinger_2020;Kaminski_2020;Lafyatis_2019;Regev_2021;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	epithelial - endothelial	0.241905601128252	0.145857739638966	120	-0.0468825723995323	0.530693774656035	1.6585037018058	0.0998275293377342	NA	NA	NA	NA
