gene	stat	value
ACTN1	slope_AT1	0.0462022364758531
ACTN1	slope_AT2	-0.0741270590573548
ACTN1	slope_EC_aerocyte	-0.0662810566376726
ACTN1	slope_EC_gcap	-0.0816671640681854
ACTN1	contrast_EC_aerocyte - EC_gcap	0.0153861074305128
ACTN1	contrast_epithelial - endothelial	0.0600116990621782
ACTN1	lrt_chisq	1.00868029634421
ADAMTS1	slope_AT1	0.0222031701793111
ADAMTS1	slope_AT2	0.149474557151814
ADAMTS1	slope_EC_aerocyte	0.000728248571636978
ADAMTS1	slope_EC_gcap	0.0149585508637709
ADAMTS1	contrast_EC_aerocyte - EC_gcap	-0.0142303022921339
ADAMTS1	contrast_epithelial - endothelial	0.0779954639478587
ADAMTS1	lrt_chisq	1.31537881848715
ADAMTSL3	slope_AT1	-0.0218937417304558
ADAMTSL3	slope_AT2	0.0187095092194881
ADAMTSL3	slope_EC_aerocyte	-0.0915797007877263
ADAMTSL3	slope_EC_gcap	-0.0887512207319474
ADAMTSL3	contrast_EC_aerocyte - EC_gcap	-0.00282848005577896
ADAMTSL3	contrast_epithelial - endothelial	0.088573344504353
ADAMTSL3	lrt_chisq	0.798196157441453
ADCY3	slope_AT1	-0.0236573126525321
ADCY3	slope_AT2	-0.0328455485395975
ADCY3	slope_EC_aerocyte	-0.220796745111614
ADCY3	slope_EC_gcap	-0.189616706455551
ADCY3	contrast_EC_aerocyte - EC_gcap	-0.0311800386560621
ADCY3	contrast_epithelial - endothelial	0.176955295187518
ADCY3	lrt_chisq	2.97005637413986
ADGRD1	slope_AT1	0.00136280658125775
ADGRD1	slope_AT2	0.0419226439432054
ADGRD1	slope_EC_aerocyte	-0.0326897550801341
ADGRD1	slope_EC_gcap	-0.105969392736245
ADGRD1	contrast_EC_aerocyte - EC_gcap	0.0732796376561109
ADGRD1	contrast_epithelial - endothelial	0.0909722991704211
ADGRD1	lrt_chisq	1.08325641741499
ADGRG6	slope_AT1	-0.0737559797894101
ADGRG6	slope_AT2	-0.0894899541968033
ADGRG6	slope_EC_aerocyte	-0.160218607100826
ADGRG6	slope_EC_gcap	-0.223752393618973
ADGRG6	contrast_EC_aerocyte - EC_gcap	0.0635337865181471
ADGRG6	contrast_epithelial - endothelial	0.110362533366793
ADGRG6	lrt_chisq	1.33857623064296
AHNAK	slope_AT1	0.0932992954536291
AHNAK	slope_AT2	-0.138010773156219
AHNAK	slope_EC_aerocyte	0.102208869697477
AHNAK	slope_EC_gcap	0.0113003039993642
AHNAK	contrast_EC_aerocyte - EC_gcap	0.0909085656981132
AHNAK	contrast_epithelial - endothelial	-0.0791103256997158
AHNAK	lrt_chisq	3.42494248748073
AKAP9	slope_AT1	-0.140502944425191
AKAP9	slope_AT2	-0.0807754769365368
AKAP9	slope_EC_aerocyte	0.0867805525983504
AKAP9	slope_EC_gcap	0.0305776182624056
AKAP9	contrast_EC_aerocyte - EC_gcap	0.0562029343359449
AKAP9	contrast_epithelial - endothelial	-0.169318296111242
AKAP9	lrt_chisq	2.95273759397446
ANKRD12	slope_AT1	0.109675692795369
ANKRD12	slope_AT2	-0.00240581593728825
ANKRD12	slope_EC_aerocyte	0.0791567749455326
ANKRD12	slope_EC_gcap	0.0361597183534798
ANKRD12	contrast_EC_aerocyte - EC_gcap	0.0429970565920528
ANKRD12	contrast_epithelial - endothelial	-0.0040233082204658
ANKRD12	lrt_chisq	0.665055338856519
ANKRD44	slope_AT1	-0.213908145881655
ANKRD44	slope_AT2	-0.081971616173098
ANKRD44	slope_EC_aerocyte	-0.148720792573114
ANKRD44	slope_EC_gcap	-0.195494404400985
ANKRD44	contrast_EC_aerocyte - EC_gcap	0.0467736118278708
ANKRD44	contrast_epithelial - endothelial	0.0241677174596726
ANKRD44	lrt_chisq	0.975835304232191
ANO6	slope_AT1	0.0162591349210998
ANO6	slope_AT2	-0.085410564486275
ANO6	slope_EC_aerocyte	-0.0252512202049912
ANO6	slope_EC_gcap	-0.0282588535983511
ANO6	contrast_EC_aerocyte - EC_gcap	0.00300763339335994
ANO6	contrast_epithelial - endothelial	-0.00782067788091648
ANO6	lrt_chisq	0.480932320014858
AOC3	slope_AT1	0.0626471417850656
AOC3	slope_AT2	0.167484673462613
AOC3	slope_EC_aerocyte	-0.102659396585441
AOC3	slope_EC_gcap	-0.134029498748647
AOC3	contrast_EC_aerocyte - EC_gcap	0.0313701021632064
AOC3	contrast_epithelial - endothelial	0.233410355290884
AOC3	lrt_chisq	5.59117429904006
AOPEP	slope_AT1	-0.0103158525068584
AOPEP	slope_AT2	-0.12822246769216
AOPEP	slope_EC_aerocyte	0.0321828851125176
AOPEP	slope_EC_gcap	0.0663045785075047
AOPEP	contrast_EC_aerocyte - EC_gcap	-0.034121693394987
AOPEP	contrast_epithelial - endothelial	-0.118512891909521
AOPEP	lrt_chisq	1.98537233957461
AP2M1	slope_AT1	0.052694347744719
AP2M1	slope_AT2	0.0257216235536128
AP2M1	slope_EC_aerocyte	0.214454409550319
AP2M1	slope_EC_gcap	0.113932495524696
AP2M1	contrast_EC_aerocyte - EC_gcap	0.100521914025623
AP2M1	contrast_epithelial - endothelial	-0.124985466888342
AP2M1	lrt_chisq	1.89418144020567
APLP2	slope_AT1	0.0519024179651293
APLP2	slope_AT2	0.0642563711634922
APLP2	slope_EC_aerocyte	0.178481025938948
APLP2	slope_EC_gcap	0.154239366174009
APLP2	contrast_EC_aerocyte - EC_gcap	0.0242416597649392
APLP2	contrast_epithelial - endothelial	-0.108280801492168
APLP2	lrt_chisq	1.12453320725331
ARHGAP29	slope_AT1	-0.144640137562353
ARHGAP29	slope_AT2	-0.180996221961917
ARHGAP29	slope_EC_aerocyte	-0.029324599142444
ARHGAP29	slope_EC_gcap	-0.092330113086761
ARHGAP29	contrast_EC_aerocyte - EC_gcap	0.0630055139443171
ARHGAP29	contrast_epithelial - endothelial	-0.101990823647532
ARHGAP29	lrt_chisq	1.21314907893816
ARHGAP6	slope_AT1	-0.074834063927812
