from	to	family	partial_rho	n_donors	dropped_dataset
AGT_source_index	Peri_AT1R_response	allowed	0.301481053708608	67	Banovich_Kropski_2020
processing_index	Peri_AT1R_response	allowed	0.329245691949184	67	Banovich_Kropski_2020
Peri_AGTR1	Peri_AT1R_response	allowed	-0.0114767656663116	67	Banovich_Kropski_2020
Peri_ACE2	Peri_AT1R_response	allowed	0.255973833132322	67	Banovich_Kropski_2020
Peri_AT1R_response	contractile	allowed	0.349218807848945	74	Banovich_Kropski_2020
Peri_AT1R_response	inflammatory	allowed	0.221206960385043	74	Banovich_Kropski_2020
Peri_AT1R_response	activated_migratory	allowed	0.546360607182525	74	Banovich_Kropski_2020
Peri_AT1R_response	BM_minus_FIB	allowed	-0.499977786005183	74	Banovich_Kropski_2020
BM_minus_FIB	EC_readout	allowed	0.170915845370547	71	Banovich_Kropski_2020
Peri_AT1R_response	EC_readout	allowed	0.436246736540548	71	Banovich_Kropski_2020
AGT_source_index	BM_minus_FIB	forbidden	-0.169712333957519	69	Banovich_Kropski_2020
processing_index	EC_readout	forbidden	0.221900257221701	70	Banovich_Kropski_2020
Mast_CMA1	BM_minus_FIB	forbidden	-0.153988246055349	56	Banovich_Kropski_2020
VSMC_AGT	Peri_AGTR1	forbidden	-0.0231012658227848	79	Banovich_Kropski_2020
AGT_source_index	Peri_AGTR1	forbidden	-0.180198144494354	83	Banovich_Kropski_2020
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.204086519275281	67	Banovich_Kropski_2020
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.0627766599597586	71	Banovich_Kropski_2020
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.303067765567766	64	Banovich_Kropski_2020
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.300163210445469	63	Banovich_Kropski_2020
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.304627766599598	71	Banovich_Kropski_2020
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.310296561980579	70	Banovich_Kropski_2020
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.203487592219987	71	Banovich_Kropski_2020
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.145317840054682	56	Banovich_Kropski_2020
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.255160628844839	56	Banovich_Kropski_2020
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	-0.0262569418733802	74	Banovich_Kropski_2020
AGT_source_index	Peri_AT1R_response	allowed	0.339627044478061	76	Budinger_2020
processing_index	Peri_AT1R_response	allowed	0.308514728817577	76	Budinger_2020
Peri_AGTR1	Peri_AT1R_response	allowed	0.0237420960504893	76	Budinger_2020
Peri_ACE2	Peri_AT1R_response	allowed	0.247958548780412	76	Budinger_2020
Peri_AT1R_response	contractile	allowed	0.251492994952592	86	Budinger_2020
Peri_AT1R_response	inflammatory	allowed	0.237567809802349	86	Budinger_2020
Peri_AT1R_response	activated_migratory	allowed	0.514637482900137	86	Budinger_2020
Peri_AT1R_response	BM_minus_FIB	allowed	-0.515184678522572	86	Budinger_2020
BM_minus_FIB	EC_readout	allowed	0.136561605812487	81	Budinger_2020
Peri_AT1R_response	EC_readout	allowed	0.349579140991058	81	Budinger_2020
AGT_source_index	BM_minus_FIB	forbidden	-0.144174721218629	79	Budinger_2020
processing_index	EC_readout	forbidden	0.0338471907082464	80	Budinger_2020
Mast_CMA1	BM_minus_FIB	forbidden	-0.119948490766446	63	Budinger_2020
VSMC_AGT	Peri_AGTR1	forbidden	0.0198279980888677	91	Budinger_2020
AGT_source_index	Peri_AGTR1	forbidden	-0.15790918614312	94	Budinger_2020
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.162025316455696	79	Budinger_2020
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.0998870822041554	81	Budinger_2020
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.297544119461928	73	Budinger_2020
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.262465753424658	74	Budinger_2020
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.30273261065944	81	Budinger_2020
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.354055321143929	80	Budinger_2020
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.199760715335208	83	Budinger_2020
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.239055299539171	63	Budinger_2020
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.332565284178187	63	Budinger_2020
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.0245011557148922	86	Budinger_2020
AGT_source_index	Peri_AT1R_response	allowed	0.278083452312574	78	Duong_lungMAP_unpubl
processing_index	Peri_AT1R_response	allowed	0.294452289819609	78	Duong_lungMAP_unpubl
Peri_AGTR1	Peri_AT1R_response	allowed	0.0197966339219917	78	Duong_lungMAP_unpubl
Peri_ACE2	Peri_AT1R_response	allowed	0.303357501843149	78	Duong_lungMAP_unpubl
Peri_AT1R_response	contractile	allowed	0.236853228135677	88	Duong_lungMAP_unpubl
Peri_AT1R_response	inflammatory	allowed	0.22399704131591	88	Duong_lungMAP_unpubl
Peri_AT1R_response	activated_migratory	allowed	0.517822549399457	88	Duong_lungMAP_unpubl
Peri_AT1R_response	BM_minus_FIB	allowed	-0.514265084005495	88	Duong_lungMAP_unpubl
BM_minus_FIB	EC_readout	allowed	0.139075115988318	83	Duong_lungMAP_unpubl
Peri_AT1R_response	EC_readout	allowed	0.330611271824247	83	Duong_lungMAP_unpubl
AGT_source_index	BM_minus_FIB	forbidden	-0.0823806752546976	81	Duong_lungMAP_unpubl
processing_index	EC_readout	forbidden	0.0638787901697752	82	Duong_lungMAP_unpubl
Mast_CMA1	BM_minus_FIB	forbidden	-0.114632107314544	65	Duong_lungMAP_unpubl
VSMC_AGT	Peri_AGTR1	forbidden	0.0278117633016025	93	Duong_lungMAP_unpubl
AGT_source_index	Peri_AGTR1	forbidden	-0.145604991861096	96	Duong_lungMAP_unpubl
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.127619692863595	81	Duong_lungMAP_unpubl
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.0559963430959611	82	Duong_lungMAP_unpubl
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.226941678520626	75	Duong_lungMAP_unpubl
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.245604551920341	75	Duong_lungMAP_unpubl
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.285105579110869	83	Duong_lungMAP_unpubl
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.331570183171711	82	Duong_lungMAP_unpubl
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.169650185655658	85	Duong_lungMAP_unpubl
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.173295454545455	65	Duong_lungMAP_unpubl
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.314816433566434	65	Duong_lungMAP_unpubl
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.0369483286957134	88	Duong_lungMAP_unpubl
AGT_source_index	Peri_AT1R_response	allowed	0.286830136109818	79	Eils_2020
processing_index	Peri_AT1R_response	allowed	0.302213137598351	79	Eils_2020
Peri_AGTR1	Peri_AT1R_response	allowed	0.0170251889664171	79	Eils_2020
Peri_ACE2	Peri_AT1R_response	allowed	0.298612422949791	79	Eils_2020
Peri_AT1R_response	contractile	allowed	0.251455257323459	86	Eils_2020
Peri_AT1R_response	inflammatory	allowed	0.248889098542384	86	Eils_2020
Peri_AT1R_response	activated_migratory	allowed	0.521939714137459	86	Eils_2020
Peri_AT1R_response	BM_minus_FIB	allowed	-0.546167272041134	86	Eils_2020
BM_minus_FIB	EC_readout	allowed	0.127610578911224	81	Eils_2020
