disease_group	emmean	SE	df	lower.CL	upper.CL	model	response	n
Healthy	0.555185459044704	0.0329628117927252	31	0.487957361162407	0.622413556927002	base	injury_frac	36
Fibrotic_ILD	0.809295856210146	0.084963133922115	31	0.636012402128014	0.982579310292279	base	injury_frac	36
Other	0.822782925381771	0.0965392012398257	31	0.625889926348777	1.01967592441476	base	injury_frac	36
Healthy	0.553217971139608	0.0457882359110748	28	0.459425021689157	0.647010920590059	smoking	injury_frac	36
Fibrotic_ILD	0.806466251511102	0.111157123464962	28	0.578771205944058	1.03416129707815	smoking	injury_frac	36
Other	0.819859008015133	0.118346205360299	28	0.57743779575073	1.06228022027954	smoking	injury_frac	36
Healthy	0.466094768618203	0.0726379112480842	4	0.264419595481668	0.667769941754738	comorbid	injury_frac	12
Other	1.24592375573081	0.26665487027853	4	0.505571146368832	1.98627636509279	comorbid	injury_frac	12
Healthy	0.27901075733	0.13117854476166	31	0.0114703514098816	0.546551163250119	base	niche_index	36
Fibrotic_ILD	-0.383369102200792	0.338118614891731	31	-1.07296656374941	0.306228359347822	base	niche_index	36
Other	-0.790030921932058	0.384186640712739	31	-1.57358474159156	-0.00647710227256049	base	niche_index	36
Healthy	0.0894758601840846	0.171168536310251	28	-0.261146992044472	0.440098712412641	smoking	niche_index	36
Fibrotic_ILD	-0.828420874587144	0.415534727323999	28	-1.67960517770156	0.0227634285272748	smoking	niche_index	36
Other	-1.20029282767821	0.442409416880269	28	-2.10652743681322	-0.294058218543194	smoking	niche_index	36
Healthy	0.201820847158733	0.262883434841757	4	-0.528060578745247	0.931702273062713	comorbid	niche_index	12
Other	-0.403387903833868	0.965049063383579	4	-3.08279365214092	2.27601784447319	comorbid	niche_index	12
Healthy	-0.190047537168115	0.0869411204692951	31	-0.367365121410013	-0.0127299529262179	base	injury_stromal_score	36
Fibrotic_ILD	0.566057670844608	0.22409465879976	31	0.109013600956883	1.02310174073233	base	injury_stromal_score	36
Other	0.620963154671433	0.25462713489914	31	0.101647689227245	1.14027862011562	base	injury_stromal_score	36
Healthy	-0.0168413534833311	0.10456906074016	28	-0.231041364314295	0.197358657347633	smoking	injury_stromal_score	36
Fibrotic_ILD	1.01352370215206	0.253855510351681	28	0.493524261763595	1.53352314254052	smoking	injury_stromal_score	36
Other	1.03546536061034	0.270273603917012	28	0.481834980107997	1.58909574111269	smoking	injury_stromal_score	36
Healthy	0.0536542908223652	0.240789346279295	4	-0.614884111038559	0.72219269268329	comorbid	injury_stromal_score	12
Other	1.23264874509797	0.883941330268507	4	-1.22156583460805	3.68686332480399	comorbid	injury_stromal_score	12
Healthy	0.353598818599765	0.042312781249674	31	0.267301332286625	0.439896304912905	base	AGTR1_pos_frac	36
Fibrotic_ILD	0.414592813085771	0.109063101853666	31	0.192157150349519	0.637028475822023	base	AGTR1_pos_frac	36
Other	0.2400297012797	0.123922744508723	31	-0.0127124024601868	0.492771805019586	base	AGTR1_pos_frac	36
Healthy	0.418532894725869	0.0528994431579474	28	0.310173297564138	0.526892491887601	smoking	AGTR1_pos_frac	36
Fibrotic_ILD	0.609042025784601	0.128420538973275	28	0.345984476598549	0.872099574970653	smoking	AGTR1_pos_frac	36
Other	0.420876138099361	0.136726131480023	28	0.140805353905646	0.700946922293076	smoking	AGTR1_pos_frac	36
Healthy	0.453062413753199	0.0711552996774129	4	0.255503630254964	0.650621197251434	comorbid	AGTR1_pos_frac	12
Other	0.175989126469136	0.261212180789558	4	-0.549252154302073	0.901230407240345	comorbid	AGTR1_pos_frac	12
