smoking	emmean	SE	df	lower.CL	upper.CL	response	n
never	0.514735639623666	0.0715206232529164	9	0.35294474944429	0.676526529803043	injury_frac	14
former	0.538425345896815	0.14849649179332	9	0.202502943336151	0.87434774845748	injury_frac	14
active	0.490974180054354	0.109701684735553	9	0.242811728158792	0.739136631949916	injury_frac	14
never	0.221492614978823	0.279244917862492	9	-0.41020327613881	0.853188506096457	niche_index	14
former	-0.334708095610721	0.579789279898412	9	-1.64628256804653	0.976866376825085	niche_index	14
active	0.126960007596874	0.428318945642122	9	-0.841964763249627	1.09588477844337	niche_index	14
never	-0.0173552098958969	0.147854327875241	9	-0.351824936749588	0.317114516957794	injury_stromal_score	14
former	0.296029893978806	0.306986264762973	9	-0.398421283735419	0.990481071693032	injury_stromal_score	14
active	0.0357003786329877	0.226785899306259	9	-0.477324967904299	0.548725725170275	injury_stromal_score	14
never	0.476242091054341	0.0501233535372285	9	0.362855187826633	0.589628994282049	AGTR1_pos_frac	14
former	0.553234650058768	0.10406987269775	9	0.317812242104056	0.788657058013481	AGTR1_pos_frac	14
active	0.386708950688146	0.0768815493705236	9	0.212790803092592	0.5606270982837	AGTR1_pos_frac	14
