check	expected	observed	passed	threshold_dependent
S10A TGFB2 corrected AUPR	0.20817	0.208170306721241	TRUE	FALSE
S10A TGFB1 corrected AUPR	0.203057	0.2030569287902	TRUE	FALSE
S10A AGT rank	11	11	TRUE	FALSE
S11A MMP14 permutation z	27.1049	27.1049203857773	TRUE	FALSE
S11A MMP14 BH	0.0321	0.0320967903209679	TRUE	FALSE
S11A n FDR-significant	1	1	TRUE	FALSE
S11A TGFB2 BM rank	5	5	TRUE	FALSE
S11A TGFB1 BM rank	12	12	TRUE	FALSE
S05A dropout obs/exp ratio	0.99112	0.99111776984036	TRUE	FALSE
S08C BM genes	13	13	TRUE	FALSE
S08C cell types	22	22	TRUE	FALSE
S08C donor profiles	2329	2329	TRUE	FALSE
S12A cell types	22	22	TRUE	FALSE
S12A donor profiles	4376	4376	TRUE	FALSE
S12A max REN detection	0.0229	0.0229086378137198	TRUE	FALSE
S12B AGTR1 detection in pericytes	0.3418	0.341761789254222	TRUE	FALSE
S12B complete autonomous circuits	0	0	TRUE	FALSE
S12B max core roles	1	1	TRUE	FALSE
S09B BM-score contrasts at BH<0.05	12	12	TRUE	FALSE
S02C1 detection-vs-depth rho (pooled)	0.432	0.432013824663587	TRUE	FALSE
S13E (>=20) F statistic	5.96555	5.96554612193524	TRUE	TRUE
S13E (>=20) Healthy marginal mean	-0.164118	-0.164118207525003	TRUE	TRUE
S13E (>=20) Fibrotic_ILD marginal mean	0.564861	0.564860937785571	TRUE	TRUE
S13D (>=20) Healthy injury fraction	0.019157	0.0191566852383711	TRUE	TRUE
S14B (>=20) niche index F	3.41048	3.41047562743294	TRUE	TRUE
