gene	value_type	tau	n_groups	top_group	pericyte_rank	log2_pericyte_over_next	panel	block	with_depth	contrast	estimate	SE	df	t.ratio	p.value	sd_study	sd_residual	study_dominated	n_units	n_donors	p_BH_across_genes	p_formatted
COL4A1	expr	0.871907614147395	22	Pericytes	1	1.0927463058967	basement_membrane	tau specificity														
COL4A2	expr	0.842327106808363	22	Pericytes	1	0.992146146568368	basement_membrane	tau specificity														
COL18A1	expr	0.838430320575686	22	Pericytes	1	0.84663005732005	basement_membrane	tau specificity														
LAMA3	expr	0.964501832677547	22	AT1	17	-6.22356933063727	basement_membrane	tau specificity														
LAMA4	expr	0.801640943938291	22	Alveolar fibroblasts	3	-0.93144737090471	basement_membrane	tau specificity														
LAMA5	expr	0.813813855787661	22	AT1	9	-2.77815053729361	basement_membrane	tau specificity														
LAMB1	expr	0.877866743771421	22	Pericytes	1	0.543324835207079	basement_membrane	tau specificity														
LAMB2	expr	0.551052826267748	22	AT1	13	-1.21348855940533	basement_membrane	tau specificity														
LAMC1	expr	0.767572909753676	22	Alveolar fibroblasts	8	-1.50360061746834	basement_membrane	tau specificity														
NID1	expr	0.891545523326121	22	Pericytes	1	1.21656362830684	basement_membrane	tau specificity														
NID2	expr	0.80303168886484	22	Pericytes	1	0.336871944631996	basement_membrane	tau specificity														
HSPG2	expr	0.794079821369469	22	EC venous pulmonary	10	-2.13887912415746	basement_membrane	tau specificity														
AGRN	expr	0.880629030937119	22	AT1	5	-2.31473464100176	basement_membrane	tau specificity														
COL1A1	expr	0.88775110076909	22	Subpleural fibroblasts	7	-5.07666351890123	fibrillar_ecm	tau specificity														
COL1A2	expr	0.828195295903095	22	Peribronchial fibroblasts	6	-1.3013681574066	fibrillar_ecm	tau specificity														
COL3A1	expr	0.845181248282147	22	Peribronchial fibroblasts	7	-3.06520244983109	fibrillar_ecm	tau specificity														
COL5A1	expr	0.838463466775104	22	Peribronchial fibroblasts	6	-1.91656329398193	fibrillar_ecm	tau specificity														
FN1	expr	0.81763251721122	22	Alveolar fibroblasts	11	-3.16779373531316	fibrillar_ecm	tau specificity														
POSTN	expr	0.929569107301481	22	EC venous systemic	9	-4.71210290381393	fibrillar_ecm	tau specificity														
LUM	expr	0.892056903185321	22	Peribronchial fibroblasts	6	-3.38738898305344	fibrillar_ecm	tau specificity														
DCN	expr	0.818775426492497	22	Adventitial fibroblasts	6	-1.531237521121	fibrillar_ecm	tau specificity														
FBN1	expr	0.871501748935507	22	Adventitial fibroblasts	7	-2.60713512313057	fibrillar_ecm	tau specificity														
BGN	expr	0.847499585806232	22	Pericytes	1	0.222343240887729	fibrillar_ecm	tau specificity														
COL4A1	expr							pericyte vs cell-type contrast	TRUE	Pericytes - AT1	1.77271519046227	0.0765910226990879	2138.00014062495	-23.1452085112761	1.05408546065557e-105	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	4.07298621997313e-105	<2.2e-16
COL4A1	expr							pericyte vs cell-type contrast	TRUE	Pericytes - AT2_AGTR2det	3.16425322189101	0.0878467448411574	2144.56054806365	-36.0201533660985	3.08983074886368e-222	1.48276683403228e-17	0.444391140365413	FALSE	2329	220	2.61822500298449e-221	<2.2e-16
