target	ligand	regulatory_potential	ligand_rank	aupr_corrected	perm_z	perm_p_BH	target_class	shown_in_figure_heatmap	rank_target_within_ligand	rank_ligand_within_target
LAMA4	MMP14	0.0400852159744948	1	0.163854644827056	27.1049203857773	0.0320967903209679	laminin	TRUE	1	7
COL4A1	MMP14	0.0396258869446207	1	0.163854644827056	27.1049203857773	0.0320967903209679	collagen-associated	TRUE	2	12
COL18A1	MMP14	0.00589179122397815	1	0.163854644827056	27.1049203857773	0.0320967903209679	collagen-associated	FALSE	3	156
LAMC1	MMP14	0.00558288327313999	1	0.163854644827056	27.1049203857773	0.0320967903209679	laminin	FALSE	4	181
NID2	MMP14	0.00519947321670959	1	0.163854644827056	27.1049203857773	0.0320967903209679	linker/proteoglycan	FALSE	5	154
NID1	MMP14	0.00436210021767564	1	0.163854644827056	27.1049203857773	0.0320967903209679	linker/proteoglycan	FALSE	6	194
COL4A2	MMP14	0.00435514371570911	1	0.163854644827056	27.1049203857773	0.0320967903209679	collagen-associated	FALSE	7	188
HSPG2	MMP14	0.00353438706772116	1	0.163854644827056	27.1049203857773	0.0320967903209679	linker/proteoglycan	FALSE	8	200
LAMB1	MMP14	0.00352233498574954	1	0.163854644827056	27.1049203857773	0.0320967903209679	laminin	FALSE	9	194
LAMB2	MMP14	0.0034170513028413	1	0.163854644827056	27.1049203857773	0.0320967903209679	laminin	FALSE	10	152
LAMA4	TIMP2	0.0411874842853892	2	0.0852860534921667	14.4142039880463	0.188833400923867	laminin	TRUE	1	6
COL4A1	TIMP2	0.0403883068362568	2	0.0852860534921667	14.4142039880463	0.188833400923867	collagen-associated	TRUE	2	11
COL18A1	TIMP2	0.00555256906610737	2	0.0852860534921667	14.4142039880463	0.188833400923867	collagen-associated	FALSE	3	179
LAMC1	TIMP2	0.00493954365181264	2	0.0852860534921667	14.4142039880463	0.188833400923867	laminin	FALSE	4	236
NID2	TIMP2	0.0046756261841628	2	0.0852860534921667	14.4142039880463	0.188833400923867	linker/proteoglycan	FALSE	5	221
NID1	TIMP2	0.00445943940281511	2	0.0852860534921667	14.4142039880463	0.188833400923867	linker/proteoglycan	FALSE	6	184
COL4A2	TIMP2	0.00394282957796504	2	0.0852860534921667	14.4142039880463	0.188833400923867	collagen-associated	FALSE	7	241
HSPG2	TIMP2	0.00336722229777977	2	0.0852860534921667	14.4142039880463	0.188833400923867	linker/proteoglycan	FALSE	8	220
LAMB1	TIMP2	0.00320338609776877	2	0.0852860534921667	14.4142039880463	0.188833400923867	laminin	FALSE	9	233
LAMB2	TIMP2	0.00294920117135829	2	0.0852860534921667	14.4142039880463	0.188833400923867	laminin	FALSE	10	216
LAMB1	MXRA5	0.022315398821589	3	0.028452755068588	5.22453929571374	0.188833400923867	laminin	TRUE	1	7
LAMC1	MXRA5	0.00515532925047637	3	0.028452755068588	5.22453929571374	0.188833400923867	laminin	FALSE	2	214
COL18A1	MXRA5	0.00482236455504204	3	0.028452755068588	5.22453929571374	0.188833400923867	collagen-associated	FALSE	3	241
NID2	MXRA5	0.00383380119504233	3	0.028452755068588	5.22453929571374	0.188833400923867	linker/proteoglycan	FALSE	4	289
COL4A2	MXRA5	0.00377608470914689	3	0.028452755068588	5.22453929571374	0.188833400923867	collagen-associated	FALSE	5	263
NID1	MXRA5	0.00358491684015399	3	0.028452755068588	5.22453929571374	0.188833400923867	linker/proteoglycan	FALSE	6	278
HSPG2	MXRA5	0.00318405234018332	3	0.028452755068588	5.22453929571374	0.188833400923867	linker/proteoglycan	FALSE	7	237
COL4A1	MXRA5	0.00316663974050353	3	0.028452755068588	5.22453929571374	0.188833400923867	collagen-associated	FALSE	8	302
LAMA4	MXRA5	0.0029131045555715	3	0.028452755068588	5.22453929571374	0.188833400923867	laminin	FALSE	9	313
LAMB2	MXRA5	0.00232318794468514	3	0.028452755068588	5.22453929571374	0.188833400923867	laminin	FALSE	10	303
COL4A1	COL5A1	0.0235806801737352	4	0.0196688467407895	3.19271941321174	0.188833400923867	collagen-associated	TRUE	1	17
COL18A1	COL5A1	0.00578497874231496	4	0.0196688467407895	3.19271941321174	0.188833400923867	collagen-associated	FALSE	2	165
LAMC1	COL5A1	0.00525114724253418	4	0.0196688467407895	3.19271941321174	0.188833400923867	laminin	FALSE	3	210
NID2	COL5A1	0.00489111683707144	4	0.0196688467407895	3.19271941321174	0.188833400923867	linker/proteoglycan	FALSE	4	197
COL4A2	COL5A1	0.00392100569083845	4	0.0196688467407895	3.19271941321174	0.188833400923867	collagen-associated	FALSE	5	244
NID1	COL5A1	0.0038283843598613	4	0.0196688467407895	3.19271941321174	0.188833400923867	linker/proteoglycan	FALSE	6	248
LAMA4	COL5A1	0.00357479954898813	4	0.0196688467407895	3.19271941321174	0.188833400923867	laminin	FALSE	7	243
HSPG2	COL5A1	0.00331925570554489	4	0.0196688467407895	3.19271941321174	0.188833400923867	linker/proteoglycan	FALSE	8	223
LAMB1	COL5A1	0.00328227005407774	4	0.0196688467407895	3.19271941321174	0.188833400923867	laminin	FALSE	9	223
LAMB2	COL5A1	0.00277328812850232	4	0.0196688467407895	3.19271941321174	0.188833400923867	laminin	FALSE	10	243
COL4A1	TGFB2	0.148611897364447	5	0.0182025949057127	3.20070740531521	0.188833400923867	collagen-associated	TRUE	1	2
COL4A2	TGFB2	0.147819497190179	5	0.0182025949057127	3.20070740531521	0.188833400923867	collagen-associated	TRUE	2	2
LAMA4	TGFB2	0.072042274715262	5	0.0182025949057127	3.20070740531521	0.188833400923867	laminin	FALSE	3	2
COL18A1	TGFB2	0.0162701426010301	5	0.0182025949057127	3.20070740531521	0.188833400923867	collagen-associated	FALSE	4	4
LAMC1	TGFB2	0.0136266233954571	5	0.0182025949057127	3.20070740531521	0.188833400923867	laminin	FALSE	5	4
NID2	TGFB2	0.00954969538872615	5	0.0182025949057127	3.20070740531521	0.188833400923867	linker/proteoglycan	FALSE	6	25
HSPG2	TGFB2	0.00696141184061319	5	0.0182025949057127	3.20070740531521	0.188833400923867	linker/proteoglycan	FALSE	7	23
NID1	TGFB2	0.00657557014612277	5	0.0182025949057127	3.20070740531521	0.188833400923867	linker/proteoglycan	FALSE	8	55
LAMB1	TGFB2	0.00585364476360416	5	0.0182025949057127	3.20070740531521	0.188833400923867	laminin	FALSE	9	40
LAMB2	TGFB2	0.00434397787707162	5	0.0182025949057127	3.20070740531521	0.188833400923867	laminin	FALSE	10	65
COL4A1	COL1A1	0.0249075121236797	6	0.0168459336175333	2.96564585463824	0.188833400923867	collagen-associated	TRUE	1	13
LAMC1	COL1A1	0.00758913174038145	6	0.0168459336175333	2.96564585463824	0.188833400923867	laminin	FALSE	2	71
COL18A1	COL1A1	0.00755960386881988	6	0.0168459336175333	2.96564585463824	0.188833400923867	collagen-associated	FALSE	3	75
NID2	COL1A1	0.00694301749042765	6	0.0168459336175333	2.96564585463824	0.188833400923867	linker/proteoglycan	FALSE	4	68
NID1	COL1A1	0.00619169379256949	6	0.0168459336175333	2.96564585463824	0.188833400923867	linker/proteoglycan	FALSE	5	65
COL4A2	COL1A1	0.00585375203360022	6	0.0168459336175333	2.96564585463824	0.188833400923867	collagen-associated	FALSE	6	71
LAMB1	COL1A1	0.00531017075147375	6	0.0168459336175333	2.96564585463824	0.188833400923867	laminin	FALSE	7	59
LAMA4	COL1A1	0.0050698481226253	6	0.0168459336175333	2.96564585463824	0.188833400923867	laminin	FALSE	8	104
HSPG2	COL1A1	0.00476226125117018	6	0.0168459336175333	2.96564585463824	0.188833400923867	linker/proteoglycan	FALSE	9	94
LAMB2	COL1A1	0.00441161477345529	6	0.0168459336175333	2.96564585463824	0.188833400923867	laminin	FALSE	10	62
COL4A1	COPA	0.023283802358222	7	0.0162296628148948	2.63470107487655	0.188833400923867	collagen-associated	TRUE	1	18
LAMC1	COPA	0.00450299351347484	7	0.0162296628148948	2.63470107487655	0.188833400923867	laminin	FALSE	2	276
COL18A1	COPA	0.00439016850079995	7	0.0162296628148948	2.63470107487655	0.188833400923867	collagen-associated	FALSE	3	288
COL4A2	COPA	0.00418069948790968	7	0.0162296628148948	2.63470107487655	0.188833400923867	collagen-associated	FALSE	4	205
NID2	COPA	0.00392401791408758	7	0.0162296628148948	2.63470107487655	0.188833400923867	linker/proteoglycan	FALSE	5	280
NID1	COPA	0.00386873652904577	7	0.0162296628148948	2.63470107487655	0.188833400923867	linker/proteoglycan	FALSE	6	242
LAMA4	COPA	0.00351649526994139	7	0.0162296628148948	2.63470107487655	0.188833400923867	laminin	FALSE	7	249
LAMB1	COPA	0.00318261986594802	7	0.0162296628148948	2.63470107487655	0.188833400923867	laminin	FALSE	8	238
HSPG2	COPA	0.00309080895261078	7	0.0162296628148948	2.63470107487655	0.188833400923867	linker/proteoglycan	FALSE	9	254
LAMB2	COPA	0.00260970150317513	7	0.0162296628148948	2.63470107487655	0.188833400923867	laminin	FALSE	10	268
NID1	FGF7	0.111457551292861	8	0.0118127246251813	1.96607143303026	0.188833400923867	linker/proteoglycan	TRUE	1	1
NID2	FGF7	0.0550628335272534	8	0.0118127246251813	1.96607143303026	0.188833400923867	linker/proteoglycan	FALSE	2	7
HSPG2	FGF7	0.0510974022118012	8	0.0118127246251813	1.96607143303026	0.188833400923867	linker/proteoglycan	FALSE	3	5
LAMC1	FGF7	0.00672079760467079	8	0.0118127246251813	1.96607143303026	0.188833400923867	laminin	FALSE	4	101
COL18A1	FGF7	0.0058962565588438	8	0.0118127246251813	1.96607143303026	0.188833400923867	collagen-associated	FALSE	5	154
COL4A2	FGF7	0.00548888212254983	8	0.0118127246251813	1.96607143303026	0.188833400923867	collagen-associated	FALSE	6	93
LAMA4	FGF7	0.00497399015510836	8	0.0118127246251813	1.96607143303026	0.188833400923867	laminin	FALSE	7	108
COL4A1	FGF7	0.00471982936607394	8	0.0118127246251813	1.96607143303026	0.188833400923867	collagen-associated	FALSE	8	145
LAMB1	FGF7	0.00445585143594028	8	0.0118127246251813	1.96607143303026	0.188833400923867	laminin	FALSE	9	106
LAMB2	FGF7	0.00420185268274363	8	0.0118127246251813	1.96607143303026	0.188833400923867	laminin	FALSE	10	72
COL4A1	CALM3	0.0241474729954842	9	0.0116358891768725	1.71545670074215	0.188833400923867	collagen-associated	TRUE	1	14
COL18A1	CALM3	0.00720597441583341	9	0.0116358891768725	1.71545670074215	0.188833400923867	collagen-associated	FALSE	2	87
LAMC1	CALM3	0.00698306859822046	9	0.0116358891768725	1.71545670074215	0.188833400923867	laminin	FALSE	3	86
NID2	CALM3	0.00609643574380623	9	0.0116358891768725	1.71545670074215	0.188833400923867	linker/proteoglycan	FALSE	4	99
LAMA4	CALM3	0.00565113097644359	9	0.0116358891768725	1.71545670074215	0.188833400923867	laminin	FALSE	5	68
COL4A2	CALM3	0.00535499093019761	9	0.0116358891768725	1.71545670074215	0.188833400923867	collagen-associated	FALSE	6	101
NID1	CALM3	0.00522297885282948	9	0.0116358891768725	1.71545670074215	0.188833400923867	linker/proteoglycan	FALSE	7	123
HSPG2	CALM3	0.0048303956832679	9	0.0116358891768725	1.71545670074215	0.188833400923867	linker/proteoglycan	FALSE	8	85
LAMB1	CALM3	0.00423554324852912	9	0.0116358891768725	1.71545670074215	0.188833400923867	laminin	FALSE	9	118
LAMB2	CALM3	0.00371358024523148	9	0.0116358891768725	1.71545670074215	0.188833400923867	laminin	FALSE	10	121
COL4A1	RELN	0.0235826207906477	10	0.0110468961730967	1.94000446266128	0.188833400923867	collagen-associated	TRUE	1	16
NID2	RELN	0.00590782448335514	10	0.0110468961730967	1.94000446266128	0.188833400923867	linker/proteoglycan	FALSE	2	115
LAMC1	RELN	0.00564745718575873	10	0.0110468961730967	1.94000446266128	0.188833400923867	laminin	FALSE	3	172
COL18A1	RELN	0.00537027886384156	10	0.0110468961730967	1.94000446266128	0.188833400923867	collagen-associated	FALSE	4	192
NID1	RELN	0.00455408902128627	10	0.0110468961730967	1.94000446266128	0.188833400923867	linker/proteoglycan	FALSE	5	174
COL4A2	RELN	0.00452142493561864	10	0.0110468961730967	1.94000446266128	0.188833400923867	collagen-associated	FALSE	6	171
LAMA4	RELN	0.00403850790370948	10	0.0110468961730967	1.94000446266128	0.188833400923867	laminin	FALSE	7	185
LAMB1	RELN	0.0034772169726682	10	0.0110468961730967	1.94000446266128	0.188833400923867	laminin	FALSE	8	198
HSPG2	RELN	0.00346316716911341	10	0.0110468961730967	1.94000446266128	0.188833400923867	linker/proteoglycan	FALSE	9	211
LAMB2	RELN	0.00311564487627594	10	0.0110468961730967	1.94000446266128	0.188833400923867	laminin	FALSE	10	195
LAMB1	POSTN	0.121100021003492	11	0.010832476418805	1.64840652194974	0.188833400923867	laminin	TRUE	1	1
