term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	n_donors	min_cells	arm	n_studies	study_sd	singular	p_excl_small_groups	small_groups	estimable	n_donors_group	model	block	analysis_role	response	disease_group	emmean	SE	df	lower.CL	upper.CL	contrast	estimate	t.ratio	p.value	Estimate	Std. Error	t value	Pr(>|t|)
disease_group	3.11757311226087	1.03919103742029	3	43.2430267497278	4.77102071902926	0.0058460899427821	89	10	primary	18	0.501673511689091	FALSE	0.00518648864988624	COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	anova	PRIMARY (>=10 pericytes/donor)	injury_stromal_score														
sex	0.257255978777576	0.128627989388788	2	66.3640724468672	0.590542816789889	0.556911253737289	89	10	primary	18	0.501673511689091	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	anova	PRIMARY (>=10 pericytes/donor)	injury_stromal_score														
							89	10	primary	18	0.501673511689091	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	emmeans	PRIMARY (>=10 pericytes/donor)	injury_stromal_score	Healthy	-0.192861410072113	0.16991202625674	21.9012149619628	-0.545329559495791	0.159606739351564								
							89	10	primary	18	0.501673511689091	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	emmeans	PRIMARY (>=10 pericytes/donor)	injury_stromal_score	COPD	1.265903478397	0.538248646196552	80.9340374044563	0.194944276650158	2.33686268014384								
							89	10	primary	18	0.501673511689091	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	emmeans	PRIMARY (>=10 pericytes/donor)	injury_stromal_score	Fibrotic_ILD	0.555996289915444	0.211083461190819	31.845563202995	0.125951558157678	0.986041021673211								
							89	10	primary	18	0.501673511689091	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	emmeans	PRIMARY (>=10 pericytes/donor)	injury_stromal_score	Other	0.229380785370246	0.284914732008134	18.6098850996137	-0.367799821143978	0.82656139188447								
							89	10	primary	18	0.501673511689091	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	posthoc	PRIMARY (>=10 pericytes/donor)	injury_stromal_score			0.548146813287494	76.0448145328595			Healthy - COPD	-1.45876488846911	-2.66126675027118	0.0284790793032526				
							89	10	primary	18	0.501673511689091	FALSE	0.00363046228656452	COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	posthoc	PRIMARY (>=10 pericytes/donor)	injury_stromal_score			0.222680494783248	76.0143311504621			Healthy - Fibrotic_ILD	-0.748857699987558	-3.36292453776196	0.00726092486504644				
							89	10	primary	18	0.501673511689091	FALSE	0.316267929105838	COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	posthoc	PRIMARY (>=10 pericytes/donor)	injury_stromal_score			0.32872060310917	24.7802880550803			Healthy - Other	-0.422242195442359	-1.28450176669374	0.25301434597839				
							89	10	primary	18	0.501673511689091	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	posthoc	PRIMARY (>=10 pericytes/donor)	injury_stromal_score			0.501662782834889	69.4333280287832			COPD - Fibrotic_ILD	0.709907188481555	1.41510834124445	0.242259346125579				
							89	10	primary	18	0.501673511689091	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	posthoc	PRIMARY (>=10 pericytes/donor)	injury_stromal_score			0.60485252159746	78.8226808186755			COPD - Other	1.03652269302675	1.71367838607868	0.181036379583126				
							89	10	primary	18	0.501673511689091	FALSE	0.355907756480688	COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	posthoc	PRIMARY (>=10 pericytes/donor)	injury_stromal_score			0.346905093711557	23.783842449983			Fibrotic_ILD - Other	0.326615504545199	0.94151256486528	0.355907766293548				
(Intercept)							89	10	primary	18	0.501673511689091	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	PRIMARY (>=10 pericytes/donor)	injury_stromal_score											-0.194582837708397			
disease_groupCOPD							89	10	primary	18	0.501673511689091	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	PRIMARY (>=10 pericytes/donor)	injury_stromal_score											1.29485578991777			
disease_groupFibrotic_ILD							89	10	primary	18	0.501673511689091	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	PRIMARY (>=10 pericytes/donor)	injury_stromal_score											0.900858568730981			
disease_groupOther							89	10	primary	18	0.501673511689091	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	PRIMARY (>=10 pericytes/donor)	injury_stromal_score											0.179524698197276			
sexmale							89	10	primary	18	0.501673511689091	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	PRIMARY (>=10 pericytes/donor)	injury_stromal_score											0.143291107797008			
sexunknown							89	10	primary	18	0.501673511689091	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	PRIMARY (>=10 pericytes/donor)	injury_stromal_score											-0.371906518243639			
disease_group	3.2604245518778	1.6302122759389	2	28.5396610986499	6.86872874862773	0.00367079122213397	69	20	primary	17	0.406028066726203	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	anova	sensitivity (>=20 pericytes/donor)	injury_stromal_score														
sex	0.935439756570299	0.467719878285149	2	50.8052858616026	1.97068873894449	0.149870390679069	69	20	primary	17	0.406028066726203	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	anova	sensitivity (>=20 pericytes/donor)	injury_stromal_score														
