gene	direction	log2FoldChange	padj	mouse_gene	baseMean	cell_type	source_id	contrast	support_n	frozen_on	source_table	present_in_object	pericyte_detect	pruned_reason	kept	in_legacy_AT1R_PROGRAM
ABCC9	down	-0.527110924951126	0.0294951162825005	Abcc9	133.851960518833	pericyte	E-MTAB-8810 (McLellan 2020, doi:10.1161/CIRCULATIONAHA.119.045115)	AngII (n=4) vs saline+untreated (n=4), pseudobulk DESeq2	12	2026-09-22	angii_response_signature.tsv					
ACTA2	up	0.646614251119529	0.0427255877741705	Acta2	149.410032496794	pericyte	E-MTAB-8810 (McLellan 2020, doi:10.1161/CIRCULATIONAHA.119.045115)	AngII (n=4) vs saline+untreated (n=4), pseudobulk DESeq2	11	2026-09-22	angii_response_signature.tsv					
ART3	down	-0.562167012490506	0.0240311301479119	Art3	172.412990378128	pericyte	E-MTAB-8810 (McLellan 2020, doi:10.1161/CIRCULATIONAHA.119.045115)	AngII (n=4) vs saline+untreated (n=4), pseudobulk DESeq2	12	2026-09-22	angii_response_signature.tsv					
BGN	up	0.872222187770059	1.29998371191586e-05	Bgn	224.664990481844	pericyte	E-MTAB-8810 (McLellan 2020, doi:10.1161/CIRCULATIONAHA.119.045115)	AngII (n=4) vs saline+untreated (n=4), pseudobulk DESeq2	12	2026-09-22	angii_response_signature.tsv					
COL1A1	up	1.27127652909886	0.000586311018567477	Col1a1	48.0643511949016	pericyte	E-MTAB-8810 (McLellan 2020, doi:10.1161/CIRCULATIONAHA.119.045115)	AngII (n=4) vs saline+untreated (n=4), pseudobulk DESeq2	12	2026-09-22	angii_response_signature.tsv					
COL1A2	up	1.21626434824814	2.49262253929436e-06	Col1a2	72.0199354057472	pericyte	E-MTAB-8810 (McLellan 2020, doi:10.1161/CIRCULATIONAHA.119.045115)	AngII (n=4) vs saline+untreated (n=4), pseudobulk DESeq2	12	2026-09-22	angii_response_signature.tsv					
COL3A1	up	1.20845652092057	4.87259005692606e-11	Col3a1	150.32518470244	pericyte	E-MTAB-8810 (McLellan 2020, doi:10.1161/CIRCULATIONAHA.119.045115)	AngII (n=4) vs saline+untreated (n=4), pseudobulk DESeq2	10	2026-09-22	angii_response_signature.tsv					
COL4A1	up	0.638206199197579	0.0370882999445995	Col4a1	83.199853841555	pericyte	E-MTAB-8810 (McLellan 2020, doi:10.1161/CIRCULATIONAHA.119.045115)	AngII (n=4) vs saline+untreated (n=4), pseudobulk DESeq2	12	2026-09-22	angii_response_signature.tsv					
COL4A2	up	0.702933995114737	0.0427255877741705	Col4a2	58.0762647315464	pericyte	E-MTAB-8810 (McLellan 2020, doi:10.1161/CIRCULATIONAHA.119.045115)	AngII (n=4) vs saline+untreated (n=4), pseudobulk DESeq2	12	2026-09-22	angii_response_signature.tsv					
COL5A2	up	1.31431475064197	0.00830132171431231	Col5a2	20.9091315391039	pericyte	E-MTAB-8810 (McLellan 2020, doi:10.1161/CIRCULATIONAHA.119.045115)	AngII (n=4) vs saline+untreated (n=4), pseudobulk DESeq2	12	2026-09-22	angii_response_signature.tsv					
COL6A1	up	0.693636851670236	0.0217671867997323	Col6a1	84.5867159771107	pericyte	E-MTAB-8810 (McLellan 2020, doi:10.1161/CIRCULATIONAHA.119.045115)	AngII (n=4) vs saline+untreated (n=4), pseudobulk DESeq2	12	2026-09-22	angii_response_signature.tsv					
