level	model	spec	predictor	estimate	SE	z_value	p_value	n_units	n_donors	singular	note	max_abs_grad	n_warnings	score	family	null_mean	null_sd	n_null	p_emp	p_BH	source_table	kind	median_rho	q25	q75	p_wilcox	pericyte_state	emmean	df	lower.CL	upper.CL	small_group	contrast	t.ratio	p.value	touches_small_group	program	rho
pseudobulk	NB GLMM	primary	at1r_response_score_z	-0.0733858992205809	0.0587646006807281	-1.24881133149005	0.211734088412132	214	95	FALSE		0.000624158928985708	0	at1r_response_score	signature	0.082715358251079	0.0159534142490053	1000	0.000999000999000999	0.211734088412132	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	at1r_response_score_z	-0.068562459833542	0.0558460530627809	-1.22770466440064	0.219557854827622	214	95	FALSE				at1r_response_score	signature					0.219557854827622	at1r_vs_agtr1_count.tsv																	
pseudobulk	NB GLMM	primary	at1r_legacy_curated_score_z	-0.176226166892463	0.0369593326468826	-4.76811008943711	1.85962162688103e-06	214	95	FALSE	iteration limit reached	0.000271533053819439	1	at1r_legacy_curated_score	legacy_curated					1.85962162688103e-06	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	at1r_legacy_curated_score_z	-0.1259084191212	0.0559997043512227	-2.24837649733861	0.0245521925433495	214	95	FALSE				at1r_legacy_curated_score	legacy_curated					0.0245521925433495	at1r_vs_agtr1_count.tsv																	
pseudobulk	NB GLMM	primary	progeny_Androgen_z	0.201903032056709	0.0632841555192183	3.19041994635441	0.00142066193422654	214	95	FALSE		0.000402836803914397	0	progeny_Androgen	progeny_other					0.00639297870401941	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	progeny_Androgen_z	0.220735390998356	0.0702182874574256	3.14355987579718	0.00166906265785184	214	95	FALSE				progeny_Androgen	progeny_other					0.0075107819603333	at1r_vs_agtr1_count.tsv																	
pseudobulk	NB GLMM	primary	progeny_EGFR_z	-0.101844270116568	0.051689241426519	-1.97031852868936	0.0488018762108299	214	95	FALSE		0.00045547608351626	0	progeny_EGFR	progeny_prespecified					0.0976037524216599	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	progeny_EGFR_z	-0.105138561886465	0.0566453896777649	-1.85608330147537	0.0634416854993876	214	95	FALSE				progeny_EGFR	progeny_prespecified					0.25376674199755	at1r_vs_agtr1_count.tsv																	
pseudobulk	NB GLMM	primary	progeny_Estrogen_z	-0.286528693098531	0.0405400399603139	-7.06779503372528	1.57414819002787e-12	214	95	FALSE	iteration limit reached	0.000494781033921754	1	progeny_Estrogen	progeny_other					1.41673337102508e-11	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	progeny_Estrogen_z	-0.38309331246498	0.0556851028043564	-6.87963733874996	6.00051234920585e-12	214	95	FALSE				progeny_Estrogen	progeny_other					5.40046111428527e-11	at1r_vs_agtr1_count.tsv																	
pseudobulk	NB GLMM	primary	progeny_Hypoxia_z	0.0908561000898523	0.0580257710813606	1.56578875897158	0.117398078717265	214	95	FALSE		0.000288438286588644	0	progeny_Hypoxia	progeny_other					0.231345386419969	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	progeny_Hypoxia_z	0.0533000325511392	0.0555917723775253	0.958775557454387	0.33767182518569	214	95	FALSE				progeny_Hypoxia	progeny_other					0.434149489524458	at1r_vs_agtr1_count.tsv																	
pseudobulk	NB GLMM	primary	progeny_MAPK_z	-0.0755700870310404	0.052895042311112	-1.42867996184899	0.153096239732708	214	95	FALSE	Model failed to converge with max|grad| = 0.00224522 (tol = 0.002, component 1)	0.000160214312927565	1	progeny_MAPK	progeny_prespecified					0.153096239732708	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	progeny_MAPK_z	-0.0555383803831941	0.0596200197089932	-0.93153911478524	0.351574761106208	214	95	FALSE				progeny_MAPK	progeny_prespecified					0.351574761106208	at1r_vs_agtr1_count.tsv																	
pseudobulk	NB GLMM	primary	progeny_NFkB_z	-0.093914579404884	0.0474883798023251	-1.97763283977707	0.0479701417483563	214	95	FALSE	iteration limit reached	0.000282550445263041	1	progeny_NFkB	progeny_prespecified					0.0976037524216599	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	progeny_NFkB_z	-0.0847310613225687	0.0609339191738623	-1.39054015351952	0.164364915041114	214	95	FALSE				progeny_NFkB	progeny_prespecified					0.283417241960173	at1r_vs_agtr1_count.tsv																	
pseudobulk	NB GLMM	primary	progeny_PI3K_z	-0.0843198161673323	0.0532561008767819	-1.58328932796681	0.113355534228372	214	95	FALSE		0.000222495373236598	0	progeny_PI3K	progeny_other					0.231345386419969	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	progeny_PI3K_z	-0.114407780172781	0.0538664025314947	-2.12391722476526	0.03367706579996	214	95	FALSE				progeny_PI3K	progeny_other					0.10103119739988	at1r_vs_agtr1_count.tsv																	
pseudobulk	NB GLMM	primary	progeny_TGFb_z	-0.0749360806916483	0.0483251922192981	-1.5506628582374	0.120982499809432	214	95	FALSE	iteration limit reached	0.000242777105086134	1	progeny_TGFb	progeny_prespecified					0.153096239732708	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	progeny_TGFb_z	-0.0816861307229324	0.0655298221253925	-1.24654894631981	0.21256293147013	214	95	FALSE				progeny_TGFb	progeny_prespecified					0.283417241960173	at1r_vs_agtr1_count.tsv																	
pseudobulk	NB GLMM	primary	progeny_TNFa_z	-0.072689378949703	0.0515385977945409	-1.41038720609901	0.158425381056192	214	95	FALSE		0.000246729996433714	0	progeny_TNFa	progeny_other					0.237638071584287	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	progeny_TNFa_z	-0.0694931613967528	0.0615238009084712	-1.12953296725177	0.258673070515243	214	95	FALSE				progeny_TNFa	progeny_other					0.434149489524458	at1r_vs_agtr1_count.tsv																	
pseudobulk	NB GLMM	primary	progeny_Trail_z	-0.0484566919451172	0.0554458618931583	-0.873946049183815	0.382147635282049	214	95	FALSE		0.000221664322452853	0	progeny_Trail	progeny_other					0.429916089692305	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	progeny_Trail_z	-0.0107710637088899	0.057393646036672	-0.187669967891701	0.851135374079039	214	95	FALSE				progeny_Trail	progeny_other					0.851135374079039	at1r_vs_agtr1_count.tsv																	
