level	model	spec	predictor	estimate	SE	z_value	p_value	n_units	n_donors	singular	note	outcome	covariates	claimable	null_mean	null_sd	p_emp	source_table	kind	median_rho	q25	q75	p_wilcox	metric	bh_family	p_BH	source
pseudobulk	lmer(+1|donor)+(1|study)	primary	at1r_response_score_z	-0.514966504903915	0.0670541997292834	180.062890495647	9.81668893586126e-13	214	95	TRUE		bm_minus_fib_z	mean_log10_counts	TRUE	-0.107261715859901	0.0189867699100444	0.000999000999000999	matrix_vs_at1r.tsv									
pseudobulk	lmer(+1|donor)+(1|study)	_tracer_adj	at1r_response_score_z	-0.522019813587659	0.0720140266628358	187.105590179748	1.07320775107962e-11	214	95	TRUE		bm_minus_fib_z	mean_log10_counts + ambient_tracer_score_z	TRUE				matrix_vs_at1r.tsv									
pseudobulk	lmer(+1|donor)+(1|study)	_depth_spline	at1r_response_score_z	-0.507683099833829	0.0675619104829446	177.009914082453	2.72985067494635e-12	214	95	TRUE		bm_minus_fib_z	ns(mean_log10_counts, 3)	TRUE				matrix_vs_at1r.tsv									
pseudobulk	lmer(+1|donor)+(1|study)	_fibrillar_ecm_contrast	at1r_response_score_z	-0.543386435843777	0.0659940208033494	205.148535986778	2.09771786470924e-14	214	95	TRUE		bm_minus_fibecm_z	mean_log10_counts	TRUE				matrix_vs_at1r.tsv									
pseudobulk	lmer(+1|donor)+(1|study)	_bm_alone	at1r_response_score_z	0.0981472032862387	0.0749392234422712	187.507718469671	0.191902887359397	214	95	TRUE		basement_membrane_score_z	mean_log10_counts	FALSE	0.0859655190039225	0.0274656717196443	0.74025974025974	matrix_vs_at1r.tsv									
pseudobulk	lmer(+1|donor)+(1|study)	_fib_alone	at1r_response_score_z	0.472866048384614	0.0669365715864653	184.418275300522	3.19998411226894e-11	214	95	TRUE		fibrillar_collagen_score_z	mean_log10_counts	FALSE				matrix_vs_at1r.tsv									
									69									matrix_vs_at1r_donor_rho_summary.tsv	raw	-0.0592617908407382	-0.127994227994228	0.0253530411194645	0.000458906478193256				
									69									matrix_vs_at1r_donor_rho_summary.tsv	partial_depth_tracer	-0.0636630555836793	-0.128434013081955	0.0199279711884754	0.000925202644158809				
									69									matrix_context_rows.tsv		-0.0136245688528457	-0.0843108504398827	0.0830775646205989	0.715323618093995	rho_bm	original	0.715323618093995	basement_membrane/_m/stats_data/bm_continuum_summary.tsv
									69									matrix_context_rows.tsv		-0.05424132033184	-0.165906362545018	0.0770315529702098	0.0213411315460771	rho_fib	original	0.06131192195254	basement_membrane/_m/stats_data/bm_continuum_summary.tsv
									69									matrix_context_rows.tsv		-0.0135304849521383	-0.129343464526594	0.0664524155090193	0.276520845873724	rho_collagen	expansion	0.387129184223213	basement_membrane/_m/stats_data/bm_continuum_summary.tsv
									69									matrix_context_rows.tsv		0.20262443438914	0.0652173913043478	0.312514351320322	1.13214038897189e-09	rho_tracer	expansion	7.92498272280324e-09	basement_membrane/_m/stats_data/bm_continuum_summary.tsv
									69									matrix_context_rows.tsv		0.0241404000581492	-0.0878260869565217	0.147370948379352	0.0408746146350267	rho_switch	original	0.06131192195254	basement_membrane/_m/stats_data/bm_continuum_summary.tsv
cell	NB GLMM	+ambient	bm_minus_fibrillar_z	0.0801642180454267	0.0156668204329552	5.11681476075396	3.1073852559051e-07	11680	194	FALSE								matrix_context_rows.tsv								6.21477051181019e-07	basement_membrane/_m/stats_data/agtr1_count_models.tsv
cell	NB GLMM	depth spline	bm_minus_fibrillar_z	0.0764543030341445	0.0156700829939588	4.87899796469612	1.06626164304341e-06	11680	194	FALSE								matrix_context_rows.tsv								2.13252328608682e-06	basement_membrane/_m/stats_data/agtr1_count_models.tsv
pseudobulk	binomial GLMM	depth spline	bm_minus_fibrillar_z	0.244867758372703	0.0537526472530928	4.55545486382744	5.22723395368518e-06	214	95	FALSE								matrix_context_rows.tsv								1.04544679073704e-05	basement_membrane/_m/stats_data/agtr1_count_models.tsv
cell	NB GLMM	primary	bm_minus_fibrillar_z	0.0800191482484142	0.0156605521056704	5.10959943867118	3.22842539899025e-07	11680	194	FALSE								matrix_context_rows.tsv								9.68527619697075e-07	basement_membrane/_m/stats_data/agtr1_count_models.tsv
pseudobulk	Poisson+OLRE	primary	bm_minus_fibrillar_z	0.170992375751757	0.0480039342843101	3.56204920078072	0.000367971400877542	214	95	FALSE	glmer.nb did not converge							matrix_context_rows.tsv								0.000551957101316314	basement_membrane/_m/stats_data/agtr1_count_models.tsv
pseudobulk	binomial GLMM	primary	bm_minus_fibrillar_z	0.255253468160681	0.05263726819851	4.84929170712371	1.23903098827781e-06	214	95	FALSE								matrix_context_rows.tsv								4.95612395311122e-06	basement_membrane/_m/stats_data/agtr1_count_models.tsv
cell	NB GLMM	within-donor (Mundlak)	bm_minus_fibrillar_z	0.0773922913848391	0.0157806070379221	4.90426579908232	9.37774346111146e-07	11680	194	FALSE								matrix_context_rows.tsv								1.87554869222229e-06	basement_membrane/_m/stats_data/agtr1_count_models.tsv
pseudobulk	binomial GLMM	within-donor (Mundlak)	bm_minus_fibrillar_z	0.264749680012738	0.0598021877970339	4.42709020799185	9.55127954614096e-06	214	95	FALSE								matrix_context_rows.tsv								1.91025590922819e-05	basement_membrane/_m/stats_data/agtr1_count_models.tsv
