direction	disease_group	partner	n_edges	n_supported	n_flagged	magnitude_thr	source_table	target	program	n_background	n_geneset	n_potential	status	top_ligands_by_z	top_z	gene	reason	level	model	spec	predictor	estimate	SE	z_value	p_value	n_units	n_donors	singular	note	ligands	n_studies	null_mean	null_sd	n_null	p_emp	p_BH
outgoing	COPD	AT1	278	18	1	0.05	liana_direction_summary.tsv																													
outgoing	COPD	AT2 (either stratum)	377	25	1	0.05	liana_direction_summary.tsv																													
outgoing	COPD	AT2_AGTR2det	335	23	1	0.05	liana_direction_summary.tsv																													
outgoing	COPD	AT2_AGTR2undet	319	21	1	0.05	liana_direction_summary.tsv																													
outgoing	COPD	Adventitial fibroblasts	257	21	1	0.05	liana_direction_summary.tsv																													
outgoing	COPD	Alveolar fibroblasts	235	19	1	0.05	liana_direction_summary.tsv																													
outgoing	COPD	Alveolar macrophages	238	16	1	0.05	liana_direction_summary.tsv																													
outgoing	COPD	EC aerocyte capillary	205	18	1	0.05	liana_direction_summary.tsv																													
outgoing	COPD	EC general capillary	192	15	1	0.05	liana_direction_summary.tsv																													
outgoing	COPD	Interstitial macrophages	245	21	1	0.05	liana_direction_summary.tsv																													
outgoing	COPD	Vascular smooth muscle	214	11	1	0.05	liana_direction_summary.tsv																													
outgoing	Fibrotic_ILD	AT1	288	19	1	0.05	liana_direction_summary.tsv																													
outgoing	Fibrotic_ILD	AT2 (either stratum)	400	35	1	0.05	liana_direction_summary.tsv																													
outgoing	Fibrotic_ILD	AT2_AGTR2det	400	34	1	0.05	liana_direction_summary.tsv																													
outgoing	Fibrotic_ILD	AT2_AGTR2undet	327	21	1	0.05	liana_direction_summary.tsv																													
outgoing	Fibrotic_ILD	Adventitial fibroblasts	306	18	1	0.05	liana_direction_summary.tsv																													
outgoing	Fibrotic_ILD	Alveolar fibroblasts	269	16	1	0.05	liana_direction_summary.tsv																													
outgoing	Fibrotic_ILD	Alveolar macrophages	285	26	1	0.05	liana_direction_summary.tsv																													
outgoing	Fibrotic_ILD	EC aerocyte capillary	214	19	1	0.05	liana_direction_summary.tsv																													
outgoing	Fibrotic_ILD	EC general capillary	275	14	1	0.05	liana_direction_summary.tsv																													
outgoing	Fibrotic_ILD	Interstitial macrophages	304	29	1	0.05	liana_direction_summary.tsv																													
